,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Ptos_H,DesvPad_Ptos_H,CV_VG_H,Media_Ptos_A,DesvPad_Ptos_A,CV_VG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA,coeficiente_pontos,cv_pontos,prediction_label,prediction_score
1,MEXICO - LIGA MX,03/09/2023,00:10,Cruz Azul,Club America,3.2,3.75,2.1,1.62,2.25,1.53,2.38,1.5,1.5,0.901,2.1,1.1357816,0.502,0.3125,0.26666668,0.47619048,0.61728394,0.44444445,0.25565413,-0.6,2.636,1,0.6983
2,SOUTH KOREA - K LEAGUE 2,03/09/2023,04:00,Gimpo FC,Seoul E-Land,2.2,3.0,3.0,2.5,1.5,2.1,1.67,1.3,1.1874342,0.843,1.5,1.2845232,1.025,0.45454547,0.33333334,0.33333334,0.4,0.6666667,0.15288796,-0.2,2.472,1,0.5958
3,INDONESIA - LIGA 1,03/09/2023,05:00,Persikabo 1973,Dewa United,2.92,3.25,2.27,1.72,1.88,1.57,2.1,1.2,1.2489996,1.176,1.1,1.3,0.83,0.34246576,0.30769232,0.44052863,0.5813953,0.5319149,0.15470396,0.1,2.549,1,0.5055
4,INDONESIA - LIGA 1,03/09/2023,05:00,Persebaya,Borneo,2.47,3.25,2.62,1.7,1.93,1.55,2.15,1.5,1.2845232,0.829,0.9,0.83066237,0.713,0.4048583,0.30769232,0.3816794,0.5882353,0.5181347,0.11360355,0.6,2.115,1,0.5017
5,ROMANIA - LIGA 2,03/09/2023,05:00,Chindia Targoviste,Unirea Slobozia,2.05,3.2,3.55,2.32,1.55,2.05,1.7,1.2,0.9797959,0.548,1.2,1.2489996,0.897,0.4878049,0.3125,0.28169015,0.43103448,0.6451613,0.25169367,0.0,2.229,1,0.6036
6,ROMANIA - LIGA 2,03/09/2023,05:00,Metaloglobus Bucharest,FC Arges,2.8,3.1,2.5,2.27,1.57,1.95,1.75,1.6,1.2,0.865,0.5,0.92195445,1.112,0.35714287,0.32258064,0.4,0.44052863,0.6369427,0.08798567,1.1,2.122,1,0.6861
7,PORTUGAL - LIGA PORTUGAL 2,03/09/2023,07:00,Torreense,Oliveirense,1.91,3.3,3.8,1.98,1.88,1.8,1.91,2.3,1.1,0.721,1.4,1.356466,0.787,0.5235602,0.3030303,0.2631579,0.5050505,0.5319149,0.31526428,0.9,2.456,1,0.7149
8,SOUTH KOREA - K LEAGUE 1,03/09/2023,07:00,Jeju Utd,Jeonbuk,3.0,3.25,2.2,1.85,2.0,1.67,2.1,0.7,0.45825756,0.666,0.6,0.9165151,0.696,0.33333334,0.30769232,0.45454547,0.5405405,0.5,0.17537388,0.1,1.375,1,0.519
9,RUSSIA - PREMIER LEAGUE,03/09/2023,07:00,Orenburg,Sochi,2.54,3.65,2.88,1.91,2.03,1.66,2.16,1.7,1.3453624,0.719,0.6,1.2,2.178,0.39370078,0.2739726,0.3472222,0.5235602,0.49261084,0.14568327,1.1,2.545,1,0.8065
10,POLAND - DIVISION 1,03/09/2023,07:40,Zaglebie Sosnowiec,Lechia Gdansk,2.7,3.25,2.45,2.03,1.83,1.8,1.91,1.5,1.2845232,0.651,0.6,0.9165151,1.958,0.37037036,0.30769232,0.40816328,0.49261084,0.5464481,0.11443575,0.9,2.201,1,0.576
