,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Ptos_H,DesvPad_Ptos_H,CV_VG_H,Media_Ptos_A,DesvPad_Ptos_A,CV_VG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA,coeficiente_pontos,cv_pontos,prediction_label,prediction_score
1,MEXICO - LIGA DE EXPANSION MX,13/08/2023,00:05,Tepatitlan de Morelos,Leones Negros,2.41,3.34,2.78,1.98,1.82,1.72,2.07,1.3,1.1874342,0.965,0.8,0.8717798,0.773,0.41493776,0.2994012,0.35971224,0.5050505,0.5494506,0.13178934,0.5,2.059,1,0.6305
2,INDONESIA - LIGA 1,13/08/2023,05:00,PSS Sleman,FC Bhayangkara,2.28,3.5,2.82,1.73,2.09,1.57,2.34,1.7,1.3453624,0.515,1.2,1.4696939,0.707,0.4385965,0.2857143,0.35460994,0.5780347,0.4784689,0.17382696,0.5,2.815,1,0.5017
3,INDONESIA - LIGA 1,13/08/2023,05:00,Persib Bandung,Barito Putera,1.76,3.88,3.95,1.56,2.21,1.55,2.38,1.7,1.3453624,0.605,0.8,1.1661904,0.648,0.5681818,0.25773194,0.25316456,0.64102566,0.4524887,0.4098937,0.9,2.512,1,0.5049
4,SINGAPORE - PREMIER LEAGUE,13/08/2023,07:00,Hougang,Lion City,5.06,5.1,1.48,1.17,4.2,1.28,3.52,1.0,1.3416408,1.018,1.7,1.3453624,0.728,0.19762845,0.19607843,0.6756757,0.85470086,0.23809524,0.6332248,-0.7,2.687,1,0.5224
5,SOUTH KOREA - K LEAGUE 1,13/08/2023,07:00,Daejeon,Seoul,3.0,3.3,2.2,1.85,2.0,1.67,2.1,1.4,0.8,0.333,1.3,1.1874342,0.242,0.33333334,0.3030303,0.45454547,0.5405405,0.5,0.18002057,0.1,1.987,1,0.5055
6,PORTUGAL - LIGA PORTUGAL 2,13/08/2023,07:00,Academico Viseu,Vilaverdense,1.7,3.6,4.0,2.0,1.85,1.91,1.8,1.8,1.2489996,0.707,2.0,1.4142135,0.065,0.5882353,0.2777778,0.25,0.5,0.5405405,0.4121412,-0.2,2.663,1,0.8003
7,NETHERLANDS - EERSTE DIVISIE,13/08/2023,07:15,Eindhoven FC,Willem II,3.3,3.4,2.2,1.75,2.05,1.62,2.2,1.6,1.4282857,1.354,1.4,1.1135529,0.821,0.3030303,0.29411766,0.45454547,0.5714286,0.4878049,0.20999172,0.2,2.542,1,0.7017
8,SCOTLAND - PREMIERSHIP,13/08/2023,08:00,Aberdeen,Celtic,7.5,5.5,1.33,1.44,2.75,1.75,2.0,2.0,1.264911,0.821,2.5,1.024695,0.701,0.13333334,0.18181819,0.7518797,0.6944444,0.36363637,0.78963745,-0.5,2.29,1,0.867
9,BELGIUM - JUPILER PRO LEAGUE,13/08/2023,08:30,St. Truiden,Anderlecht,3.2,3.4,2.05,1.98,1.88,1.8,1.95,1.4,1.356466,1.242,1.6,1.4282857,0.861,0.3125,0.29411766,0.4878049,0.5050505,0.5319149,0.2392918,-0.2,2.785,1,0.5044
10,BELGIUM - CHALLENGER PRO LEAGUE,13/08/2023,08:30,Genk U23,Beveren,4.33,4.0,1.57,1.48,2.6,1.53,2.38,0.8,0.8717798,0.846,1.6,1.2,0.812,0.23094688,0.25,0.6369427,0.6756757,0.3846154,0.5019973,-0.8,2.072,1,0.5093
11,CHINA - SUPER LEAGUE,13/08/2023,08:35,Henan Songshan Longmen,Tianjin Jinmen Tiger,2.63,3.2,2.8,2.1,1.7,1.8,1.95,1.2,0.9797959,0.746,1.4,1.1135529,0.649,0.38022813,0.3125,0.35714287,0.47619048,0.5882353,0.080332436,-0.2,2.093,1,0.7174
12,CHINA - SUPER LEAGUE,13/08/2023,08:35,Wuhan Three Towns,Shanghai Shenhua,1.62,3.75,6.0,1.8,2.0,1.8,1.95,1.7,1.1,1.029,1.8,1.2489996,0.434,0.61728394,0.26666668,0.16666667,0.5555556,0.5,0.5517186,-0.1,2.349,1,0.5214
13,CHINA - SUPER LEAGUE,13/08/2023,08:35,Nantong Zhiyun,Beijing Guoan,3.3,3.3,2.25,1.93,1.93,1.7,2.05,1.1111112,1.0999439,0.63,0.9,1.1357816,0.544,0.3030303,0.3030303,0.44444445,0.5181347,0.5181347,0.1903749,0.211,2.236,1,0.8691
14,INDONESIA - LIGA 1,13/08/2023,09:00,Madura United,Persija Jakarta,2.87,3.34,2.32,1.92,1.86,1.69,2.11,1.2,1.2489996,0.954,0.8,1.1661904,1.336,0.34843206,0.2994012,0.43103448,0.5208333,0.53763443,0.15104312,0.4,2.415,1,0.5055
15,SWITZERLAND - CHALLENGE LEAGUE,13/08/2023,09:15,Bellinzona,Aarau,3.61,3.68,1.97,1.74,2.09,1.63,2.22,1.0,1.3416408,1.117,1.9,1.1357816,0.74,0.27700832,0.27173913,0.5076142,0.57471263,0.4784689,0.31231254,-0.9,2.477,1,0.8147
16,FINLAND - VEIKKAUSLIIGA,13/08/2023,10:00,Honka,Inter Turku,2.0,3.4,3.4,2.1,1.7,1.95,1.8,1.5,1.2845232,0.92,0.8,1.1661904,0.629,0.5,0.29411766,0.29411766,0.47619048,0.5882353,0.26755393,0.7,2.451,1,0.5339
17,BELARUS - VYSSHAYA LIGA,13/08/2023,10:00,Smorgon,Zhodino,6.3,4.4,1.49,1.77,2.05,1.86,1.9,1.9,1.3747727,0.805,1.7,1.1,0.95,0.15873016,0.22727273,0.67114097,0.56497175,0.4878049,0.64455026,0.2,2.475,1,0.8486
18,FINLAND - VEIKKAUSLIIGA,13/08/2023,10:00,Ilves,KuPS,3.75,3.3,1.95,2.3,1.6,2.05,1.7,1.4,1.1135529,0.68,2.2,1.2489996,0.639,0.26666668,0.3030303,0.51282054,0.4347826,0.625,0.30065352,-0.8,2.363,1,0.6434
19,POLAND - DIVISION 1,13/08/2023,10:00,S. Rzeszow,Arka Gdynia,2.88,3.2,2.2,1.75,2.05,1.62,2.2,2.0,1.264911,0.693,1.7,1.3453624,0.516,0.3472222,0.3125,0.45454547,0.5714286,0.4878049,0.16278479,0.3,2.61,1,0.6311
20,SWEDEN - ALLSVENSKAN,13/08/2023,10:00,Goteborg,Djurgarden,3.6,3.5,2.05,2.05,1.8,1.8,1.95,0.9,1.1357816,1.49,1.1,1.3,1.086,0.2777778,0.2857143,0.4878049,0.4878049,0.5555556,0.27734625,-0.2,2.436,1,0.5389
21,PORTUGAL - LIGA PORTUGAL 2,13/08/2023,10:00,Penafiel,Leixoes,2.05,3.2,3.25,2.25,1.62,2.0,1.73,1.3,1.1874342,0.712,1.0,1.3416408,1.158,0.4878049,0.3125,0.30769232,0.44444445,0.61728394,0.2268842,0.3,2.529,1,0.7485
22,SWEDEN - ALLSVENSKAN,13/08/2023,10:00,Sirius,Kalmar,2.2,3.4,3.25,1.93,1.93,1.75,2.0,0.8,1.1661904,0.756,1.0,1.0954452,1.036,0.45454547,0.29411766,0.30769232,0.5181347,0.5181347,0.20629002,-0.2,2.262,1,0.6076
23,SWEDEN - SUPERETTAN,13/08/2023,10:00,Vasteras SK,Helsingborg,1.55,4.2,5.25,1.73,2.08,1.8,1.95,2.4,0.9165151,0.754,0.8,1.1661904,1.142,0.6451613,0.23809524,0.1904762,0.5780347,0.48076922,0.5700997,1.6,2.083,1,0.5603
24,SWEDEN - SUPERETTAN,13/08/2023,10:00,Sundsvall,Trelleborg,2.5,3.5,2.55,1.67,2.15,1.57,2.25,1.0,1.3416408,0.757,0.8,1.1661904,0.835,0.4,0.2857143,0.39215687,0.5988024,0.4651163,0.14507651,0.2,2.508,1,0.5205
25,LUXEMBOURG - NATIONAL DIVISION,13/08/2023,11:00,Union Titus Petange,Hesperange,6.01,4.2,1.37,1.57,2.25,1.65,2.1,2.0,1.264911,0.887,2.1,1.1357816,0.896,0.16638935,0.23809524,0.729927,0.6369427,0.44444445,0.6623774,-0.1,2.401,1,0.9494
26,ESTONIA - MEISTRILIIGA,13/08/2023,11:00,Tammeka,Kalju,3.25,3.24,2.16,2.01,1.78,1.76,2.01,0.8,0.8717798,1.101,1.5,1.2845232,0.861,0.30769232,0.30864197,0.46296296,0.49751243,0.56179774,0.20283331,-0.7,2.156,1,0.5179
27,LUXEMBOURG - NATIONAL DIVISION,13/08/2023,11:00,Fola,Dudelange,7.85,5.0,1.23,1.3,3.2,1.57,2.25,1.0,1.3416408,0.991,2.4,1.2,0.715,0.12738854,0.2,0.8130081,0.7692308,0.3125,0.80898577,-1.4,2.542,1,0.9533
28,BELGIUM - CHALLENGER PRO LEAGUE,13/08/2023,11:00,Oostende,Lommel SK,1.6,3.8,4.33,1.57,2.35,1.62,2.2,1.0,1.3416408,1.058,1.7,1.3453624,0.87,0.625,0.2631579,0.23094688,0.6369427,0.42553192,0.47891185,-0.7,2.687,1,0.5019
29,SCOTLAND - PREMIERSHIP,13/08/2023,11:00,Motherwell,Hibernian,2.63,3.4,2.63,2.05,1.8,1.8,1.95,1.6,1.4282857,0.688,1.2,1.2489996,0.854,0.38022813,0.29411766,0.38022813,0.4878049,0.5555556,0.11547661,0.4,2.677,1,0.8432
30,BRAZIL - SERIE B,13/08/2023,11:00,Chapecoense-SC,Atletico GO,2.65,2.94,2.94,2.51,1.54,2.04,1.74,1.3,1.1874342,0.794,0.9,0.83066237,1.078,0.3773585,0.34013605,0.34013605,0.3984064,0.64935064,0.04977208,0.4,2.018,1,0.5197
31,BRAZIL - SERIE A,13/08/2023,11:00,Atletico-MG,Bahia,1.62,3.75,6.0,1.98,1.88,1.95,1.8,1.8,1.2489996,0.462,0.6,0.9165151,1.005,0.61728394,0.26666668,0.16666667,0.5050505,0.5319149,0.5517186,1.2,2.166,1,0.7137
32,BELGIUM - JUPILER PRO LEAGUE,13/08/2023,11:00,Eupen,Club Brugge KV,5.25,4.0,1.5,1.57,2.35,1.67,2.1,1.0,1.0954452,0.732,0.9,1.1357816,1.095,0.1904762,0.25,0.6666667,0.6369427,0.42553192,0.5740365,0.1,2.231,1,0.5035
33,BELGIUM - JUPILER PRO LEAGUE,13/08/2023,11:00,Cercle Brugge KSV,Genk,2.75,3.5,2.25,1.57,2.35,1.5,2.5,1.9,1.1357816,0.853,1.1,1.0440307,0.796,0.36363637,0.2857143,0.44444445,0.6369427,0.42553192,0.17774321,0.8,2.18,1,0.5
34,PORTUGAL - LIGA PORTUGAL,13/08/2023,11:30,Rio Ave,Chaves,2.05,3.2,3.5,2.15,1.67,1.95,1.8,1.4,1.356466,0.988,1.4,1.1135529,0.831,0.4878049,0.3125,0.2857143,0.4651163,0.5988024,0.24757186,0.0,2.47,1,0.6604
35,AZERBAIJAN - PREMIER LEAGUE,13/08/2023,11:30,Qarabag,Turan,1.6,3.98,5.17,1.47,2.42,2.19,1.64,2.1,1.1357816,0.397,1.4,1.356466,0.972,0.625,0.2512563,0.1934236,0.6802721,0.41322315,0.53645533,0.7,2.492,1,0.5138
36,SWITZERLAND - SUPER LEAGUE,13/08/2023,11:30,Luzern,Young Boys,3.8,3.75,1.91,1.44,2.7,1.44,2.63,1.3,1.1874342,0.898,1.3,1.1874342,0.67,0.2631579,0.26666668,0.5235602,0.6944444,0.37037036,0.34726974,0.0,2.375,1,0.9366
37,NORWAY - OBOS-LIGAEN,13/08/2023,12:00,Kongsvinger,Asane,1.53,4.5,5.75,1.48,2.6,1.57,2.25,2.4,1.2,0.748,0.7,0.9,0.82,0.6535948,0.22222222,0.17391305,0.6756757,0.3846154,0.6162765,1.7,2.1,1,0.6014
38,NORWAY - OBOS-LIGAEN,13/08/2023,12:00,KFUM Oslo,Fredrikstad,2.55,3.4,2.75,1.88,1.98,1.67,2.1,1.8,1.2489996,0.73,2.0,1.0,0.634,0.39215687,0.29411766,0.36363637,0.5319149,0.5050505,0.117651045,-0.2,2.249,1,0.7719
39,NORWAY - OBOS-LIGAEN,13/08/2023,12:00,Skeid,Raufoss,2.7,3.4,2.55,1.65,2.2,1.53,2.38,1.4,1.356466,0.819,0.4,0.9165151,1.463,0.37037036,0.29411766,0.39215687,0.6060606,0.45454547,0.11933853,1.0,2.273,1,0.6444
40,NORWAY - OBOS-LIGAEN,13/08/2023,12:00,Start,Sogndal,2.1,3.8,3.2,1.44,2.7,1.4,2.75,2.2,1.2489996,0.61,1.4,1.356466,0.929,0.47619048,0.2631579,0.3125,0.6944444,0.37037036,0.25968775,0.8,2.605,1,0.5685
41,SPAIN - LALIGA2,13/08/2023,12:00,Burgos CF,Huesca,2.25,3.1,3.5,2.5,1.5,2.0,1.73,1.4,1.1135529,0.81,0.7,0.45825756,1.044,0.44444445,0.32258064,0.2857143,0.4,0.6666667,0.1932887,0.7,1.572,1,0.835
42,NORWAY - OBOS-LIGAEN,13/08/2023,12:00,Mjondalen,Ranheim,2.2,3.75,3.0,1.48,2.6,1.44,2.63,1.2,1.2489996,1.145,0.8,1.1661904,0.995,0.45454547,0.26666668,0.33333334,0.6756757,0.3846154,0.2212457,0.4,2.415,1,0.5384
43,ARMENIA - PREMIER LEAGUE,13/08/2023,12:00,Noah,Urartu,4.73,3.94,1.63,1.71,2.11,1.69,2.11,1.9,1.3747727,0.739,2.3,1.1,0.741,0.2114165,0.2538071,0.61349696,0.5847953,0.47393364,0.5016584,-0.4,2.475,1,0.5105
44,FINLAND - YKKONEN,13/08/2023,12:00,Jaro,HIFK,2.25,3.2,2.8,1.83,2.03,1.67,2.1,1.6,1.2,0.868,1.0,1.0954452,1.03,0.44444445,0.3125,0.35714287,0.5464481,0.49261084,0.14755526,0.6,2.295,1,0.9268
45,AUSTRIA - BUNDESLIGA,13/08/2023,12:00,Altach,Tirol,2.63,3.4,2.7,1.73,2.08,1.57,2.25,1.0,1.0954452,0.9,1.4,1.356466,1.189,0.38022813,0.29411766,0.37037036,0.5780347,0.48076922,0.11050006,-0.4,2.452,1,0.5607
46,FINLAND - YKKONEN,13/08/2023,12:00,Mikkeli,SalPa,1.7,3.6,4.0,1.73,2.08,1.67,2.1,2.2,1.2489996,0.919,1.0,1.2247449,0.999,0.5882353,0.2777778,0.25,0.5780347,0.48076922,0.4121412,1.2,2.474,1,0.6097
47,ENGLAND - PREMIER LEAGUE,13/08/2023,12:30,Chelsea,Liverpool,2.9,3.4,2.38,1.67,2.2,1.57,2.25,0.9,1.1357816,1.093,1.4,1.356466,1.116,0.3448276,0.29411766,0.42016807,0.5988024,0.45454547,0.14668773,-0.5,2.492,1,0.8155
48,SWEDEN - ALLSVENSKAN,13/08/2023,12:30,Halmstad,Norrkoping,2.75,3.4,2.55,2.03,1.83,1.75,2.0,1.6,1.2,1.154,1.6,1.2,0.659,0.36363637,0.29411766,0.39215687,0.49261084,0.5464481,0.117651045,0.0,2.4,1,0.6093
49,SWEDEN - ALLSVENSKAN,13/08/2023,12:30,Hammarby,Elfsborg,3.1,3.5,2.25,1.67,2.15,1.57,2.25,2.3,1.1,0.963,2.8,0.6,0.64,0.32258064,0.2857143,0.44444445,0.5988024,0.4651163,0.1932887,-0.5,1.7,1,0.9064
50,SLOVENIA - PRVA LIGA,13/08/2023,12:30,Maribor,Bravo,1.66,3.92,5.0,1.9,1.9,1.85,1.91,2.6,0.8,0.723,0.7,0.9,0.754,0.60240966,0.25510204,0.2,0.5263158,0.5263158,0.5053451,1.9,1.7,1,0.5808
51,POLAND - EKSTRAKLASA,13/08/2023,12:30,Puszcza,Legia,4.75,3.75,1.7,1.88,1.98,1.91,1.91,1.8,1.2489996,0.881,1.7,1.3453624,0.904,0.21052632,0.26666668,0.5882353,0.5319149,0.5050505,0.46856424,0.1,2.594,1,0.9223
52,ICELAND - BESTA DEILD KARLA,13/08/2023,13:00,KA Akureyri,Breidablik,4.06,4.05,1.79,1.61,2.34,1.57,2.34,1.7,1.3453624,0.792,2.0,1.264911,0.739,0.24630542,0.24691358,0.5586592,0.621118,0.42735043,0.41954055,-0.3,2.61,1,0.8185
53,ESTONIA - MEISTRILIIGA,13/08/2023,13:00,Narva,Kuressaare,2.27,3.15,3.11,2.04,1.76,1.77,2.0,1.0,1.3416408,1.28,1.8,1.2489996,0.728,0.44052863,0.31746033,0.3215434,0.49019608,0.5681818,0.15861566,-0.8,2.591,1,0.5156
