,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SOUTH KOREA - K LEAGUE 2,02/03/2024,02:00,Bucheon FC 1995,Cheonan City,1.8,3.5,4.5
2,AUSTRALIA - A-LEAGUE,02/03/2024,03:00,Western United,Perth Glory,2.05,3.6,3.3
3,CHINA - SUPER LEAGUE,02/03/2024,04:30,Tianjin Jinmen Tiger,Nantong Zhiyun,1.8,3.5,4.75
4,ROMANIA - LIGA 2,02/03/2024,06:00,CSM Slatina,CSM Resita,2.25,3.15,3.15
5,THAILAND - THAI LEAGUE 1,02/03/2024,08:30,Sukhothai,Chiangrai Utd,2.18,3.45,3.05
6,CHINA - SUPER LEAGUE,02/03/2024,08:35,Chengdu Rongcheng,Qingdao Hainiu,1.33,5.5,8.5
7,SERBIA - PRVA LIGA,02/03/2024,09:00,Radnicki S. Mitrovica,Radnicki Beograd,1.72,3.35,4.35
8,CAMEROON - ELITE ONE,02/03/2024,11:00,Stade Renard,UMS de Loum,2.02,2.85,3.75
9,CAMEROON - ELITE ONE,02/03/2024,11:00,Cotonsport,APEJES Academy,1.55,3.2,6.6
10,SCOTLAND - LEAGUE TWO,02/03/2024,12:00,Spartans,East Fife,1.95,3.3,3.6
11,GHANA - PREMIER LEAGUE,02/03/2024,12:00,Real Tamale,Bofoakwa Tano,2.27,2.62,3.45
12,NIGERIA - NPFL,02/03/2024,13:30,Remo Stars,Bayelsa United,1.34,4.0,10.5
13,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,02/03/2024,14:00,Al Ahli SC,Al Fateh,1.5,4.75,5.25
14,MEXICO - LIGA MX,02/03/2024,20:00,Toluca,U.A.N.L.- Tigres,2.25,3.4,3.2
15,MEXICO - LIGA DE EXPANSION MX,02/03/2024,20:05,Cancun,Atletico La Paz,1.78,3.35,4.5
16,USA - MLS,02/03/2024,22:30,Houston Dynamo,New York Red Bulls,2.3,3.3,3.2
