,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
1,SOUTH KOREA - K LEAGUE 2,20/08/2023,06:30,Seoul E-Land,Busan,3.2,3.0,2.2,2.15,1.67,1.83,1.07,1.83,1.2,1.2,1.6,1.0,0.312,0.333,0.455,0.465,0.935,0.172,-0.4,0.2,1,0.6679
2,SOUTH KOREA - K LEAGUE 2,20/08/2023,07:00,Jeonnam,Gimcheon Sangmu,3.5,3.5,1.91,1.73,2.08,1.67,1.14,2.1,1.9,1.6,1.7,1.0,0.286,0.286,0.524,0.578,0.877,0.307,0.2,0.6,1,0.5109
3,BELGIUM - JUPILER PRO LEAGUE,20/08/2023,08:30,Anderlecht,Westerlo,1.83,3.75,4.0,1.65,2.2,1.62,1.18,2.2,1.7,1.1,0.9,1.3,0.546,0.267,0.25,0.606,0.847,0.383,0.8,-0.2,1,0.6359
4,SWEDEN - ALLSVENSKAN,20/08/2023,10:00,Malmo FF,Djurgarden,1.73,3.75,5.0,1.73,2.08,1.7,1.14,2.05,2.7,1.0,1.0,1.6,0.578,0.267,0.2,0.578,0.877,0.473,1.7,-0.6,1,0.5656
5,BELGIUM - JUPILER PRO LEAGUE,20/08/2023,11:00,Genk,Charleroi,1.53,4.2,5.5,1.53,2.4,1.62,1.22,2.2,2.2,1.0,1.3,1.4,0.654,0.238,0.182,0.654,0.82,0.588,0.9,-0.4,1,0.5853
6,SPAIN - LALIGA2,20/08/2023,12:00,R. Oviedo,Ferrol,2.05,3.0,4.33,2.7,1.44,2.25,1.04,1.57,1.0,1.0,1.0,0.8,0.488,0.333,0.231,0.37,0.962,0.301,0.0,0.2,1,0.5572
7,AUSTRIA - BUNDESLIGA,20/08/2023,12:00,BW Linz,Rapid Vienna,4.0,3.8,1.8,1.67,2.15,1.67,1.17,2.1,2.2,0.6,1.2,2.1,0.25,0.263,0.556,0.599,0.855,0.396,1.0,-1.5,1,0.8012
8,AUSTRIA - BUNDESLIGA,20/08/2023,12:00,Hartberg,Salzburg,6.0,4.33,1.5,1.44,2.7,1.53,1.29,2.38,1.6,1.3,1.8,0.7,0.167,0.231,0.667,0.694,0.775,0.626,-0.2,0.6,1,0.8944
9,SWEDEN - ALLSVENSKAN,20/08/2023,12:30,Kalmar,Hammarby,2.9,3.25,2.5,1.98,1.88,1.7,1.11,2.05,1.7,1.3,1.0,1.7,0.345,0.308,0.4,0.505,0.901,0.108,0.7,-0.4,1,0.6576
10,SWEDEN - ALLSVENSKAN,20/08/2023,12:30,Elfsborg,Mjallby,1.4,4.75,8.0,1.73,2.08,1.95,1.14,1.8,2.5,0.6,1.0,1.1,0.714,0.211,0.125,0.578,0.877,0.742,1.5,-0.5,1,0.5886
11,ARGENTINA - COPA DE LA LIGA PROFESIONAL,20/08/2023,16:00,Sarmiento Junin,Tigre,2.55,3.1,2.75,2.35,1.57,2.0,1.05,1.73,1.3,0.7,0.4,1.1,0.392,0.323,0.364,0.426,0.952,0.079,0.9,-0.4,1,0.5629
12,ARGENTINA - COPA DE LA LIGA PROFESIONAL,20/08/2023,16:15,Rosario Central,Atl. Tucuman,2.1,3.25,3.5,2.35,1.57,2.1,1.05,1.67,1.9,0.8,0.7,0.9,0.476,0.308,0.286,0.426,0.952,0.238,1.2,-0.1,1,0.5617
13,ARGENTINA - PRIMERA NACIONAL,20/08/2023,17:50,Patronato,Def. de Belgrano,2.1,3.2,3.75,2.5,1.5,2.1,1.05,1.67,1.7,0.6,1.0,1.1,0.476,0.312,0.267,0.4,0.952,0.255,0.7,-0.5,1,0.5997
14,USA - MLS,20/08/2023,20:30,Toronto FC,CF Montreal,2.38,3.4,2.88,1.9,1.95,1.7,1.13,2.05,1.0,0.9,0.5,2.2,0.42,0.294,0.347,0.526,0.885,0.146,0.5,-1.3,1,0.6566
