Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,27/02/2024,08:00,INDIA - I-LEAGUE,Inter Kashi,Neroca FC,1.38,4.8,6.3,1.47,1.7,1.93,19.0,1.22,1.15,3.3,1.24
2,27/02/2024,09:00,INDONESIA - LIGA 1,Persib Bandung,PSIS Semarang,1.6,3.9,4.85,1.62,1.65,1.98,1.01,1.3,1.21,4.6,1.14
3,27/02/2024,09:15,VIETNAM - V.LEAGUE 1,Hai Phong,Song Lam Nghe An,1.52,3.85,5.8,1.98,2.07,1.6,1.02,1.42,1.33,6.55,1.06
4,27/02/2024,16:45,SCOTLAND - CHAMPIONSHIP,Dundee Utd,Airdrieonians,1.4,4.33,7.0,1.73,1.91,1.8,1.04,1.38,1.22,4.5,1.17
5,27/02/2024,16:45,ENGLAND - LEAGUE ONE,Stevenage,Cambridge Utd,1.67,3.8,5.5,2.1,2.05,1.7,1.06,1.44,1.33,8.0,1.08
6,27/02/2024,16:45,ENGLAND - LEAGUE ONE,Derby,Charlton,1.65,3.75,5.5,1.8,1.75,2.0,1.04,1.37,1.22,5.5,1.14
7,27/02/2024,16:45,ENGLAND - LEAGUE TWO,Notts Co,Sutton,1.62,4.33,5.0,1.53,1.62,2.2,1.03,1.3,1.17,4.0,1.22
8,27/02/2024,17:30,SPAIN - COPA DEL REY,Real Sociedad,Mallorca,1.6,3.6,7.0,2.6,2.5,1.5,1.11,1.57,1.5,13.0,1.04
9,27/02/2024,21:30,SOUTH AMERICA - COPA LIBERTADORES,Sporting Cristal (Per),Always Ready (Bol),1.22,5.75,11.0,1.4,1.83,1.83,1.02,1.25,1.11,3.4,1.3
10,27/02/2024,22:15,COLOMBIA - PRIMERA A,Millonarios,Once Caldas,1.75,3.4,5.5,2.35,2.2,1.62,1.08,1.57,1.44,10.0,1.06
