Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,13/01/2024,09:30,ENGLAND - PREMIER LEAGUE,Chelsea,Fulham,1.6,4.2,5.5,1.62,1.67,2.1,1.03,1.3,1.2,4.5,1.2
2,13/01/2024,09:30,ALBANIA - SUPERLIGA,Egnatia,Skenderbeu,1.5,4.05,5.2,1.65,1.78,1.99,1.01,1.31,1.19,4.7,1.15
3,13/01/2024,10:30,NETHERLANDS - TWEEDE DIVISIE,Hardenberg,Excelsior Maassluis,1.45,4.05,6.4,1.53,1.62,2.02,1.01,1.24,1.15,3.5,1.21
4,13/01/2024,12:00,SCOTLAND - LEAGUE TWO,East Fife,Clyde,1.65,3.6,4.75,1.75,1.73,2.0,1.02,1.33,1.22,5.0,1.14
5,13/01/2024,12:00,SCOTLAND - CHAMPIONSHIP,Raith,Queen's Park,1.5,4.5,5.0,1.57,1.73,2.0,1.03,1.29,1.17,4.0,1.22
6,13/01/2024,12:00,ENGLAND - LEAGUE ONE,Portsmouth,Leyton Orient,1.57,4.0,6.0,1.93,1.95,1.8,1.05,1.4,1.29,6.5,1.11
7,13/01/2024,12:00,ENGLAND - LEAGUE ONE,Bolton,Cheltenham,1.4,4.33,9.0,1.75,2.0,1.75,1.04,1.33,1.22,5.5,1.14
8,13/01/2024,12:00,SPAIN - PRIMERA RFEF,Cordoba,CF Intercity,1.57,3.5,5.0,1.95,1.91,1.8,1.03,1.4,1.29,6.0,1.11
9,13/01/2024,12:00,ENGLAND - LEAGUE TWO,Stockport County,Walsall,1.57,4.5,5.25,1.73,1.8,1.91,1.03,1.33,1.22,5.5,1.14
10,13/01/2024,12:00,ENGLAND - CHAMPIONSHIP,West Brom,Blackburn,1.73,4.0,4.75,1.73,1.73,2.0,1.04,1.33,1.25,5.0,1.17
11,13/01/2024,12:00,ENGLAND - LEAGUE ONE,Blackpool,Exeter,1.53,4.0,6.5,1.88,1.95,1.8,1.05,1.36,1.25,6.0,1.13
12,13/01/2024,13:00,ALBANIA - SUPERLIGA,Partizani,Teuta,1.32,4.6,7.3,1.62,2.01,1.76,1.01,1.31,1.19,4.4,1.17
13,13/01/2024,14:00,SPAIN - PRIMERA RFEF,Castellon,Algeciras,1.3,4.33,9.0,1.88,2.25,1.57,1.03,1.36,1.29,5.5,1.13
14,13/01/2024,14:30,ITALY - SERIE C,Triestina,AlbinoLeffe,1.5,3.95,6.4,2.07,2.25,1.57,1.07,1.47,1.37,6.3,1.09
15,13/01/2024,16:45,ITALY - SERIE C,Catania,Brindisi,1.47,3.85,6.9,2.12,2.25,1.57,1.08,1.5,1.37,6.2,1.09
16,13/01/2024,18:00,COSTA RICA - PRIMERA DIVISION,Guanacasteca,Grecia,1.57,4.0,4.75,1.83,1.83,1.83,1.04,1.36,1.25,6.0,1.13
