,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,INDIA - I-LEAGUE,16/12/2023,06:30,Aizawl,Gokulam,2.65,3.35,2.4
2,VIETNAM - V.LEAGUE 1,16/12/2023,08:00,Thanh Hoa,Ho Chi Minh,1.5,4.1,5.7
3,MALTA - PREMIER LEAGUE,16/12/2023,10:00,Birkirkara,Gzira,2.1,3.3,3.25
4,SLOVENIA - PRVA LIGA,16/12/2023,11:00,Koper,Radomlje,1.62,3.75,5.0
5,PORTUGAL - LIGA PORTUGAL 2,16/12/2023,11:00,Penafiel,Leiria,2.75,3.2,2.55
6,REPUBLIC OF THE CONGO - LIGUE 1,16/12/2023,11:00,Inter Club,Nathalys,2.12,2.84,3.51
7,ENGLAND - LEAGUE TWO,16/12/2023,12:00,Gillingham,Bradford City,2.45,3.3,3.0
8,BELGIUM - CHALLENGER PRO LEAGUE,16/12/2023,12:00,Patro Eisden,Club Brugge KV U23,1.7,3.75,4.75
9,ENGLAND - LEAGUE ONE,16/12/2023,12:00,Shrewsbury,Portsmouth,5.0,3.3,1.8
10,ITALY - SERIE C,16/12/2023,12:15,Entella,Rimini,1.8,3.4,4.4
11,SPAIN - LALIGA2,16/12/2023,14:30,FC Cartagena SAD,Burgos CF,2.38,3.0,3.3
12,SERBIA - SUPER LIGA,16/12/2023,14:30,Partizan,Radnicki 1923,1.29,5.1,9.0
13,ITALY - SERIE C,16/12/2023,14:30,AlbinoLeffe,Pergolettese,2.25,3.0,3.35
14,PORTUGAL - LIGA PORTUGAL 2,16/12/2023,15:00,AVS,Pacos Ferreira,2.0,3.25,3.75
15,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,16/12/2023,15:00,Al Ettifaq,Al Taawon,2.38,3.4,2.75
16,BOLIVIA - DIVISION PROFESIONAL,16/12/2023,16:00,Libertad Gran Mamore,SA Bulo Bulo,1.83,3.6,3.4
