Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,CHINA - SUPER LEAGUE,16/05/2024,08:35,Shandong Taishan,Shenzhen Xinpengcheng,1.27,5.75,9.5
2,NORWAY - OBOS-LIGAEN,16/05/2024,13:00,Levanger,Ranheim,1.9,3.75,3.5
3,NORWAY - OBOS-LIGAEN,16/05/2024,13:00,Stabaek,Lyn,1.85,3.8,3.5
4,NORWAY - OBOS-LIGAEN,16/05/2024,13:00,Raufoss,Moss,2.2,3.4,3.0
5,SWEDEN - ALLSVENSKAN,16/05/2024,14:00,Malmo FF,GAIS,1.25,6.0,9.5
6,BELARUS - VYSSHAYA LIGA,16/05/2024,14:45,Neman,Arsenal Dzyarzhynsk,1.55,4.1,6.15
7,DOMINICAN REPUBLIC - LDF,16/05/2024,17:00,Universidad O&M,Delfines Del Este,1.75,3.2,4.45
8,SOUTH AMERICA - COPA SUDAMERICANA,16/05/2024,19:00,Racing Club (Arg),Coquimbo (Chi),1.4,5.0,7.0
9,SOUTH AMERICA - COPA LIBERTADORES,16/05/2024,19:00,Rosario Central (Arg),Caracas (Ven),1.2,6.0,15.0
10,SOUTH AMERICA - COPA LIBERTADORES,16/05/2024,19:00,Fluminense (Bra),Cerro Porteno (Par),1.57,3.8,6.25
11,SOUTH AMERICA - COPA SUDAMERICANA,16/05/2024,21:00,Cruzeiro (Bra),Union La Calera (Chi),1.25,6.0,11.0
12,SOUTH AMERICA - COPA LIBERTADORES,16/05/2024,21:00,Sao Paulo (Bra),Barcelona SC (Ecu),1.33,4.75,10.0
13,SOUTH AMERICA - COPA LIBERTADORES,16/05/2024,21:00,San Lorenzo (Arg),Liverpool M. (Uru),1.55,3.7,7.0
14,SOUTH AMERICA - COPA SUDAMERICANA,16/05/2024,23:00,U. Catolica (Ecu),Alianza (Col),1.25,6.0,13.0
