,Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_D,Odd_CS_0x1_Lay,IDMercado_Correct_Score
1,2024-07-11,19:30:00,BRAZIL - SERIE A,Palmeiras,Atletico GO,1.4,10.5,5.0,32.0,1.2304436
2,2024-07-11,20:00:00,BRAZIL - SERIE A,Flamengo RJ,Fortaleza,1.67,6.6,3.9,20.0,1.2304437
3,2024-07-11,20:00:00,BRAZIL - SERIE A,Criciuma,Fluminense,2.0,4.6,3.5,13.0,1.230493
4,2024-07-11,21:30:00,BRAZIL - SERIE A,Atletico-MG,Sao Paulo,2.7,3.1,3.15,9.4,1.2304946
