Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,AUSTRALIA - A-LEAGUE,12/03/2024,05:00,Melbourne City,WS Wanderers,1.85,3.75,3.8
2,INDIA - I-LEAGUE,12/03/2024,07:00,Namdhari,TRAU FC,1.6,4.15,4.4
3,INDIA - ISL,12/03/2024,11:00,Mumbai City,North East Utd,1.45,4.33,5.75
4,SERBIA - SUPER LIGA,12/03/2024,12:00,Novi Pazar,Vozdovac,1.72,3.55,4.65
5,SERBIA - SUPER LIGA,12/03/2024,12:00,Cukaricki,Sp. Subotica,1.55,3.85,5.7
6,SERBIA - SUPER LIGA,12/03/2024,14:00,Javor,Radnik,2.12,3.15,3.45
7,POLAND - EKSTRAKLASA,12/03/2024,14:30,Piast Gliwice,Puszcza,1.45,4.2,8.0
8,SCOTLAND - CHAMPIONSHIP,12/03/2024,16:45,Partick Thistle,Raith,2.1,3.5,3.0
9,ENGLAND - LEAGUE TWO,12/03/2024,16:45,Swindon,Accrington,1.8,4.0,4.0
10,ENGLAND - LEAGUE ONE,12/03/2024,16:45,Shrewsbury,Exeter,2.4,3.3,3.0
11,BRAZIL - COPA DO BRASIL,12/03/2024,19:00,CRB,Athletic Club,1.67,3.4,4.5
12,MOROCCO - BOTOLA PRO,12/03/2024,19:00,Wydad,IR Tanger,1.45,3.8,6.0
13,BRAZIL - COPA DO BRASIL,12/03/2024,21:30,ABC,Brusque,2.4,3.1,2.7
14,SOUTH AMERICA - COPA LIBERTADORES,12/03/2024,21:30,Palestino (Chi),Nacional Asuncion (Par),2.1,3.4,3.4
15,PERU - LIGA 1,12/03/2024,22:30,U. de Deportes,Cusco,1.22,5.5,11.0
