Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,28/01/2024,00:05,MEXICO - LIGA MX,Necaxa,Club America,5.25,4.0,1.65,1.75,1.8,1.95,1.04,1.33,1.25,5.5,1.14
2,28/01/2024,07:00,MALTA - PREMIER LEAGUE,Sirens,Valletta,4.45,3.3,1.78,2.18,2.05,1.6,1.08,1.5,1.4,7.5,1.07
3,28/01/2024,08:45,ENGLAND - FA CUP,West Brom,Wolves,3.8,3.5,2.0,2.08,1.8,1.95,1.06,1.4,1.3,7.0,1.1
4,28/01/2024,09:30,BELGIUM - JUPILER PRO LEAGUE,St. Truiden,Genk,3.75,3.5,1.95,1.88,1.7,2.05,1.05,1.36,1.25,6.0,1.13
5,28/01/2024,10:00,ITALY - SERIE C,Novara,Padova,4.4,3.2,1.85,2.32,2.1,1.65,1.1,1.55,1.45,7.2,1.06
6,28/01/2024,11:00,ENGLAND - FA CUP,Watford,Southampton,3.25,4.0,2.0,1.65,1.62,2.2,1.03,1.3,1.2,4.5,1.18
7,28/01/2024,12:15,MALTA - PREMIER LEAGUE,Gudja,Mosta,4.3,3.3,1.8,2.07,1.93,1.7,1.06,1.47,1.37,7.0,1.08
8,28/01/2024,12:30,SWITZERLAND - SUPER LEAGUE,Grasshoppers,Zurich,3.4,3.8,1.95,1.75,1.67,2.1,1.04,1.33,1.25,5.5,1.14
9,28/01/2024,14:30,ITALY - SERIE C,Ancona,Cesena,5.8,3.45,1.62,2.3,2.25,1.57,1.09,1.55,1.44,7.0,1.07
10,28/01/2024,17:00,JAMAICA - PREMIER LEAGUE,Dunbeholden,Mount Pleasant,3.9,3.35,1.87,2.12,1.98,1.65,1.04,1.47,1.39,8.2,1.04
11,28/01/2024,19:00,PERU - LIGA 1,Carlos Mannucci,U. de Deportes,5.25,3.75,1.6,2.3,2.25,1.57,1.07,1.5,1.4,10.0,1.06
12,28/01/2024,20:15,PANAMA - LPF,Veraguas,Independiente,4.3,3.55,1.75,1.85,1.75,1.85,1.03,1.38,1.27,6.0,1.09
