Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SOUTH KOREA - K LEAGUE 2,10/04/2024,02:00,Cheongju,Gimpo FC,2.25,3.1,2.8
2,SOUTH KOREA - K LEAGUE 2,10/04/2024,02:00,Anyang,Bucheon FC 1995,1.95,3.2,3.5
3,CHINA - SUPER LEAGUE,10/04/2024,08:35,Chengdu Rongcheng,Zhejiang Professional,1.91,3.4,4.2
4,CHINA - SUPER LEAGUE,10/04/2024,09:00,Meizhou Hakka,Qingdao Hainiu,2.25,3.2,3.25
5,ROMANIA - LIGA 2,10/04/2024,11:00,Csikszereda M. Ciuc,Mioveni,2.18,3.1,3.35
6,GHANA - PREMIER LEAGUE,10/04/2024,12:00,Bibiani Gold Stars,Karela,1.5,3.6,6.1
7,ROMANIA - LIGA 2,10/04/2024,13:00,Hunedoara,Unirea Slobozia,1.88,3.4,4.0
8,SOUTH AMERICA - COPA LIBERTADORES,10/04/2024,19:00,Cerro Porteno (Par),Alianza Lima (Per),1.75,3.7,4.75
9,SOUTH AMERICA - COPA LIBERTADORES,10/04/2024,19:00,Ind. del Valle (Ecu),San Lorenzo (Arg),1.7,3.7,5.2
10,SOUTH AMERICA - COPA SUDAMERICANA,10/04/2024,19:00,Fortaleza (Bra),Nacional Potosi (Bol),1.09,10.0,23.0
11,SOUTH AMERICA - COPA SUDAMERICANA,10/04/2024,19:00,Defensa y Justicia (Arg),Always Ready (Bol),1.25,5.5,12.0
12,SOUTH AMERICA - COPA LIBERTADORES,10/04/2024,19:00,Atletico-MG (Bra),Rosario Central (Arg),1.5,4.4,6.3
13,SOUTH AMERICA - COPA SUDAMERICANA,10/04/2024,21:00,Internacional (Bra),Tomayapo (Bol),1.04,13.0,41.0
14,SOUTH AMERICA - COPA SUDAMERICANA,10/04/2024,21:00,Union La Calera (Chi),U. Catolica (Ecu),2.55,3.2,2.8
15,SOUTH AMERICA - COPA LIBERTADORES,10/04/2024,21:00,Penarol (Uru),Caracas (Ven),1.34,5.0,9.75
16,SOUTH AMERICA - COPA SUDAMERICANA,10/04/2024,21:30,Racing Club (Arg),Bragantino (Bra),2.15,3.3,3.4
17,SOUTH AMERICA - COPA LIBERTADORES,10/04/2024,21:30,Flamengo RJ (Bra),Palestino (Chi),1.13,8.25,22.0
18,SOUTH AMERICA - COPA LIBERTADORES,10/04/2024,21:30,Sao Paulo (Bra),Cobresal (Chi),1.18,6.7,17.5
19,SOUTH AMERICA - COPA SUDAMERICANA,10/04/2024,23:00,Ind. Medellin (Col),Cesar Vallejo (Per),1.55,3.8,6.0
20,SOUTH AMERICA - COPA LIBERTADORES,10/04/2024,23:00,Barcelona SC (Ecu),Talleres Cordoba (Arg),2.4,3.25,3.05
