Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,INDONESIA - LIGA 1,02/09/2023,05:00,Persija Jakarta,Persib Bandung,1.9,3.45,3.65
2,SOUTH KOREA - K LEAGUE 2,02/09/2023,06:30,Gimcheon Sangmu,Cheongju,1.5,3.5,6.5
3,SWEDEN - SUPERETTAN,02/09/2023,08:00,Utsikten,Ostersund,1.8,3.3,4.33
4,RUSSIA - PREMIER LEAGUE,02/09/2023,09:15,Pari NN,Rubin Kazan,2.4,3.29,3.4
5,FINLAND - YKKONEN,02/09/2023,10:00,Gnistan,SalPa,1.55,4.0,5.0
6,SWEDEN - SUPERETTAN,02/09/2023,10:00,Vasteras SK,Brage,1.55,4.0,5.25
7,SLOVENIA - PRVA LIGA,02/09/2023,10:00,Bravo,Aluminij,1.88,3.6,3.7
8,NORWAY - OBOS-LIGAEN,02/09/2023,10:00,Kristiansund,Mjondalen,1.53,4.33,6.0
9,FINLAND - YKKONEN,02/09/2023,10:00,Jaro,JJK Jyvaskyla,1.44,4.33,5.75
10,SLOVAKIA - NIKE LIGA,02/09/2023,10:30,Kosice,Z. Moravce-Vrable,1.87,3.65,3.85
11,ENGLAND - FA CUP,02/09/2023,11:00,Widnes,Emley,1.42,4.3,6.4
12,ENGLAND - FA CUP,02/09/2023,11:00,Workington,Prestwich Heys,1.26,5.3,9.5
13,ENGLAND - FA CUP,02/09/2023,11:00,Worksop,Sheffield FC,1.24,5.4,10.5
14,ENGLAND - FA CUP,02/09/2023,11:00,Lancaster,Witton,1.32,4.8,7.9
15,ENGLAND - FA CUP,02/09/2023,11:00,Ashton Utd,Dunston,1.7,3.85,4.2
16,ENGLAND - PREMIER LEAGUE,02/09/2023,11:00,Brentford,Bournemouth,1.73,3.8,4.75
17,ENGLAND - FA CUP,02/09/2023,11:00,Brighouse Town,Albion Sports,1.5,4.25,5.2
18,ENGLAND - FA CUP,02/09/2023,11:00,Gainsborough,Matlock,1.98,3.4,3.45
19,PORTUGAL - LIGA PORTUGAL 2,02/09/2023,11:30,Leiria,AVS,2.15,3.0,3.4
20,POLAND - EKSTRAKLASA,02/09/2023,12:30,Cracovia,Korona Kielce,1.85,3.5,4.2
21,URUGUAY - PRIMERA DIVISION,02/09/2023,12:30,Danubio,Cerro Largo,2.0,3.1,3.8
22,BELGIUM - JUPILER PRO LEAGUE,02/09/2023,13:15,KV Mechelen,Eupen,1.8,3.8,4.0
23,PORTUGAL - LIGA PORTUGAL 2,02/09/2023,14:00,Maritimo,Pacos Ferreira,2.1,3.1,3.25
24,GEORGIA - CRYSTALBET EROVNULI LIGA,02/09/2023,14:00,Dila Gori,Samtredia,1.29,4.75,8.0
25,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,02/09/2023,14:30,Posusje,Sloga Doboj,1.78,3.65,3.95
26,SERBIA - SUPER LIGA,02/09/2023,15:00,Crvena zvezda,Novi Pazar,1.08,8.75,25.0
27,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,02/09/2023,15:00,Al Taawon,Al Wehda,1.62,3.75,4.5
28,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,02/09/2023,15:00,Al Ettifaq,Damac,1.75,3.6,4.33
29,ARGENTINA - PRIMERA NACIONAL,02/09/2023,15:00,Defensores Unidos,Almagro,2.75,2.88,2.9
30,MOROCCO - BOTOLA PRO,02/09/2023,15:15,Renaissance Zemamra,Youssoufia Berrechid,2.1,2.8,3.6
31,SPAIN - PRIMERA RFEF,02/09/2023,15:30,Celta Vigo B,Tarazona,1.53,3.6,6.0
32,ITALY - SERIE C,02/09/2023,15:45,Audace Cerignola,ACR Messina,1.65,3.65,5.0
33,SERBIA - SUPER LIGA,02/09/2023,16:00,Vojvodina,Radnicki 1923,1.53,3.95,5.8
34,SPAIN - LALIGA2,02/09/2023,16:00,Villarreal B,FC Cartagena SAD,2.25,3.25,3.3
35,USA - MLS,02/09/2023,16:30,New York City,Vancouver Whitecaps,1.95,3.6,3.8
36,PORTUGAL - LIGA PORTUGAL,02/09/2023,16:30,Benfica,Vitoria Guimaraes,1.2,6.0,13.0
37,BRAZIL - SERIE B,02/09/2023,17:00,Ceara,Criciuma,2.05,3.05,3.85
38,BRAZIL - SERIE B,02/09/2023,17:00,ABC,Sampaio Correa,2.45,2.8,3.2
39,ARGENTINA - COPA DE LA LIGA PROFESIONAL,02/09/2023,19:00,Belgrano,Newells Old Boys,2.4,2.75,3.6
40,COLOMBIA - PRIMERA A,02/09/2023,20:10,Santa Fe,Junior,2.0,3.4,4.0
41,PANAMA - LPF,02/09/2023,20:15,San Francisco,Alianza,2.37,2.9,3.1
42,USA - USL CHAMPIONSHIP,02/09/2023,20:30,Tampa Bay,Hartford Athletic,1.16,6.6,15.5
43,MEXICO - LIGA MX,02/09/2023,22:05,U.A.N.L.- Tigres,Queretaro,1.53,4.0,7.0
44,USA - MLS,02/09/2023,23:30,Seattle Sounders,Portland Timbers,1.67,4.0,5.0
