,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_Over25,FT_Odd_BTTS_Yes
2,30/07/2023,09:00,FINLAND - VEIKKAUSLIIGA,Haka,Lahti,1.8,3.4,4.2,1.93,1.75,1.93,1.75
1,30/07/2023,13:00,DENMARK - SUPERLIGA,Brondby,Odense,1.73,4.0,4.2,1.48,1.5,1.48,1.5
