,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,AUSTRALIA - A-LEAGUE,29/10/2023,01:00,Central Coast Mariners,Macarthur FC,1.6,4.5,5.0
2,HONG KONG - PREMIER LEAGUE,29/10/2023,04:00,Kitchee,Sham Shui Po,1.01,12.5,55.0
3,ANDORRA - PRIMERA DIVISIÓ,29/10/2023,07:00,Inter Escaldes,Penya,1.27,5.0,8.25
4,THAILAND - THAI LEAGUE 1,29/10/2023,07:30,Trat FC,Prachuap,2.18,3.65,2.87
5,SCOTLAND - PREMIERSHIP,29/10/2023,09:00,Kilmarnock,Aberdeen,2.38,3.2,3.1
6,ANDORRA - PRIMERA DIVISIÓ,29/10/2023,09:30,FC Santa Coloma,Atletic America,1.22,5.5,9.5
7,SPAIN - LALIGA2,29/10/2023,10:00,Mirandes,FC Cartagena SAD,2.25,3.3,3.3
8,NORWAY - OBOS-LIGAEN,29/10/2023,11:00,Raufoss,Hodd,2.5,3.5,2.75
9,NIGERIA - NPFL,29/10/2023,12:00,Shooting,Doma United,1.42,3.95,7.4
10,MOROCCO - BOTOLA PRO,29/10/2023,12:00,FAR Rabat,IR Tanger,1.6,4.5,3.75
11,GHANA - PREMIER LEAGUE,29/10/2023,12:00,Legon Cities,Dreams,2.02,2.9,3.65
12,NETHERLANDS - EREDIVISIE,29/10/2023,12:45,AZ Alkmaar,Nijmegen,1.25,6.0,10.0
13,AUSTRIA - BUNDESLIGA,29/10/2023,13:00,Rapid Vienna,LASK,2.15,3.6,3.2
14,CROATIA - HNL,29/10/2023,13:10,D. Zagreb,Lok. Zagreb,1.2,7.0,13.0
15,QATAR - QSL,29/10/2023,13:30,Al Wakra,Umm-Salal,1.65,3.85,4.6
16,SERBIA - SUPER LIGA,29/10/2023,14:30,Partizan,Vozdovac,1.29,5.1,9.25
17,ECUADOR - LIGA PRO,29/10/2023,15:00,Delfin,Cumbaya,1.55,3.75,5.5
18,SPAIN - PRIMERA RFEF,29/10/2023,16:00,Atl. Madrid B,Merida AD,1.73,3.8,3.8
19,BRAZIL - SERIE A,29/10/2023,16:00,Goias,Vasco,2.5,3.1,3.1
20,USA - MLS,29/10/2023,19:00,Houston Dynamo,Real Salt Lake,1.8,3.8,4.33
21,USA - MLS,29/10/2023,21:00,FC Cincinnati,New York Red Bulls,1.85,3.8,4.0
