Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SERBIA - PRVA LIGA,27/09/2023,10:00,Radnicki Beograd,Mladost GAT,2.62,3.0,2.52
2,ESTONIA - MEISTRILIIGA,27/09/2023,11:00,Tallinna Kalev,Paide,4.7,3.8,1.57
3,BULGARIA - PARVA LIGA,27/09/2023,12:00,Slavia Sofia,Levski Sofia,5.5,3.5,1.7
4,EGYPT - PREMIER LEAGUE,27/09/2023,13:00,Ceramica Cleopatra,Al Ahly,4.9,3.4,1.7
5,BAHRAIN - PREMIER LEAGUE,27/09/2023,13:00,Al-Hidd,Al Riffa,5.8,3.7,1.57
6,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,27/09/2023,13:30,Siroki Brijeg,Borac Banja Luka,2.7,3.05,2.55
7,BELARUS - VYSSHAYA LIGA,27/09/2023,13:45,Shakhtyor Soligorsk,Neman,4.27,3.54,1.82
8,NICARAGUA - LIGA PRIMERA,27/09/2023,18:00,Matagalpa,Ferretti,3.05,2.95,2.37
9,NICARAGUA - LIGA PRIMERA,27/09/2023,21:00,Ocotal,Managua FC,3.96,3.77,1.83
10,NICARAGUA - LIGA PRIMERA,27/09/2023,22:00,Masachapa,Diriangen,6.86,4.51,1.44
