,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,ROMANIA - LIGA 2,01/10/2023,05:00,Unirea Slobozia,Alexandria,1.47,4.05,6.4
2,POLAND - DIVISION 1,01/10/2023,07:40,Wisla,Wisla Plock,1.8,3.75,3.75
3,HONG KONG - PREMIER LEAGUE,01/10/2023,08:00,Lee Man Warriors,Hong Kong Rangers,1.42,4.65,5.8
4,NORTH MACEDONIA - 1. MFL,01/10/2023,09:00,Bregalnica Stip,Vardar,1.75,3.5,4.3
5,THAILAND - THAI LEAGUE 1,01/10/2023,09:00,Chonburi,Uthai Thani,1.62,3.95,4.7
6,NORWAY - OBOS-LIGAEN,01/10/2023,10:00,Fredrikstad,Raufoss,1.55,4.33,5.25
7,SWEDEN - SUPERETTAN,01/10/2023,10:00,Vasteras SK,Trelleborg,1.5,4.33,6.0
8,SWEDEN - ALLSVENSKAN,01/10/2023,10:00,Sirius,Degerfors,1.6,4.33,5.0
9,NORWAY - OBOS-LIGAEN,01/10/2023,10:00,Moss,Hodd,1.95,3.6,3.75
10,FINLAND - YKKONEN,01/10/2023,10:00,JaPS,KPV Kokkola,1.57,4.0,4.75
11,SPAIN - PRIMERA RFEF,01/10/2023,11:00,CF Intercity,Atl. Madrid B,2.15,3.1,3.1
12,NETHERLANDS - EREDIVISIE,01/10/2023,11:45,AZ Alkmaar,Sittard,1.33,4.75,9.5
13,GHANA - PREMIER LEAGUE,01/10/2023,12:00,Great Olympics,Bibiani Gold Stars,1.9,3.0,4.05
14,SPAIN - PRIMERA RFEF,01/10/2023,13:00,Murcia,Alcoyano,1.83,3.2,3.8
15,SPAIN - LALIGA2,01/10/2023,13:30,Amorebieta,FC Cartagena SAD,2.3,3.3,3.2
16,COSTA RICA - PRIMERA DIVISION,01/10/2023,14:00,Cartagines,Grecia,1.4,4.5,5.75
17,BELGIUM - CHALLENGER PRO LEAGUE,01/10/2023,14:15,Dender,Genk U23,1.83,3.8,3.3
18,ARGENTINA - PRIMERA NACIONAL,01/10/2023,16:30,Gimnasia Mendoza,Almagro,1.91,3.1,4.5
19,MOROCCO - BOTOLA PRO,01/10/2023,16:30,Union Touarga,IR Tanger,2.4,3.0,2.75
20,USA - MLS,01/10/2023,21:00,Los Angeles FC,Real Salt Lake,1.53,4.33,5.75
21,COSTA RICA - PRIMERA DIVISION,01/10/2023,21:00,Saprissa,Guanacasteca,1.29,4.75,9.0
