,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,HONG KONG - PREMIER LEAGUE,17/09/2023,04:00,Sham Shui Po,Hong Kong FC,3.4,4.05,1.82
2,SPAIN - PRIMERA RFEF,17/09/2023,07:00,Teruel,Gimnastic,2.6,2.9,2.6
3,ANDORRA - PRIMERA DIVISIÓ,17/09/2023,08:30,Carroi,Atletic America,2.42,3.55,2.42
4,GEORGIA - CRYSTALBET EROVNULI LIGA,17/09/2023,09:00,Samtredia,Shukura,1.75,3.5,4.0
5,NORTH MACEDONIA - 1. MFL,17/09/2023,10:00,Tikves,Vardar,1.8,3.4,4.2
6,PORTUGAL - LIGA PORTUGAL 2,17/09/2023,10:00,Os Belenenses,Leiria,2.88,2.88,2.4
7,NORTH MACEDONIA - 1. MFL,17/09/2023,10:00,Rabotnicki,Voska Sport,,,
8,SAN MARINO - CAMPIONATO SAMMARINESE,17/09/2023,10:00,San Giovanni,San Marino Academy U22,,,
9,NORTH MACEDONIA - 1. MFL,17/09/2023,10:00,Makedonija GP,KF Gostivar,2.0,3.15,3.7
10,ENGLAND - PREMIER LEAGUE,17/09/2023,10:00,Bournemouth,Chelsea,4.33,4.0,1.75
11,ALBANIA - SUPERLIGA,17/09/2023,10:00,Egnatia,Laci,,,
12,ALBANIA - SUPERLIGA,17/09/2023,10:00,Dinamo Tirana,Partizani,,,
13,NIGERIA - NPFL,17/09/2023,11:00,Sunshine Stars,Kano Pillars,,,
14,NIGERIA - NPFL,17/09/2023,11:00,Heartland,Lobi Stars,,,
15,NIGERIA - NPFL,17/09/2023,11:00,Katsina Utd,Kwara,,,
16,ENGLAND - FA CUP,17/09/2023,11:00,Biggleswade FC,Cambridge City,1.45,4.4,5.7
17,ENGLAND - FA CUP,17/09/2023,11:00,Cray Wanderers,Ramsgate,,,
18,ENGLAND - FA CUP,17/09/2023,11:00,Wingate & Finchley,Farnborough,3.38,3.9,2.16
19,NIGERIA - NPFL,17/09/2023,12:00,Sporting Lagos,Gombe,,,
20,GHANA - PREMIER LEAGUE,17/09/2023,12:00,Samartex,Aduana,,,
21,GHANA - PREMIER LEAGUE,17/09/2023,12:00,Legon Cities,Karela,1.93,2.85,4.1
22,URUGUAY - PRIMERA DIVISION,17/09/2023,12:30,Danubio,Racing Montevideo,2.15,3.0,3.5
23,MALTA - PREMIER LEAGUE,17/09/2023,13:00,Birkirkara,Sliema,1.45,4.25,5.9
24,ANDORRA - PRIMERA DIVISIÓ,17/09/2023,13:30,Inter Escaldes,FC Santa Coloma,2.07,3.15,3.2
25,ITALY - SERIE C,17/09/2023,13:30,Novara,Trento,2.35,2.92,3.2
26,ITALY - SERIE C,17/09/2023,13:30,L.R. Vicenza,Lumezzane,1.39,4.3,7.8
27,SERBIA - PRVA LIGA,17/09/2023,14:00,Metalac,Mladost GAT,2.32,2.9,3.0
28,PORTUGAL - LIGA PORTUGAL,17/09/2023,14:00,Vitoria Guimaraes,Portimonense,1.57,3.8,6.0
29,BULGARIA - PARVA LIGA,17/09/2023,14:15,CSKA Sofia,CSKA 1948 Sofia,1.83,3.6,4.5
30,SPAIN - PRIMERA RFEF,17/09/2023,14:30,Antequera,Castellon,3.75,3.1,2.0
31,ECUADOR - LIGA PRO,17/09/2023,14:30,Aucas,Tecnico U.,1.91,3.4,3.75
32,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,17/09/2023,14:45,Siroki Brijeg,Zvijezda 09,1.47,4.2,5.9
33,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,17/09/2023,14:45,Borac Banja Luka,Posusje,1.4,4.35,6.8
34,CANADA - CANADIAN PREMIER LEAGUE,17/09/2023,15:00,Valour,Forge,3.8,3.4,1.95
35,GHANA - PREMIER LEAGUE,17/09/2023,15:00,Asante Kotoko,Heart of Lions,1.45,3.4,7.8
36,ARGENTINA - PRIMERA NACIONAL,17/09/2023,15:15,Gimnasia Jujuy,Chacarita Juniors,3.3,3.1,2.3
37,PERU - LIGA 1,17/09/2023,17:00,ADT Tarma,Sport Huancayo,2.1,3.25,3.5
38,MOROCCO - BOTOLA PRO,17/09/2023,17:30,IR Tanger,Mouloudia Oujda,1.73,3.1,4.5
