Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,19/04/2024,09:00,THAILAND - THAI LEAGUE 1,Port MTI FC,Chiangrai Utd,1.29,5.2,8.75,1.6,2.02,1.7,1.03,1.31,1.19,4.0,1.2
2,19/04/2024,11:00,INDIA - ISL,Odisha FC,Kerala Blasters,1.65,3.75,4.5,1.65,1.67,2.1,1.03,1.3,1.2,4.5,1.18
3,19/04/2024,12:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Nassr,Al Feiha,1.5,5.0,5.0,1.4,1.53,2.38,1.02,1.22,1.13,3.4,1.3
4,19/04/2024,12:30,SLOVAKIA - NIKE LIGA,Trencin,Kosice,1.44,4.55,6.4,1.7,1.88,1.83,1.04,1.35,1.23,4.55,1.18
5,19/04/2024,13:00,RUSSIA - PREMIER LEAGUE,Krasnodar,Fakel Voronezh,1.68,4.01,5.91,2.15,2.07,1.72,1.03,1.44,1.33,6.8,1.06
6,19/04/2024,13:10,AUSTRIA - 2. LIGA,Admira,Kapfenberg,1.62,3.75,5.1,1.87,1.87,1.83,1.06,1.4,1.28,5.2,1.13
7,19/04/2024,15:00,BELGIUM - CHALLENGER PRO LEAGUE,Oostende,St. Liege U23,1.29,5.75,7.5,1.48,1.8,1.91,1.02,1.25,1.14,3.75,1.25
8,19/04/2024,15:00,NETHERLANDS - EERSTE DIVISIE,Dordrecht,Oss,1.45,4.75,6.0,1.44,1.57,2.25,1.02,1.22,1.13,3.4,1.3
9,19/04/2024,15:00,BELGIUM - CHALLENGER PRO LEAGUE,Waregem,Lierse K.,1.5,4.5,5.25,1.48,1.62,2.2,1.02,1.25,1.14,3.75,1.25
10,19/04/2024,15:15,SWITZERLAND - CHALLENGE LEAGUE,Sion,Stade Nyonnais,1.45,4.4,6.1,1.57,1.72,2.0,1.03,1.31,1.19,3.9,1.21
11,19/04/2024,15:30,POLAND - EKSTRAKLASA,Rakow,Gornik Zabrze,1.57,4.0,5.75,1.93,1.95,1.8,1.05,1.36,1.29,6.5,1.11
12,19/04/2024,16:00,ENGLAND - LEAGUE ONE,Oxford Utd,Stevenage,1.75,3.6,4.75,2.03,1.95,1.8,1.05,1.4,1.3,7.0,1.1
13,19/04/2024,19:00,BRAZIL - SERIE B,Novorizontino,CRB,1.75,3.45,4.7,2.37,2.2,1.6,1.1,1.55,1.47,7.6,1.06
14,19/04/2024,22:10,COLOMBIA - PRIMERA A,Bucaramanga,Chico,1.7,3.5,5.75,2.2,2.1,1.67,1.07,1.44,1.36,9.0,1.07
