,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_Under25,Media_Ptos_H,DP_Ptos_H,CV_Ptos_H,Media_VG_H,DP_VG_H,CV_VG_H,Media_CG_H,DP_CG_H,CV_CG_H,Media_GM_H,DP_GM_H,CV_GM_H,Media_GS_H,DP_GS_H,CV_GS_H,Media_SG_H,DP_SG_H,CV_SG_H,Media_p_H,DP_p_H,Media_CG_H_02,GM_H_XP,CV_GM_H_XP,GS_H_XP,CV_GS_H_XP,Media_Ptos_A,DP_Ptos_A,CV_Ptos_A,Media_VG_A,DP_VG_A,CV_VG_A,Media_CG_A,DP_CG_A,CV_CG_A,Media_GM_A,DP_GM_A,CV_GM_A,Media_GS_A,DP_GS_A,CV_GS_A,Media_SG_A,DP_SG_A,CV_SG_A,Media_p_A,DP_p_A,GM_A_XP,CV_GM_A_XP,GS_A_XP,CV_GS_A_XP,p_H,p_D,p_A,p_Over,p_Under,p_BTTS_Y,p_BTTS_N,p_H__p_D,p_H__p_A,p_D__p_H,p_D__p_A,p_A__p_H,p_A__p_D,p_D__p_Over,p_D__p_Under,CV_HDA,CV_HD,CV_HA,CV_DA,CV_DO,H_A,A_D,H_D,H_O,A_O,O_D,O_S,Odd_Sum,coeficiente_pontos,cv_pontos,HO_D,AO_D,ADJ_H,ADJ_A,CV_MO,DP_MO,CV_MO_OV,Euc_Dist_MO,Angle_MO,Euc_Dist_OV,Angle_OV,XPT_H,XPT_A,XPT_H/A,XPT_A/H,Distancia_E_Geral,DE,DE_Casa,prediction_label,prediction_score
1,MEXICO - LIGA DE EXPANSION MX,2024-12-04,00:05,Celaya,Tapatio,1.75,3.5,4.4,1.91,1.83,1.88,1.82,1.6363636,1.2984415,0.793492,0.27043477,0.19880427,0.7351284,0.5296751,0.17630492,0.3328548,1.5454545,1.1570839,0.7487013,1.0909091,0.9958592,0.91287094,0.45454547,1.3726971,3.0199337,0.64807105,0.088237055,1.0967628,2.5289257,0.70710677,0.9917355,1.0954452,1.7272727,1.2128786,0.70219284,0.88009644,0.6797891,0.772403,0.3089445,0.06016194,0.19473381,1.9090909,1.3787047,0.72217864,0.8181818,0.7158189,0.8748898,1.0909091,1.781447,1.6329932,0.2940706,0.09312982,3.9917355,0.6593805,1.1900827,0.49212548,0.5714286,0.2857143,0.22727273,0.5235602,0.5494506,0.5464481,0.5319149,2.0,2.5142858,0.5,1.2571429,0.39772728,0.79545456,0.54571426,0.52,0.41598454,0.33333334,0.43089432,0.11392405,0.2939002,0.39772728,1.2571429,0.5,0.9162304,2.303665,0.54571426,1.0437158,9.65,-0.091,2.511,-0.18134715,0.09326425,0.18134715,0.45595855,0.41892081,1.3475286,0.44277138,3.3007574,41.185925,0.12727922,2.576572,1.9415585,1.2532468,1.5492228,0.6454849,3.3007574,0.9,1.75,1.0,0.902
2,AUSTRALIA - A-LEAGUE,2024-12-04,06:45,Adelaide United,Macarthur FC,1.7,4.5,4.0,1.29,1.33,3.25,3.75,1.0909091,1.2398347,1.1365151,0.65554935,0.63499504,0.96864563,0.4199124,0.17404717,0.41448447,1.8181819,1.4024771,0.7713624,2.3636363,1.2264307,0.5188745,-0.54545456,2.1046977,-3.8586123,0.46099326,0.11637023,1.1395875,4.958678,0.51424164,2.5785124,1.1242281,1.6363636,1.2984415,0.793492,1.0634729,0.38410357,0.36117852,0.14960067,0.06612062,0.44198078,1.9090909,0.66804266,0.3499271,1.7272727,1.2856487,0.74432296,0.18181819,1.3360853,7.3484693,0.25656894,0.07724563,2.6033058,0.48989794,2.355372,0.94280905,0.5882353,0.22222222,0.25,0.7751938,0.26666668,0.7518797,0.30769232,2.6470587,2.3529413,0.37777779,0.8888889,0.425,1.125,0.28666666,0.8333333,0.47068322,0.4516129,0.40350878,0.05882353,0.55440414,0.425,0.8888889,0.37777779,1.3178295,3.1007752,0.28666666,0.9699248,10.2,-0.545,2.538,-0.27450982,-0.04901961,0.16666667,0.39215687,0.4392113,1.4933184,0.56130755,3.6578681,54.462322,3.4789653,-50.888607,2.014706,1.3382353,1.5054945,0.66423357,3.6578681,0.5,2.8,1.0,0.9089
3,INDIA - I-LEAGUE,2024-12-04,10:30,Aizawl,Neroca FC,1.44,4.6,5.86,1.4,1.5,2.4,2.75,1.0,1.0444659,1.0444659,0.5113952,0.51984996,1.0165328,0.49182805,0.14114521,0.2869808,1.1818181,1.1922616,1.0088367,1.4545455,1.7768018,1.2215513,-0.27272728,2.2998383,-8.43274,0.37407726,0.09896537,0.7779477,2.1487603,0.65574384,1.7190082,1.5034478,0.6363636,1.1499192,1.8070158,0.8180406,0.69892377,0.8543876,0.30567378,0.068306655,0.2234626,1.2727273,1.0523489,0.82684547,3.0,1.2060454,0.40201512,-1.7272727,1.7627927,-1.0205642,0.1954171,0.1082692,0.5785124,2.3151674,4.909091,0.7370277,0.6944444,0.2173913,0.17064847,0.71428573,0.36363637,0.6666667,0.41666666,3.1944444,4.0694447,0.31304348,1.273913,0.24573378,0.7849829,0.3043478,0.59782606,0.65591615,0.5231788,0.6054795,0.12045889,0.53333336,0.24573378,1.273913,0.31304348,1.0285715,4.1857142,0.3043478,0.93333334,11.9,0.364,2.194,-0.26554623,0.105882354,0.1210084,0.49243698,0.57404494,2.2770448,0.67943084,5.577598,57.669815,1.9091883,-34.01935,2.2539818,1.2063898,1.8683693,0.5352261,5.577598,1.26,3.16,1.0,0.9796
4,SLOVAKIA - NIKE LIGA,2024-12-04,12:30,Zilina,Ruzomberok,1.7,3.85,4.55,1.8,1.75,1.95,2.0,2.0,1.3483998,0.6741999,0.5543809,0.5568527,1.0044588,0.46374375,0.23564208,0.50812995,2.0,1.7056057,0.8528029,1.9090909,1.3787047,0.72217864,0.09090909,2.3141677,25.455845,0.48743588,0.15677835,1.2437179,0.90909094,3.7523327,4.859504,0.54163396,1.2727273,1.1354542,0.8921426,0.749958,0.5121429,0.6828954,0.32143387,0.07793649,0.2424651,1.4545455,1.0756508,0.73951,1.8181819,1.465865,0.8062258,-0.36363637,1.9666643,-5.408327,0.25627983,0.08230003,2.3801653,0.6573422,3.1404958,0.8486587,0.5882353,0.25974026,0.21978022,0.5555556,0.5,0.5714286,0.51282054,2.264706,2.6764705,0.44155845,1.1818181,0.37362638,0.84615386,0.46753246,0.5194805,0.46381608,0.3873874,0.456,0.083333336,0.36283186,0.37362638,1.1818181,0.44155845,0.9444444,2.5277777,0.46753246,1.0285715,10.1,0.727,2.484,-0.21287128,0.06930693,0.16831683,0.45049506,0.44114995,1.4852048,0.4852653,3.637994,47.07003,0.28284273,-5.710593,1.9844861,1.247576,1.5906736,0.6286645,3.637994,0.7,2.15,1.0,0.9515
5,SWEDEN - SUPERETTAN,2024-12-04,14:00,Sundsvall,Skovde AIK,2.05,3.4,3.2,1.9,1.75,2.0,1.95,1.4545455,1.233151,0.84779125,0.47607324,0.2535262,0.53253615,0.38901305,0.11205406,0.28804705,1.2727273,0.74965554,0.58901507,1.4545455,1.0756508,0.73951,-0.18181819,1.2662171,-6.9641943,0.39247742,0.10535598,0.8326023,1.8512397,0.5153882,1.4545455,1.0756508,0.8181818,1.1134044,1.3608277,0.82509077,0.53418475,0.6474255,0.30298954,0.059037205,0.19484897,1.4545455,0.8907235,0.61237246,2.4545455,1.304791,0.53158146,-1.0,1.5374123,-1.5374123,0.2433635,0.105883814,1.0578512,1.2247449,4.6859503,0.6834619,0.4878049,0.29411766,0.3125,0.5263158,0.51282054,0.5714286,0.5,1.6585366,1.5609756,0.60294116,0.9411765,0.640625,1.0625,0.5588235,0.5735294,0.2392918,0.24770643,0.21904762,0.030303031,0.28301886,0.640625,0.9411765,0.60294116,1.0789474,1.6842105,0.5588235,1.0857143,8.65,0.636,2.347,-0.15606937,-0.023121387,0.23699422,0.3699422,0.25268778,0.7285831,0.29261324,1.7846569,34.01935,0.07071068,-1.4320962,1.7759147,1.4253049,1.2459893,0.8025751,1.7846569,0.2,1.35,1.0,0.7539
6,SWITZERLAND - CHALLENGE LEAGUE,2024-12-04,14:30,Xamax,Aarau,2.1,3.55,3.1,1.57,1.5,2.4,2.25,1.2727273,1.1354542,0.8921426,0.3474552,0.41550404,1.1958492,0.5988433,0.23568933,0.3935743,1.2727273,1.1354542,0.8921426,1.1818181,0.83319557,0.70501167,0.09090909,1.6211413,17.832554,0.5404978,0.14703226,0.9066125,2.0826447,0.69388866,1.0743802,0.9165151,0.8181818,1.1134044,1.3608277,0.391039,0.34594777,0.8846886,0.54201204,0.09984378,0.18420951,1.0,0.8528029,0.8528029,1.9090909,1.3787047,0.72217864,-0.90909094,1.6762809,-1.8439089,0.35644978,0.107178286,1.0,0.8528029,1.9090909,1.3787047,0.47619048,0.28169015,0.32258064,0.6369427,0.44444445,0.6666667,0.41666666,1.6904762,1.4761904,0.5915493,0.87323946,0.67741936,1.1451613,0.44225353,0.63380283,0.23248768,0.25663716,0.1923077,0.067669176,0.38671875,0.67741936,0.87323946,0.5915493,1.3375796,1.9745224,0.44225353,1.0466666,8.75,0.455,2.249,-0.16571428,-0.05142857,0.24,0.35428572,0.2544622,0.7421815,0.3511123,1.8179659,35.942112,0.9616652,-18.778032,1.751152,1.4439324,1.2127659,0.8245614,1.8179659,0.45,1.45,1.0,0.7473
7,ROMANIA - LIGA 1,2024-12-04,14:30,Univ. Craiova,Farul Constanta,1.85,3.4,4.0,2.0,1.8,1.91,1.85,1.4545455,1.233151,0.84779125,0.29158157,0.18905485,0.64837724,0.52296114,0.17713982,0.33872464,1.2727273,0.6165755,0.48445213,1.4545455,0.9875255,0.6789238,-0.18181819,1.2662171,-6.9641943,0.57105637,0.120029874,0.9218918,1.1570247,0.678233,1.322314,1.0862781,1.4545455,1.233151,0.84779125,0.5547459,0.41528806,0.74860954,0.421886,0.06858061,0.16255723,1.1818181,0.9359664,0.79197156,1.2727273,1.2128786,0.952976,-0.09090909,1.0833068,-11.916375,0.32462743,0.09525284,0.8595041,1.2869538,1.9669422,0.78480375,0.5405405,0.29411766,0.25,0.5,0.5405405,0.5555556,0.5235602,1.8378378,2.162162,0.5441176,1.1764706,0.4625,0.85,0.5882353,0.5441176,0.35358223,0.2952381,0.36752138,0.08108108,0.25925925,0.4625,1.1764706,0.5441176,0.925,2.0,0.5882353,1.1111112,9.25,0.0,2.466,-0.16756757,0.06486487,0.2,0.43243244,0.3598149,1.1094292,0.37526834,2.7175357,37.775684,0.21213204,4.289153,1.8716216,1.2905406,1.4502618,0.6895307,2.7175357,0.6,1.55,1.0,0.839
8,POLAND - DIVISION 1,2024-12-04,15:30,R. Rzeszow,S. Rzeszow,2.25,3.4,2.75,1.73,1.62,2.2,2.08,1.0,1.2792042,1.2792042,0.43842098,0.34412065,0.7849092,0.4785371,0.10834503,0.22640884,1.0,0.73854893,0.73854893,1.5454545,1.233151,0.7979212,-0.54545456,1.5587662,-2.857738,0.3530255,0.08161844,0.6765128,1.4545455,0.5077524,1.5454545,1.233151,1.2727273,1.354515,1.0642618,0.6847719,0.33302954,0.48633647,0.28737998,0.082903884,0.28848177,1.3636364,0.64282435,0.47140452,1.8181819,1.2662171,0.6964194,-0.45454547,1.4993111,-3.2984846,0.29376367,0.05866563,1.3636364,0.64282435,3.3057852,0.6964194,0.44444445,0.29411766,0.36363637,0.5780347,0.48076922,0.61728394,0.45454547,1.5111111,1.2222222,0.6617647,0.8088235,0.8181818,1.2363636,0.5088235,0.6117647,0.16719761,0.20353982,0.1,0.10569106,0.32553607,0.8181818,0.8088235,0.6617647,1.300578,1.5895953,0.5088235,1.0679013,8.4,-0.273,2.634,-0.13690476,-0.077380955,0.26785713,0.32738096,0.20593862,0.57662815,0.28140777,1.4124447,29.898901,0.49497473,-9.926246,1.6969697,1.5353535,1.1052631,0.9047619,1.4124447,0.65,1.15,1.0,0.5513
9,POLAND - EKSTRAKLASA,2024-12-04,15:30,Pogon Szczecin,Ruch Chorzow,1.45,4.33,5.75,1.6,1.75,2.0,2.3,1.5454545,1.3726971,0.88821584,0.58802676,0.5303552,0.9019236,0.36930302,0.098418355,0.26649755,2.3636363,1.4937888,0.6319876,1.8181819,1.1134044,0.61237246,0.54545456,2.0164611,3.6968455,0.5711057,0.12523104,1.467371,2.5785124,1.3693064,1.1570247,1.7496356,0.6363636,0.4810457,0.75592893,0.65060025,0.6520981,1.0023023,0.4123895,0.08672359,0.21029533,1.1818181,1.1134044,0.94211143,1.7272727,1.0523489,0.6092546,-0.54545456,0.78202957,-1.4337208,0.23172852,0.081468135,1.0743802,1.2247449,3.1404958,0.57879186,0.6896552,0.23094688,0.17391305,0.625,0.4347826,0.5714286,0.5,2.986207,3.9655173,0.334873,1.3279445,0.2521739,0.7530435,0.369515,0.5311778,0.6327661,0.4982699,0.5972222,0.14087301,0.460371,0.2521739,1.3279445,0.334873,0.90625,3.59375,0.369515,0.9142857,11.53,0.909,1.854,-0.24978317,0.12315698,0.12575889,0.49869904,0.5700574,2.1909206,0.64324474,5.3666377,55.222168,0.98994946,-19.290047,2.2428787,1.2113943,1.8514851,0.54010695,5.3666377,1.42,2.88,1.0,0.9915
10,SPAIN - LALIGA2,2024-12-04,15:30,Leganes,Espanyol,2.38,2.9,3.3,2.7,2.2,1.62,1.44,1.8181819,1.1134044,0.61237246,0.31434298,0.25126797,0.79934335,0.5093734,0.16002601,0.31416246,1.4545455,1.233151,0.84779125,0.6363636,0.7713892,1.212183,0.8181818,1.5850542,1.9372884,0.49999264,0.076530434,0.97726905,1.4545455,1.233151,0.5785124,0.84852815,1.2727273,1.1354542,0.8921426,0.34562874,0.4308548,1.2465826,0.56321096,0.12832294,0.2278417,1.0,0.9534626,0.9534626,1.0909091,0.9958592,0.91287094,-0.09090909,1.1642044,-12.806249,0.38209498,0.1432751,0.6363636,1.4982984,1.3884298,0.7824608,0.42016807,0.3448276,0.3030303,0.37037036,0.6944444,0.45454547,0.61728394,1.2184874,1.3865546,0.8206897,1.137931,0.72121215,0.8787879,0.9310345,0.49655172,0.13614963,0.09848485,0.16197184,0.06451613,0.035714287,0.72121215,1.137931,0.8206897,0.88148147,1.2222222,0.9310345,1.2272727,8.58,0.545,2.249,-0.060606062,0.046620045,0.2773893,0.3846154,0.16129458,0.4613025,0.136544,1.1299558,14.574216,1.7819091,32.210926,1.5635345,1.3292589,1.1762452,0.85016286,1.1299558,0.4,0.52,1.0,0.6466
