Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,03/08/2023,05:00,INDONESIA - LIGA 1,PSM Makassar,Persik Kediri,1.46,4.33,6.12,1.68,1.68,1.78,1.99
2,03/08/2023,08:35,CHINA - SUPER LEAGUE,Shanghai Port,Tianjin Jinmen Tiger,1.29,5.5,11.0,1.62,1.62,2.05,1.7
3,03/08/2023,09:00,INDONESIA - LIGA 1,Persita,FC Bhayangkara,1.64,3.92,4.73,1.74,1.74,1.7,2.1
