,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Ptos_H,DesvPad_Ptos_H,CV_VG_H,Media_Ptos_A,DesvPad_Ptos_A,CV_VG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA,coeficiente_pontos,cv_pontos,prediction_label,prediction_score
1,MEXICO - LIGA MX,07/10/2023,00:00,Mazatlan FC,Club America,4.75,4.0,1.7,1.57,2.35,1.57,2.25,0.8,1.1661904,0.955,2.8,0.6,0.469,0.21052632,0.25,0.5882353,0.6369427,0.42553192,0.48490736,-2.0,1.766,1,0.927
2,SOUTH KOREA - K LEAGUE 2,07/10/2023,01:30,Gimcheon Sangmu,Bucheon FC 1995,1.7,3.8,4.75,1.98,1.83,1.91,1.8,2.4,0.9165151,0.725,1.4,1.356466,0.92,0.5882353,0.2631579,0.21052632,0.5050505,0.5464481,0.4718891,1.0,2.273,1,0.6206
3,SOUTH KOREA - K LEAGUE 2,07/10/2023,04:00,Seongnam,Asan,2.4,3.2,3.0,2.35,1.57,2.0,1.73,1.0,1.0954452,0.641,0.8,1.1661904,1.202,0.41666666,0.3125,0.33333334,0.42553192,0.6369427,0.12707335,0.2,2.262,1,0.5054
4,ROMANIA - LIGA 2,07/10/2023,05:00,Viitorul Tg. Jiu,Concordia,4.5,3.45,1.75,2.15,1.65,2.05,1.7,1.4,1.356466,1.366,1.4,1.356466,1.115,0.22222222,0.28985506,0.5714286,0.4651163,0.6060606,0.41869184,0.0,2.713,1,0.9438
5,ROMANIA - LIGA 2,07/10/2023,05:00,Unirea Dej,CSC Dumbravita,2.27,3.25,3.0,2.07,1.7,1.83,1.87,1.0,1.0954452,0.993,1.3,1.4177446,0.853,0.44052863,0.30769232,0.33333334,0.4830918,0.5882353,0.15959325,-0.3,2.513,1,0.9485
6,ROMANIA - LIGA 2,07/10/2023,05:00,Metaloglobus Bucharest,Csikszereda M. Ciuc,2.3,3.25,2.95,2.15,1.65,1.9,1.8,1.5,1.024695,0.943,1.0,1.0954452,1.079,0.4347826,0.30769232,0.33898306,0.4651163,0.6060606,0.14998206,0.5,2.12,1,0.7522
7,INDONESIA - LIGA 1,07/10/2023,05:00,Persebaya,Persib Bandung,2.52,3.2,2.62,1.7,1.93,1.53,2.18,2.0,1.264911,0.67,0.9,1.1357816,0.659,0.3968254,0.3125,0.3816794,0.5882353,0.5181347,0.1009326,1.1,2.401,1,0.5071
8,ROMANIA - LIGA 2,07/10/2023,05:00,Mioveni,CSM Resita,1.78,3.5,4.3,2.05,1.72,1.93,1.78,0.6,0.9165151,2.205,0.5,0.5,1.0,0.56179774,0.2857143,0.23255815,0.4878049,0.5813953,0.40085432,0.1,1.417,1,0.5875
9,ROMANIA - LIGA 2,07/10/2023,05:30,CSM Slatina,Gloria Buzau,2.75,2.95,2.65,2.42,1.5,2.05,1.7,1.4,1.1135529,1.092,0.8,0.8717798,0.824,0.36363637,0.33898306,0.3773585,0.41322315,0.6666667,0.044104114,0.6,1.985,1,0.7066
10,RUSSIA - PREMIER LEAGUE,07/10/2023,06:00,Ural,Lokomotiv Moscow,2.63,3.55,2.82,2.02,1.92,1.73,2.05,1.6,1.4282857,0.967,2.1,1.1357816,0.615,0.38022813,0.28169015,0.35460994,0.4950495,0.5208333,0.123196855,-0.5,2.564,1,0.5453
11,SOUTH KOREA - K LEAGUE 2,07/10/2023,06:30,Gimpo FC,Anyang,2.7,3.2,2.63,2.35,1.57,1.91,1.8,1.2,1.2489996,0.863,1.3,1.4177446,0.706,0.37037036,0.3125,0.38022813,0.42553192,0.6369427,0.084308684,-0.1,2.667,1,0.6673
