,Entrada,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,N1,N2,N3
1,Lay Away New,27/04/2024,06:45,AUSTRALIA - A-LEAGUE,Melbourne Victory,WS Wanderers,1.83,3.8,4.0,1.5,2.63,1.5,2.5,A,D,H
2,Lay Away New,27/04/2024,10:00,POLAND - EKSTRAKLASA,Gornik Zabrze,LKS Lodz,1.62,4.0,5.0,1.73,2.08,1.75,2.0,D,H,H
3,Lay Away New,27/04/2024,10:15,BULGARIA - PARVA LIGA,CSKA Sofia,PFC Levski Sofia,1.85,3.4,4.5,2.6,1.48,2.38,1.53,A,D,H
4,Lay Away New,27/04/2024,11:00,SCOTLAND - LEAGUE TWO,Spartans,Peterhead,2.25,3.4,2.88,1.98,1.88,1.73,2.0,D,D,H
5,Lay Away New,27/04/2024,11:00,SCOTLAND - PREMIERSHIP,Kilmarnock,Hearts,2.25,3.3,3.3,2.05,1.8,1.8,1.95,D,D,H
6,Lay Away New,27/04/2024,11:00,ENGLAND - LEAGUE TWO,Swindon,Morecambe,1.53,4.5,5.5,1.48,2.6,1.57,2.25,A,H,H
7,Lay Away New,27/04/2024,12:00,AUSTRIA - BUNDESLIGA,Wolfsberger AC,FC Blau Weiss Linz,2.25,3.4,3.2,2.25,1.62,1.95,1.8,D,H,D
8,Lay Away New,27/04/2024,13:00,BULGARIA - PARVA LIGA,Botev Plovdiv,Slavia Sofia,1.91,3.6,3.8,2.2,1.65,2.1,1.67,A,D,H
9,Lay Away New,27/04/2024,19:30,PERU - LIGA 1,Cusco FC,Cienciano,2.1,3.2,3.4,1.95,1.9,1.73,2.0,A,H,H
10,Lay Away New,27/04/2024,20:00,ECUADOR - LIGA PRO,LDU,Tecnico Universitario,1.45,4.2,6.5,1.8,2.0,1.91,1.8,H,D,H
11,Lay Away New,27/04/2024,21:00,COSTA RICA - PRIMERA DIVISION,Sporting San Jose,Liberia,2.2,3.2,3.25,1.83,1.98,1.67,2.1,D,A,H
12,Lay Away New,27/04/2024,23:00,COSTA RICA - PRIMERA DIVISION,Herediano,Alajuelense,2.55,3.3,2.6,1.8,2.0,1.62,2.2,D,A,H
