,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
1,AUSTRALIA - A-LEAGUE,25/11/2023,00:30,Wellington Phoenix,Melbourne City,3.5,4.0,1.95,1.65,2.2,1.62,1.2,2.2,1.7,1.4,1.8,1.5,0.286,0.25,0.513,0.606,0.833,0.333,-0.1,-0.1,1,0.7061
2,AUSTRALIA - A-LEAGUE,25/11/2023,03:30,Central Coast Mariners,Newcastle Jets,1.75,4.2,4.0,1.44,2.7,1.5,1.29,2.5,2.4,0.9,1.1,2.0,0.571,0.238,0.25,0.694,0.775,0.437,1.3,-1.1,1,0.9142
3,AUSTRALIA - A-LEAGUE,25/11/2023,05:45,Sydney FC,WS Wanderers,2.3,3.6,2.8,1.53,2.4,1.5,1.22,2.5,1.5,1.6,1.6,1.6,0.435,0.278,0.357,0.654,0.82,0.18,-0.1,0.0,1,0.8918
4,BELGIUM - CHALLENGER PRO LEAGUE,25/11/2023,12:00,Club Brugge KV U23,Oostende,2.8,3.4,2.3,1.7,2.1,1.57,1.17,2.25,1.6,1.3,1.0,1.9,0.357,0.294,0.435,0.588,0.855,0.159,0.6,-0.6,1,0.6527
5,SCOTLAND - PREMIERSHIP,25/11/2023,12:00,Dundee FC,Hibernian,2.55,3.4,2.63,2.03,1.83,1.75,1.1,2.0,1.8,1.2,1.1,1.7,0.392,0.294,0.38,0.493,0.909,0.123,0.7,-0.5,1,0.6415
6,SCOTLAND - PREMIERSHIP,25/11/2023,12:00,Hearts,St Johnstone,1.55,4.2,5.75,2.03,1.83,1.95,1.1,1.8,1.4,1.4,0.7,1.4,0.645,0.238,0.174,0.493,0.909,0.592,0.7,0.0,1,0.5881
7,SCOTLAND - PREMIERSHIP,25/11/2023,12:00,Ross County,Kilmarnock,2.7,3.3,2.6,2.15,1.67,1.91,1.08,1.91,1.2,1.3,1.1,1.6,0.37,0.303,0.385,0.465,0.926,0.101,0.1,-0.3,1,0.839
8,SCOTLAND - PREMIERSHIP,25/11/2023,12:00,St. Mirren,Livingston,1.73,3.6,5.0,2.15,1.67,2.05,1.08,1.7,1.5,1.8,0.6,2.0,0.578,0.278,0.2,0.465,0.926,0.463,0.9,-0.2,1,0.6008
9,SWITZERLAND - SUPER LEAGUE,25/11/2023,14:00,Luzern,Winterthur,1.83,4.0,3.75,1.48,2.6,1.5,1.25,2.5,1.7,1.4,1.8,2.5,0.546,0.25,0.267,0.676,0.8,0.383,-0.1,-1.1,1,0.9091
10,SPAIN - PRIMERA RFEF,25/11/2023,14:00,Ponferradina,Tarazona,1.67,3.4,5.25,2.5,1.5,2.5,1.05,1.5,1.2,1.2,0.8,1.4,0.599,0.294,0.19,0.4,0.952,0.481,0.4,-0.2,1,0.559
