,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,HONG KONG - PREMIER LEAGUE,12/11/2023,04:00,North District,Tai Po,,,
2,HONG KONG - PREMIER LEAGUE,12/11/2023,05:30,Hong Kong FC,Resources Capital,1.6,4.25,4.35
3,RUSSIA - PREMIER LEAGUE,12/11/2023,08:00,Pari NN,Baltika,2.56,3.19,3.22
4,NORTH MACEDONIA - 1. MFL,12/11/2023,09:00,Makedonija GP,Rabotnicki,1.98,3.3,3.6
5,RUSSIA - PREMIER LEAGUE,12/11/2023,10:30,Dynamo Moscow,Orenburg,1.75,4.34,4.71
6,ARMENIA - PREMIER LEAGUE,12/11/2023,11:00,Ararat Yerevan,Alashkert,3.9,3.2,1.85
7,NIGERIA - NPFL,12/11/2023,12:00,Kano Pillars,Enyimba,,,
8,NIGERIA - NPFL,12/11/2023,12:00,Lobi Stars,Sporting Lagos,1.42,3.65,9.0
9,NIGERIA - NPFL,12/11/2023,12:00,Remo Stars,Gombe,1.4,3.85,8.75
10,NIGERIA - NPFL,12/11/2023,12:00,Sunshine Stars,Enugu Rangers,1.57,3.55,5.9
11,GHANA - PREMIER LEAGUE,12/11/2023,12:00,Bechem United,Bofoakwa Tano,1.47,3.4,7.2
12,ITALY - SERIE C,12/11/2023,12:15,Arezzo,Pineto,1.93,3.2,4.0
13,IVORY COAST - LIGUE 1,12/11/2023,12:30,AS Denguele,Lys Sassandra,,,
14,IVORY COAST - LIGUE 1,12/11/2023,12:30,Bouake,Stade d Abidjan,,,
15,CHILE - PRIMERA DIVISION,12/11/2023,12:30,Magallanes,Huachipato,3.1,3.4,2.3
16,SLOVAKIA - NIKE LIGA,12/11/2023,13:30,Kosice,Trnava,4.6,3.8,1.7
17,SENEGAL - LIGUE 1,12/11/2023,13:30,Mbour,Ouakam,2.07,2.72,3.85
18,SPAIN - PRIMERA RFEF,12/11/2023,14:00,Granada CF B,Castellon,4.5,3.6,1.65
19,URUGUAY - PRIMERA DIVISION,12/11/2023,16:30,Fenix,Maldonado,2.63,3.1,2.7
20,JAMAICA - PREMIER LEAGUE,12/11/2023,17:00,Dunbeholden,Portmore,2.62,2.8,2.85
21,JAMAICA - PREMIER LEAGUE,12/11/2023,17:00,Treasure Beach,Lime Hall Academy,2.07,3.2,3.4
22,JAMAICA - PREMIER LEAGUE,12/11/2023,17:00,Vere United,Montego Bay,2.87,2.9,2.52
23,USA - USL CHAMPIONSHIP,12/11/2023,21:00,Charleston,Phoenix Rising,2.02,3.45,3.4
