,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,MALTA - PREMIER LEAGUE,07/01/2024,07:00,Sliema,Gudja,1.47,3.7,7.3
2,CAMEROON - ELITE ONE,07/01/2024,11:00,Fovu Baham,Fauve Azur Elite,2.5,2.75,2.87
3,SAN MARINO - CAMPIONATO SAMMARINESE,07/01/2024,11:00,Folgore,Pennarossa,1.42,4.25,5.7
4,REPUBLIC OF THE CONGO - LIGUE 1,07/01/2024,11:00,Leopard,Vegas,,,
5,REPUBLIC OF THE CONGO - LIGUE 1,07/01/2024,11:00,Etoile du Congo,V. Club Mokanda,,,
6,CAMEROON - ELITE ONE,07/01/2024,11:00,Gazelle,Aigle Royal,2.25,2.85,3.2
7,SPAIN - COPA DEL REY,07/01/2024,12:00,Castellon,Osasuna,3.1,3.2,2.38
8,CAMEROON - ELITE ONE,07/01/2024,12:00,Cotonsport,Fovu Baham,,,
9,NIGERIA - NPFL,07/01/2024,12:00,Niger Tornadoes,Heartland,1.39,3.95,8.5
10,MOROCCO - BOTOLA PRO,07/01/2024,12:00,Renaissance Zemamra,Berkane,4.5,2.88,1.83
11,MALTA - PREMIER LEAGUE,07/01/2024,12:15,Valletta,Naxxar,1.75,3.55,4.15
12,SENEGAL - LIGUE 1,07/01/2024,13:30,Generation F.,Dakar SC,4.3,2.67,1.98
13,SENEGAL - LIGUE 1,07/01/2024,13:30,Mbour,Casa,,,
14,SENEGAL - LIGUE 1,07/01/2024,13:30,Ouakam,Sonacos,2.25,2.7,3.4
15,SPAIN - COPA DEL REY,07/01/2024,14:00,Unionistas,Villarreal,6.0,4.33,1.5
16,JAMAICA - PREMIER LEAGUE,07/01/2024,17:00,Treasure Beach,Humble Lions,3.2,3.2,2.15
17,JAMAICA - PREMIER LEAGUE,07/01/2024,17:00,Treasure Beach,Harbour View,3.05,3.15,2.25
18,JAMAICA - PREMIER LEAGUE,07/01/2024,17:00,Treasure Beach,Humble Lions,3.2,3.2,2.15
19,JAMAICA - PREMIER LEAGUE,07/01/2024,17:00,Treasure Beach,Harbour View,3.05,3.15,2.25
20,JAMAICA - PREMIER LEAGUE,07/01/2024,17:00,Cavalier,Harbour View,1.65,3.55,4.85
21,JAMAICA - PREMIER LEAGUE,07/01/2024,19:00,Cavalier,Arnett Gardens,2.25,3.1,3.1
