Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,EGYPT - PREMIER LEAGUE,24/04/2024,11:00,El Gaish,Enppi,2.52,2.7,3.1
2,CAMEROON - ELITE ONE,24/04/2024,12:00,Bamboutos FC,APEJES Academy,1.75,3.15,4.6
3,QATAR - QSL,24/04/2024,12:30,Al Wakra,Al-Gharafa,2.4,3.55,2.62
4,QATAR - QSL,24/04/2024,12:30,Al Rayyan,Al Ahli Doha,1.35,5.3,6.6
5,SWEDEN - ALLSVENSKAN,24/04/2024,14:00,Brommapojkarna,Sirius,2.25,3.8,2.9
6,RUSSIA - PREMIER LEAGUE,24/04/2024,14:30,Zenit,Rubin Kazan,1.39,5.2,9.85
7,SOUTH AMERICA - COPA LIBERTADORES,24/04/2024,19:00,Botafogo RJ (Bra),U. de Deportes (Per),1.44,4.3,8.25
8,SOUTH AMERICA - COPA LIBERTADORES,24/04/2024,19:00,Huachipato (Chi),The Strongest (Bol),1.65,3.9,5.2
9,SOUTH AMERICA - COPA LIBERTADORES,24/04/2024,19:00,Nacional (Uru),Dep. Tachira (Ven),1.34,5.1,9.25
10,SOUTH AMERICA - COPA SUDAMERICANA,24/04/2024,21:00,Bragantino (Bra),Sp. Luqueno (Par),1.33,5.0,10.0
11,SOUTH AMERICA - COPA LIBERTADORES,24/04/2024,21:30,Bolivar (Bol),Flamengo RJ (Bra),1.98,3.6,3.75
12,COSTA RICA - PRIMERA DIVISION,24/04/2024,23:00,Liberia,San Carlos,2.45,3.2,2.8
