,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SOUTH KOREA - K LEAGUE 1,13/04/2024,04:30,Ulsan HD,Gangwon,1.7,3.25,4.75
2,CHINA - SUPER LEAGUE,13/04/2024,04:30,Henan Songshan Longmen,Nantong Zhiyun,1.8,3.5,4.0
3,ROMANIA - LIGA 2,13/04/2024,05:00,Concordia,CSM Slatina,1.91,3.3,3.8
4,INDIA - I-LEAGUE,13/04/2024,06:00,Real Kashmir,Namdhari,1.42,4.4,6.3
5,INDIA - I-LEAGUE,13/04/2024,08:00,Sreenidi Deccan,Lajong,1.39,4.65,6.5
6,INDIA - I-LEAGUE,13/04/2024,09:30,Mohammedan,Delhi FC,1.52,4.25,5.0
7,SWEDEN - SUPERETTAN,13/04/2024,10:00,Landskrona,Oddevold,2.05,3.5,3.4
8,NORTHERN IRELAND - NIFL CHAMPIONSHIP,13/04/2024,10:00,Ballyclare,Knockbreda,1.4,4.8,6.0
9,FINLAND - YKKONEN,13/04/2024,11:00,VIFK,KuPS Akatemia,1.73,3.75,3.6
10,SERBIA - PRVA LIGA,13/04/2024,11:00,Smederevo,Radnicki S. Mitrovica,2.45,3.05,2.7
11,SCOTLAND - LEAGUE TWO,13/04/2024,11:00,Spartans,Stranraer,1.85,3.25,3.75
12,NETHERLANDS - EREDIVISIE,13/04/2024,11:30,PSV,Vitesse,1.06,15.0,29.0
13,MONTENEGRO - PRVA CRNOGORSKA LIGA,13/04/2024,12:00,Jedinstvo,Jezero,1.53,3.45,6.6
14,FINLAND - YKKONEN,13/04/2024,13:00,Klubi 04,Jazz Pori,1.8,4.0,3.2
15,ITALY - SERIE C,13/04/2024,13:30,Novara,Legnago Salus,1.93,3.15,4.1
16,BRAZIL - BRASILEIRO WOMEN,13/04/2024,15:00,America Mineiro W,Atletico-MG W,1.53,4.0,4.75
17,BELGIUM - CHALLENGER PRO LEAGUE,13/04/2024,15:00,Dender,Waregem,2.0,3.6,3.4
18,ITALY - SERIE C,13/04/2024,15:45,Padova,Atalanta U23,1.82,3.35,4.3
19,BRAZIL - BRASILEIRO WOMEN,13/04/2024,16:00,Cruzeiro W,Real Brasilia W,1.5,3.85,5.5
20,ECUADOR - LIGA PRO,13/04/2024,20:00,Emelec,Cumbaya,1.22,5.75,11.0
21,VENEZUELA - LIGA FUTVE,13/04/2024,20:00,Angostura,Inter de Barinas,1.75,3.3,4.55
22,USA - MLS,13/04/2024,20:30,CF Montreal,FC Cincinnati,2.55,3.4,2.7
23,USA - MLS,13/04/2024,21:30,Minnesota United,Houston Dynamo,2.1,3.6,3.4
24,USA - MLS,13/04/2024,23:30,Vancouver Whitecaps,Los Angeles Galaxy,2.0,4.0,3.25
25,USA - MLS,13/04/2024,23:30,San Jose Earthquakes,Colorado Rapids,2.3,3.5,3.0
