Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,CHINA - SUPER LEAGUE,23/10/2023,08:35,Chengdu Rongcheng,Shenzhen,1.04,15.0,41.0
2,SERBIA - PRVA LIGA,23/10/2023,09:00,Tekstilac Odzaci,Smederevo,1.7,3.25,4.65
3,ALBANIA - SUPERLIGA,23/10/2023,09:00,KF Tirana,Egnatia,2.18,3.25,2.92
4,INDIA - ISL,23/10/2023,11:30,Hyderabad,Chennaiyin,1.91,3.3,3.5
5,ROMANIA - LIGA 1,23/10/2023,12:00,Sepsi Sf. Gheorghe,FC Botosani,1.57,3.6,5.5
6,GHANA - PREMIER LEAGUE,23/10/2023,12:00,Bibiani Gold Stars,Heart of Lions,1.62,3.35,5.1
7,BAHRAIN - PREMIER LEAGUE,23/10/2023,13:00,Al-Muharraq,Al-Ahli Manama,1.62,3.95,4.85
8,POLAND - EKSTRAKLASA,23/10/2023,14:00,Stal Mielec,Warta Poznan,2.4,3.2,3.0
9,SWEDEN - SUPERETTAN,23/10/2023,14:00,Jonkoping,Skovde AIK,2.4,3.4,2.75
10,SWEDEN - ALLSVENSKAN,23/10/2023,14:10,Elfsborg,AIK,1.7,3.8,4.75
11,IRELAND - PREMIER DIVISION,23/10/2023,15:30,St. Patricks,Sligo Rovers,1.57,3.8,6.0
12,JAMAICA - PREMIER LEAGUE,23/10/2023,19:00,Molynes,Vere United,2.3,3.2,2.92
13,ARGENTINA - COPA DE LA LIGA PROFESIONAL,23/10/2023,21:00,Velez Sarsfield,Banfield,2.1,3.0,4.0
