,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,HONG KONG - PREMIER LEAGUE,17/12/2023,04:00,North District,Hong Kong FC,1.53,4.4,4.75
2,VIETNAM - V.LEAGUE 1,17/12/2023,09:15,Viettel,Hanoi FC,2.27,3.25,2.92
3,ITALY - SERIE C,17/12/2023,10:00,Olbia,Pontedera,2.22,3.05,3.35
4,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,17/12/2023,11:00,Velez Mostar,Igman K.,1.32,4.65,8.75
5,QATAR - QSL,17/12/2023,11:30,Al-Duhail,Al Wakra,1.88,3.8,3.5
6,NIGERIA - NPFL,17/12/2023,12:00,Heartland,Akwa United,1.75,3.05,5.2
7,NIGERIA - NPFL,17/12/2023,12:00,Sunshine Stars,Gombe,1.57,3.15,7.3
8,ANDORRA - PRIMERA DIVISIÓ,17/12/2023,12:00,FC Santa Coloma,Pas de la Casa,1.04,10.2,27.0
9,PORTUGAL - LIGA PORTUGAL,17/12/2023,15:00,Famalicao,Estoril,2.2,3.25,3.3
10,SPAIN - PRIMERA RFEF,17/12/2023,16:00,Atl. Madrid B,Sanluqueno,1.85,3.3,3.6
11,JAMAICA - PREMIER LEAGUE,17/12/2023,17:00,Mount Pleasant,Vere United,1.45,3.9,6.8
