,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_Under25,Media_Ptos_H,DP_Ptos_H,CV_Ptos_H,Media_VG_H,DP_VG_H,CV_VG_H,Media_CG_H,DP_CG_H,CV_CG_H,Media_GM_H,DP_GM_H,CV_GM_H,Media_GS_H,DP_GS_H,CV_GS_H,Media_SG_H,DP_SG_H,CV_SG_H,Media_p_H,DP_p_H,Media_CG_H_02,GM_H_XP,CV_GM_H_XP,GS_H_XP,CV_GS_H_XP,Media_Ptos_A,DP_Ptos_A,CV_Ptos_A,Media_VG_A,DP_VG_A,CV_VG_A,Media_CG_A,DP_CG_A,CV_CG_A,Media_GM_A,DP_GM_A,CV_GM_A,Media_GS_A,DP_GS_A,CV_GS_A,Media_SG_A,DP_SG_A,CV_SG_A,Media_p_A,DP_p_A,GM_A_XP,CV_GM_A_XP,GS_A_XP,CV_GS_A_XP,p_H,p_D,p_A,p_Over,p_Under,p_BTTS_Y,p_BTTS_N,p_H__p_D,p_H__p_A,p_D__p_H,p_D__p_A,p_A__p_H,p_A__p_D,p_D__p_Over,p_D__p_Under,CV_HDA,CV_HD,CV_HA,CV_DA,CV_DO,H_A,A_D,H_D,H_O,A_O,O_D,O_S,Odd_Sum,coeficiente_pontos,cv_pontos,HO_D,AO_D,ADJ_H,ADJ_A,CV_MO,DP_MO,CV_MO_OV,Euc_Dist_MO,Angle_MO,Euc_Dist_OV,Angle_OV,XPT_H,XPT_A,XPT_H/A,XPT_A/H,Distancia_E_Geral,DE,DE_Casa,prediction_label,prediction_score
1,MEXICO - LIGA DE EXPANSION MX,2024-04-21,00:00,Atletico La Paz,Alebrijes Oaxaca,1.9,3.5,3.6,1.7,1.62,2.02,1.91,1.3636364,1.2984415,0.95219046,0.3569195,0.26891583,0.75343555,0.51154363,0.14962356,0.2924942,1.0909091,0.66804266,0.61237246,1.3636364,1.4937888,1.0954452,-0.27272728,1.5427784,-5.656854,0.4492346,0.10599265,0.77007186,1.5867769,0.45927933,2.107438,0.96656924,0.90909094,1.3111095,1.4422206,0.5644099,0.5273125,0.9342722,0.4794338,0.08496794,0.17722559,1.0,0.9534626,0.9534626,2.1818182,1.7486713,0.80147433,-1.1818181,2.3284087,-1.9701921,0.21255842,0.063541315,1.8181819,0.5244044,3.768595,1.0123886,0.5263158,0.2857143,0.2777778,0.5882353,0.5235602,0.61728394,0.4950495,1.8421053,1.8947369,0.54285717,1.0285715,0.5277778,0.9722222,0.4857143,0.54571426,0.31749672,0.2962963,0.3090909,0.014084507,0.34615386,0.5277778,1.0285715,0.54285717,1.117647,2.1176472,0.4857143,1.0493827,9.0,0.455,2.61,-0.17777778,0.011111111,0.21111111,0.4,0.31797972,0.9539392,0.3792443,2.3366642,38.65981,0.29698485,-5.994093,1.8567251,1.3596492,1.3655914,0.7322835,2.3366642,0.1,1.6,1.0,0.814
2,AUSTRALIA - A-LEAGUE,2024-04-21,02:00,Central Coast Mariners,Adelaide United,1.75,4.0,4.0,1.44,1.44,2.63,2.75,2.3636363,1.06794,0.45182076,0.5628593,0.20541304,0.36494568,0.28760806,0.11532752,0.4009885,2.1818182,1.0285189,0.47140452,1.0909091,0.8999541,0.8249579,1.0909091,1.443137,1.3228756,0.52806807,0.10374051,1.3549432,2.7768595,0.80812204,1.6859504,0.58232325,1.0,1.2792042,1.2792042,0.69774365,0.5167023,0.7405331,0.4074112,0.084443174,0.20726769,1.6363636,1.3666633,0.83518314,1.8181819,1.1134044,0.61237246,-0.18181819,1.2662171,-6.9641943,0.32024944,0.083683796,2.3801653,0.93958104,2.8099174,0.7204382,0.5714286,0.25,0.25,0.6944444,0.36363637,0.6944444,0.38022813,2.2857144,2.2857144,0.4375,1.0,0.4375,1.0,0.36,0.6875,0.42426407,0.39130434,0.39130434,0.0,0.47058824,0.4375,1.0,0.4375,1.2152778,2.7777777,0.36,1.0,9.75,1.364,2.347,-0.23076923,0.0,0.17948718,0.41025642,0.39970404,1.299038,0.4984032,3.1819806,48.36646,1.8526198,-33.2248,1.9642857,1.3214285,1.4864864,0.6727273,3.1819806,0.0,2.25,1.0,0.954
3,AUSTRALIA - A-LEAGUE,2024-04-21,04:00,Perth Glory,Western United,2.3,3.75,2.8,1.36,1.33,3.25,3.2,1.0909091,1.2398347,1.1365151,0.8993061,0.48337865,0.53750175,0.25425434,0.08394445,0.33015937,2.0,1.1281521,0.56407607,2.1818182,1.1134044,0.51031035,-0.18181819,1.1134044,-6.1237245,0.34836194,0.09049622,1.174181,3.4545455,0.6531407,2.9752066,0.8164966,0.45454547,0.8907235,1.9595917,0.5996194,0.62202257,1.0373622,0.5392334,0.08288923,0.1537168,1.0909091,1.1642044,1.0671874,2.7272727,1.2856487,0.47140452,-1.6363636,1.8719327,-1.1439589,0.28443772,0.07127258,2.5785124,0.49254802,4.958678,0.70710677,0.4347826,0.26666668,0.35714287,0.7352941,0.3125,0.7518797,0.30769232,1.6304348,1.2173913,0.61333334,0.74666667,0.8214286,1.3392857,0.36266667,0.85333335,0.1946917,0.23966943,0.09803922,0.14503817,0.46771038,0.8214286,0.74666667,0.61333334,1.6911764,2.0588236,0.36266667,1.0225564,8.85,0.636,2.131,-0.16384181,-0.107344635,0.259887,0.31638417,0.24967661,0.736546,0.3905351,1.8041619,35.942112,2.602153,-42.614056,1.6614907,1.5062112,1.1030928,0.90654206,1.8041619,0.95,1.45,1.0,0.7659
4,SOUTH KOREA - K LEAGUE 2,2024-04-21,04:30,Asan,Jeonnam,2.2,3.3,2.9,2.05,1.83,1.83,1.75,1.6363636,1.2984415,0.793492,0.62581575,0.559434,0.8939277,0.40748763,0.14402221,0.35343948,1.7272727,1.354515,0.78419286,1.2727273,0.86243933,0.6776309,0.45454547,1.233151,2.712932,0.42557743,0.09326073,1.0764251,2.0413222,1.146128,1.6198347,0.6776309,0.8181818,1.3360853,1.6329932,0.4239817,0.37956485,0.8952388,0.49185315,0.08825709,0.17943788,0.90909094,0.7925271,0.8717798,1.9090909,1.5048132,0.7882355,-1.0,1.5374123,-1.5374123,0.3350556,0.048193377,0.8264463,0.8717798,2.429752,1.1823533,0.45454547,0.3030303,0.3448276,0.4878049,0.5714286,0.5464481,0.5464481,1.5,1.3181819,0.6666667,0.8787879,0.7586207,1.137931,0.6212121,0.530303,0.17387617,0.2,0.13725491,0.06451613,0.23364486,0.7586207,0.8787879,0.6666667,1.0731708,1.4146341,0.6212121,1.1202186,8.4,0.818,2.635,-0.13095239,-0.04761905,0.26190478,0.3452381,0.19884872,0.55677646,0.22557496,1.3638182,28.810793,0.42426407,8.530766,1.7084639,1.4890282,1.1473684,0.8715596,1.3638182,0.4,1.1,1.0,0.7255
5,SPAIN - PRIMERA RFEF,2024-04-21,07:00,Malaga,Murcia,1.67,3.4,4.5,2.38,2.38,1.53,1.53,1.9090909,1.2398347,0.64943725,0.2002664,0.13706453,0.684411,0.5992265,0.14368051,0.23977666,1.0909091,0.8999541,0.8249579,0.45454547,0.4979296,1.0954452,0.6363636,1.1499192,1.8070158,0.5422968,0.19172432,0.81660295,1.5867769,0.61871845,0.5785124,0.3912304,1.3636364,1.2984415,0.95219046,0.338717,0.37872824,1.1181259,0.59623957,0.09138052,0.15326142,0.72727275,0.86243933,1.1858541,1.0909091,1.5048132,1.379412,-0.36363637,1.4937888,-4.107919,0.3041423,0.06058113,0.661157,0.9486833,1.1900827,1.379412,0.5988024,0.29411766,0.22222222,0.42016807,0.6535948,0.42016807,0.6535948,2.0359282,2.6946108,0.49117646,1.3235294,0.37111112,0.75555557,0.7,0.45,0.43914437,0.34122288,0.45867097,0.1392405,0.1764706,0.37111112,1.3235294,0.49117646,0.70168066,1.8907562,0.7,1.0,9.57,0.545,2.538,-0.18077324,0.11494253,0.17450365,0.47021943,0.44722238,1.4266394,0.41280147,3.4945385,40.859806,1.2020816,23.025492,2.0186293,1.2654691,1.595163,0.6268952,3.4945385,1.1,1.73,1.0,0.924
6,SPAIN - PRIMERA RFEF,2024-04-21,07:00,UD Ibiza,Atl. Madrid B,1.65,3.4,4.75,2.1,2.1,1.67,1.7,2.0,1.1281521,0.56407607,0.3360521,0.25258678,0.7516298,0.48628968,0.20681515,0.42529207,1.8181819,1.2662171,0.6964194,0.90909094,1.0833068,1.1916375,0.90909094,1.2398347,1.3638182,0.66079783,0.10957894,1.2394898,3.6363637,0.63310856,0.5785124,1.7023393,1.0,1.0444659,1.0444659,0.49995214,0.49531418,0.9907232,0.51003945,0.11792718,0.23121189,1.0909091,1.0833068,0.99303126,1.0909091,1.1642044,1.0671874,0.0,1.6514456,1.0,0.3424961,0.08100672,0.9917355,1.1916375,0.9917355,1.2806249,0.6060606,0.29411766,0.21052632,0.47619048,0.5882353,0.47619048,0.5988024,2.060606,2.878788,0.4852941,1.3970588,0.34736842,0.7157895,0.61764705,0.5,0.45973548,0.34653464,0.484375,0.16564417,0.23636363,0.34736842,1.3970588,0.4852941,0.78571427,2.2619047,0.61764705,1.0,9.8,1.0,2.173,-0.17857143,0.1377551,0.16836734,0.48469388,0.47580463,1.5542952,0.4694865,3.80723,41.185925,0.56568545,11.309933,2.0287082,1.2376395,1.6391753,0.6100629,3.80723,1.35,1.75,1.0,0.9646
7,SPAIN - PRIMERA RFEF,2024-04-21,07:00,Melilla,Merida AD,2.25,2.9,3.1,2.5,2.2,1.62,1.5,1.2727273,1.354515,1.0642618,0.3585818,0.39860585,1.1116176,0.59057516,0.11142982,0.18868016,0.90909094,1.1642044,1.2806249,1.1818181,1.1134044,0.94211143,-0.27272728,1.4200454,-5.206833,0.32109246,0.09567155,0.6150917,0.8264463,1.2806249,0.32231405,4.082483,1.3636364,1.2984415,0.95219046,0.4008632,0.39913988,0.99570096,0.5541092,0.046773918,0.08441282,0.72727275,0.74965554,1.0307764,0.90909094,0.9958592,1.0954452,-0.18181819,1.4024771,-7.7136245,0.23366518,0.074246876,1.1239669,0.48507124,0.41322315,2.1908903,0.44444445,0.3448276,0.32258064,0.4,0.6666667,0.45454547,0.61728394,1.2888889,1.3777778,0.7758621,1.0689656,0.7258065,0.9354839,0.86206895,0.51724136,0.14297126,0.1262136,0.1588785,0.033333335,0.074074075,0.7258065,1.0689656,0.7758621,0.9,1.24,0.86206895,1.1363636,8.25,-0.091,2.653,-0.07878788,0.024242423,0.27272728,0.37575758,0.16160354,0.44440973,0.14280409,1.088577,18.004162,1.4142135,26.565052,1.655914,1.4121864,1.1725888,0.85281384,1.088577,0.2,0.65,1.0,0.5335
8,PORTUGAL - LIGA PORTUGAL 2,2024-04-21,07:00,Oliveirense,Os Belenenses,2.05,3.3,3.2,1.98,1.73,2.0,1.88,0.54545456,0.8907235,1.6329932,0.45179895,0.36041325,0.7977293,0.45923936,0.0775894,0.16895199,0.90909094,0.7925271,0.8717798,1.8181819,1.1922616,0.65574384,-0.90909094,1.3111095,-1.4422206,0.3099834,0.078467265,0.6095372,1.322314,0.5448624,2.3140495,0.93677694,0.27272728,0.44536176,1.6329932,0.3964208,0.4136743,1.0435232,0.5542875,0.06984443,0.1260076,0.6363636,0.64282435,1.0101526,2.2727273,1.354515,0.5959866,-1.6363636,1.4937888,-0.91287094,0.2237676,0.05992656,0.75206614,0.54392827,3.3057852,0.93122905,0.4878049,0.3030303,0.3125,0.5050505,0.5319149,0.5780347,0.5,1.6097561,1.5609756,0.6212121,0.969697,0.640625,1.03125,0.6,0.56969696,0.23100744,0.23364486,0.21904762,0.015384615,0.25,0.640625,0.969697,0.6212121,1.0353535,1.6161616,0.6,1.1445087,8.55,0.273,1.336,-0.14619882,-0.0116959065,0.23976608,0.374269,0.24372709,0.6946222,0.27151638,1.7014699,32.005383,0.14142136,2.8624053,1.7759147,1.4253049,1.2459893,0.8025751,1.7014699,0.1,1.25,1.0,0.7531
9,ROMANIA - LIGA 2,2024-04-21,07:30,Gloria Buzau,Csikszereda M. Ciuc,2.18,3.1,3.4,2.25,1.91,1.8,1.6,1.7272727,1.2128786,0.70219284,0.31558076,0.3753733,1.1894683,0.60264874,0.21701427,0.36010078,1.4545455,1.6160353,1.1110243,1.0,1.2060454,1.2060454,0.45454547,1.7768018,3.9089642,0.52776384,0.123116724,0.9911547,0.3966942,5.9254627,0.6363636,1.8952142,1.3636364,1.2984415,0.95219046,0.35792932,0.4285157,1.1972076,0.60750586,0.1422438,0.23414391,0.90909094,0.9958592,1.0954452,0.90909094,0.66804266,0.73484695,0.0,1.3483998,1.0,0.35248786,0.09724276,0.49586776,1.8257419,1.322314,0.45927933,0.4587156,0.32258064,0.29411766,0.44444445,0.625,0.5235602,0.5555556,1.4220183,1.559633,0.7032258,1.0967742,0.64117646,0.9117647,0.7258065,0.516129,0.20037739,0.17424242,0.21863799,0.046153847,0.1588785,0.64117646,1.0967742,0.7032258,0.9688889,1.5111111,0.7258065,1.1780105,8.68,0.364,2.511,-0.10599078,0.03456221,0.25115207,0.39170507,0.2197171,0.6357148,0.22347614,1.557177,24.70243,0.9192388,18.004162,1.6702645,1.3410685,1.2454728,0.80290794,1.557177,0.3,0.92,1.0,0.7099
10,POLAND - EKSTRAKLASA,2024-04-21,07:30,Cracovia,Puszcza,1.7,3.8,4.75,1.85,1.91,1.91,2.0,1.0,1.0444659,1.0444659,0.5168968,0.40100822,0.7757994,0.38322785,0.09180972,0.23956954,2.0,1.6514456,0.8257228,2.0,1.595448,0.797724,0.0,2.3741026,1.0,0.49646887,0.12347054,1.2482344,4.7272725,0.69868857,1.6363636,1.9499921,0.72727275,0.86243933,1.1858541,0.54745775,0.49157214,0.8979179,0.46702942,0.07236668,0.15495099,1.0,0.9534626,0.9534626,1.6363636,1.6663911,1.0183501,-0.6363636,1.2984415,-2.0404081,0.20692936,0.0797247,1.4545455,0.65550554,1.785124,1.5275252,0.5882353,0.2631579,0.21052632,0.5405405,0.5,0.5235602,0.5235602,2.235294,2.7941177,0.4473684,1.25,0.35789475,0.8,0.4868421,0.5263158,0.4718891,0.38181818,0.4728682,0.11111111,0.34513274,0.35789475,1.25,0.4473684,0.9189189,2.5675676,0.4868421,0.9685864,10.25,0.273,1.907,-0.20487805,0.09268293,0.16585366,0.46341464,0.45679483,1.5607157,0.49448845,3.822957,46.397182,0.21213204,-4.289153,1.9752322,1.2198143,1.6192894,0.61755484,3.822957,0.95,2.1,1.0,0.9524
