Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SCOTLAND - PREMIERSHIP,27/01/2024,12:00,Celtic,Ross County,1.1,9.5,26.0
2,ROMANIA - LIGA 1,27/01/2024,12:00,Otelul,Petrolul,2.3,2.9,3.25
3,ENGLAND - LEAGUE ONE,27/01/2024,12:00,Derby,Cheltenham,1.4,5.0,7.0
4,ENGLAND - LEAGUE TWO,27/01/2024,12:00,Walsall,Sutton,1.8,3.6,4.5
5,SPAIN - LALIGA2,27/01/2024,14:30,R. Oviedo,Leganes,2.1,3.0,4.2
6,ITALY - SERIE C,27/01/2024,14:30,Entella,Vis Pesaro,1.62,3.45,5.9
7,SPAIN - PRIMERA RFEF,27/01/2024,15:00,Lugo,R. Sociedad B,2.38,2.88,2.9
8,SPAIN - PRIMERA RFEF,27/01/2024,16:00,Alcoyano,Recreativo Huelva,2.1,2.88,3.5
9,PERU - LIGA 1,27/01/2024,17:00,Sporting Cristal,ADT Tarma,1.33,4.5,8.5
10,PERU - LIGA 1,27/01/2024,19:30,Sport Huancayo,Sport Boys,1.4,4.2,8.0
11,MEXICO - LIGA MX,27/01/2024,22:00,Monterrey,Atl. San Luis,1.57,4.2,5.5
12,COLOMBIA - PRIMERA A,27/01/2024,22:20,Ind. Medellin,Pereira,1.8,3.5,4.75
