,Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_D,Odd_CS_0x1_Lay,IDMercado_Correct_Score
1,2025-04-20,01:00:00,JAPAN - J2 LEAGUE,Kumamoto,Vegalta Sendai,3.15,2.46,3.2,11.5,1.2423165
2,2025-04-20,02:00:00,SOUTH KOREA - K LEAGUE 2,Ansan Greeners,Busan,4.5,1.92,3.55,9.0,1.2423177
3,2025-04-20,02:00:00,JAPAN - J2 LEAGUE,FC Imabari,Omiya,2.7,2.8,3.2,12.5,1.2423308
4,2025-04-20,02:00:00,JAPAN - J2 LEAGUE,Chiba,Oita Trinita,1.83,4.6,3.75,18.0,1.2423285
5,2025-04-20,02:00:00,JAPAN - J2 LEAGUE,Toyama,Iwaki,2.5,3.1,3.0,12.0,1.2423306
6,2025-04-20,02:00:00,JAPAN - J2 LEAGUE,Blaublitz,Iwata,2.96,2.62,3.2,11.5,1.2423381
7,2025-04-20,02:00:00,JAPAN - J2 LEAGUE,Tokushima,Mito,2.36,3.4,3.2,12.5,1.2423285
8,2025-04-20,02:00:00,AUSTRALIA - A-LEAGUE,Sydney FC,Newcastle Jets,1.66,4.8,5.0,44.0,1.2421595
9,2025-04-20,04:00:00,AUSTRALIA - A-LEAGUE,Central Coast Mariners,Macarthur FC,3.1,2.34,3.95,15.0,1.2421596
10,2025-04-20,04:30:00,SOUTH KOREA - K LEAGUE 1,Jeju Utd,Pohang,3.05,2.58,3.3,10.5,1.2423178
11,2025-04-20,04:30:00,SOUTH KOREA - K LEAGUE 1,Jeonbuk,Daegu,1.84,4.8,3.8,17.0,1.2423178
12,2025-04-20,04:30:00,SOUTH KOREA - K LEAGUE 2,Asan,Jeonnam,2.56,2.9,3.3,22.0,1.2423174
13,2025-04-20,04:30:00,SOUTH KOREA - K LEAGUE 2,Gyeongnam,Gimpo FC,3.2,2.46,3.1,21.0,1.2423173
14,2025-04-20,07:00:00,UKRAINE - PREMIER LEAGUE,Kryvbas,FK Zorya Luhansk,1.97,4.5,3.4,22.0,1.2424321
15,2025-04-20,07:15:00,NETHERLANDS - EREDIVISIE,Utrecht,Ajax,3.6,2.1,3.75,13.5,1.2420256
16,2025-04-20,07:30:00,TURKEY - SUPER LIG,Basaksehir,Gaziantep,1.72,5.3,4.1,22.0,1.2423364
17,2025-04-20,07:30:00,CHINA - SUPER LEAGUE,Qingdao West Coast,Dalian Yingbo,2.38,3.3,3.35,14.5,1.2424939
18,2025-04-20,07:30:00,CHINA - SUPER LEAGUE,Henan Songshan Longmen,Qingdao Hainiu,1.51,7.6,4.5,27.0,1.2425114
19,2025-04-20,08:00:00,FINLAND - YKKONEN,Atlantis,EPS,1.52,5.6,4.8,60.0,1.2426213
20,2025-04-20,08:00:00,FINLAND - YKKONEN,OLS Oulu,JJK Jyvaskyla,1.42,6.6,5.0,90.0,1.242621
21,2025-04-20,08:00:00,CHINA - SUPER LEAGUE,Meizhou Hakka,Shenzhen Xinpengcheng,2.24,3.35,3.55,15.5,1.2424936
22,2025-04-20,08:15:00,HUNGARY - OTP BANK LIGA,Fehervar FC,MTK Budapest,2.52,2.68,3.55,65.0,1.2423502
23,2025-04-20,08:30:00,GERMANY - 2. BUNDESLIGA,Karlsruher SC,Greuther Furth,2.18,3.5,3.75,18.0,1.2423333
24,2025-04-20,08:30:00,GERMANY - 2. BUNDESLIGA,FC Koln,Preussen Munster,1.6,5.8,4.6,28.0,1.2423335
25,2025-04-20,08:30:00,GERMANY - 2. BUNDESLIGA,Darmstadt,Hannover,2.14,3.55,3.7,16.0,1.2423337
26,2025-04-20,08:30:00,GERMANY - 2. BUNDESLIGA,Magdeburg,Regensburg,1.45,7.6,5.1,34.0,1.2423338
27,2025-04-20,08:30:00,GERMANY - 2. BUNDESLIGA,Ulm,Hertha Berlin,3.55,2.26,3.55,10.5,1.2423334
28,2025-04-20,08:35:00,CHINA - SUPER LEAGUE,Tianjin Jinmen Tiger,Zhejiang Professional,2.48,2.88,3.7,16.0,1.2424937
29,2025-04-20,08:35:00,CHINA - SUPER LEAGUE,Shanghai Port,Chengdu Rongcheng,2.7,2.68,3.6,13.0,1.2424936
30,2025-04-20,09:00:00,ARMENIA - PREMIER LEAGUE,Van,Ararat-Armenia,4.2,1.65,3.45,38.0,1.2426254
31,2025-04-20,09:00:00,FINLAND - YKKONEN,FC Inter 2,Tampere Utd,1.71,4.0,4.8,85.0,1.2426211
32,2025-04-20,09:00:00,SPAIN - LALIGA,Valladolid,Osasuna,5.2,1.87,3.6,7.4,1.2420189
33,2025-04-20,09:30:00,UKRAINE - PREMIER LEAGUE,Inhulets Petrove,LNZ Cherkasy,5.3,1.77,3.6,29.0,1.2424475
