,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_Under25,Media_Ptos_H,DP_Ptos_H,CV_Ptos_H,Media_VG_H,DP_VG_H,CV_VG_H,Media_CG_H,DP_CG_H,CV_CG_H,Media_GM_H,DP_GM_H,CV_GM_H,Media_GS_H,DP_GS_H,CV_GS_H,Media_SG_H,DP_SG_H,CV_SG_H,Media_p_H,DP_p_H,Media_CG_H_02,GM_H_XP,CV_GM_H_XP,GS_H_XP,CV_GS_H_XP,Media_Ptos_A,DP_Ptos_A,CV_Ptos_A,Media_VG_A,DP_VG_A,CV_VG_A,Media_CG_A,DP_CG_A,CV_CG_A,Media_GM_A,DP_GM_A,CV_GM_A,Media_GS_A,DP_GS_A,CV_GS_A,Media_SG_A,DP_SG_A,CV_SG_A,Media_p_A,DP_p_A,GM_A_XP,CV_GM_A_XP,GS_A_XP,CV_GS_A_XP,p_H,p_D,p_A,p_Over,p_Under,p_BTTS_Y,p_BTTS_N,p_H__p_D,p_H__p_A,p_D__p_H,p_D__p_A,p_A__p_H,p_A__p_D,p_D__p_Over,p_D__p_Under,CV_HDA,CV_HD,CV_HA,CV_DA,CV_DO,H_A,A_D,H_D,H_O,A_O,O_D,O_S,Odd_Sum,coeficiente_pontos,cv_pontos,HO_D,AO_D,ADJ_H,ADJ_A,CV_MO,DP_MO,CV_MO_OV,Euc_Dist_MO,Angle_MO,Euc_Dist_OV,Angle_OV,XPT_H,XPT_A,XPT_H/A,XPT_A/H,Distancia_E_Geral,DE,DE_Casa,prediction_label,prediction_score
1,INDONESIA - LIGA 1,2024-04-25,05:00,Barito Putera,FC Bhayangkara,1.95,3.55,3.4,1.47,1.42,2.47,2.35,1.9090909,0.9958592,0.52164054,0.585394,0.6288634,1.0742565,0.46410784,0.21495004,0.46314675,1.5454545,1.1570839,0.7487013,0.8181818,0.9359664,1.1439589,0.72727275,0.86243933,1.1858541,0.4608743,0.14375113,1.0031644,2.9504132,0.6060915,1.2644628,0.60562533,0.54545456,0.4979296,0.91287094,0.39140847,0.3912677,0.99964035,0.5667462,0.047843743,0.08441829,0.72727275,0.74965554,1.0307764,1.5454545,1.0756508,0.6960094,-0.8181818,1.1922616,-1.4572085,0.24438937,0.07695052,0.661157,0.82462114,2.9504132,0.56343615,0.51282054,0.28169015,0.29411766,0.6802721,0.42553192,0.70422536,0.4048583,1.8205128,1.7435898,0.5492958,0.9577465,0.5735294,1.0441177,0.4140845,0.6619718,0.29251865,0.29090908,0.27102804,0.021582734,0.41434264,0.5735294,0.9577465,0.5492958,1.3265306,2.312925,0.4140845,1.0352113,8.9,1.364,1.494,-0.17977528,-0.016853932,0.21910113,0.38202247,0.2978588,0.88364774,0.40096396,2.1644862,38.65981,1.2445079,-23.749495,1.8325791,1.3951734,1.3135135,0.7613169,2.1644862,0.15,1.6,1.0,0.8871
2,INDONESIA - LIGA 1,2024-04-25,09:00,Arema FC,PSM Makassar,1.91,3.45,3.6,1.7,1.62,2.02,1.91,1.3636364,1.2984415,0.95219046,0.46926793,0.5048049,1.0757285,0.5687279,0.09224513,0.16219555,1.0909091,1.1642044,1.0671874,1.1818181,1.0285189,0.8702853,-0.09090909,1.3111095,-14.422205,0.3702902,0.064642,0.73059964,1.6859504,0.7533087,0.6446281,1.8856181,0.45454547,0.4979296,1.0954452,0.24917766,0.23718394,0.9518668,0.6368223,0.084705025,0.13301203,0.54545456,0.4979296,0.91287094,1.2727273,0.74965554,0.58901507,-0.72727275,0.74965554,-1.0307764,0.30679202,0.08586622,0.7933884,0.3423266,2.3140495,0.41231057,0.5235602,0.28985506,0.2777778,0.5882353,0.5235602,0.61728394,0.4950495,1.8062828,1.8848168,0.5536232,1.0434783,0.53055555,0.9583333,0.49275362,0.5536232,0.3110095,0.28731343,0.30671507,0.021276595,0.3398058,0.53055555,1.0434783,0.5536232,1.1235294,2.1176472,0.49275362,1.0493827,8.96,0.909,1.796,-0.171875,0.01674107,0.21316965,0.4017857,0.31320274,0.93543214,0.3747151,2.2913315,37.59627,0.29698485,-5.994093,1.8484584,1.3568935,1.3622723,0.7340677,2.2913315,0.15,1.54,1.0,0.8479
3,INDONESIA - LIGA 1,2024-04-25,09:00,Persib Bandung,Borneo,1.65,3.9,4.35,1.42,1.44,2.4,2.47,2.0,1.1281521,0.56407607,0.37294212,0.3028896,0.81216246,0.46492326,0.08932802,0.19213496,2.090909,1.5640591,0.7480283,0.8181818,0.83319557,1.0183501,1.2727273,1.8630819,1.4638501,0.6796752,0.07144201,1.3852922,3.231405,1.0120382,0.5206612,1.3093073,2.3636363,1.06794,0.45182076,0.45910934,0.26433027,0.57574576,0.41061047,0.14259069,0.34726512,1.3636364,0.7713892,0.56568545,0.6363636,0.7713892,1.212183,0.72727275,0.74965554,1.0307764,0.44764253,0.0901682,1.1157025,0.94280905,1.0413224,0.47140452,0.6060606,0.25641027,0.22988506,0.70422536,0.4048583,0.6944444,0.41666666,2.3636363,2.6363637,0.42307693,1.1153846,0.37931034,0.8965517,0.36410257,0.6333333,0.47078386,0.4054054,0.45,0.054545455,0.46616542,0.37931034,1.1153846,0.42307693,1.1619718,3.0633802,0.36410257,0.9861111,9.9,-0.364,2.196,-0.22727273,0.045454547,0.16666667,0.43939394,0.43834776,1.4465476,0.5333934,3.5433035,48.36646,1.4849242,-27.699472,2.0480669,1.2957158,1.5806452,0.63265306,3.5433035,0.45,2.25,1.0,0.9377
4,POLAND - DIVISION 1,2024-04-25,13:00,Motor Lublin,Chrobry Glogow,1.7,3.75,4.5,1.93,1.83,1.83,1.93,1.7272727,1.2128786,0.70219284,0.5796394,0.25559184,0.44094977,0.3117043,0.12960798,0.41580427,1.6363636,0.7713892,0.47140452,1.5454545,1.233151,0.7979212,0.09090909,1.3787047,15.1657505,0.42486343,0.06893057,1.0306135,1.338843,0.94280905,2.3884296,0.7979212,1.1818181,1.1922616,1.0088367,0.60958666,0.34784892,0.5706308,0.32796866,0.06501845,0.19824593,1.0,0.6030227,0.6030227,1.2727273,0.74965554,0.58901507,-0.27272728,1.1354542,-4.163332,0.21018644,0.07093295,0.6363636,0.9476071,1.3884298,0.6871843,0.5882353,0.26666668,0.22222222,0.5181347,0.5181347,0.5464481,0.5464481,2.2058823,2.6470587,0.45333335,1.2,0.37777779,0.8333333,0.5146667,0.5146667,0.45420137,0.3761468,0.4516129,0.09090909,0.32042253,0.37777779,1.2,0.45333335,0.88082904,2.3316061,0.5146667,1.0546448,9.95,0.545,2.405,-0.20603015,0.07537688,0.17085427,0.4522613,0.4370126,1.4494252,0.46181574,3.550352,45.70732,0.0,0.0,1.9869281,1.254902,1.5833334,0.6315789,3.550352,0.75,2.05,1.0,0.9337
5,POLAND - DIVISION 1,2024-04-25,13:00,Termalica B-B.,Odra Opole,1.91,3.5,3.8,1.93,1.8,1.91,1.93,1.3636364,1.06794,0.78315604,0.46875682,0.29874912,0.6373222,0.43136716,0.2056137,0.4766559,1.5454545,0.78202957,0.5060191,1.4545455,1.0756508,0.73951,0.09090909,1.3787047,15.1657505,0.5173921,0.11808061,1.0314233,2.5289257,0.47790697,2.644628,0.591608,0.8181818,1.1134044,1.3608277,0.447707,0.6000285,1.3402259,0.62601066,0.11657375,0.18621688,0.8181818,1.0285189,1.2570788,1.3636364,0.64282435,0.47140452,-0.54545456,1.233151,-2.2607768,0.34022608,0.12829055,0.59504133,1.4142135,1.983471,0.44194174,0.5235602,0.2857143,0.2631579,0.5181347,0.5181347,0.5555556,0.5235602,1.8324608,1.9895288,0.54571426,1.0857143,0.5026316,0.92105263,0.55142856,0.55142856,0.32952768,0.2939002,0.33099824,0.04109589,0.28913444,0.5026316,1.0857143,0.54571426,0.9896373,1.9689119,0.55142856,1.0722222,9.21,0.545,2.181,-0.17263843,0.03257329,0.20738328,0.412595,0.3308555,1.0157263,0.3613393,2.4880114,38.4847,0.0,0.0,1.8338386,1.3130339,1.3966422,0.716003,2.4880114,0.3,1.59,1.0,0.8592
6,ROMANIA - LIGA 2,2024-04-25,13:00,Gloria Buzau,Hunedoara,2.12,3.15,3.4,2.15,1.88,1.82,1.65,1.9090909,1.2398347,0.64943725,0.3427178,0.36213458,1.0566553,0.5526897,0.20450239,0.37001303,1.5454545,1.5587662,1.0086135,1.0,1.2060454,1.2060454,0.54545456,1.7768018,3.2574701,0.5434614,0.09886115,1.0444579,1.4049587,1.7146428,0.6363636,1.8952142,1.2222222,1.3146844,1.0756508,0.36784956,0.19633304,0.5337319,0.43750492,0.16021152,0.36619362,1.1111112,0.5665577,0.50990194,1.2222222,1.0304021,0.8430562,-0.11111111,1.1967033,-10.770329,0.42706943,0.15271026,0.6060606,1.0386891,1.5555556,0.8096016,0.4716981,0.31746033,0.29411766,0.4651163,0.6060606,0.5319149,0.5494506,1.485849,1.6037736,0.6730159,1.0793651,0.62352943,0.9264706,0.6825397,0.52380955,0.21819575,0.19544592,0.23188406,0.03816794,0.18867925,0.62352943,1.0793651,0.6730159,0.9860465,1.5813954,0.6825397,1.143617,8.67,0.687,2.555,-0.11880046,0.028835064,0.24452133,0.39215687,0.23475921,0.6784541,0.24626918,1.6618664,27.248466,0.70710677,14.036243,1.709212,1.3540511,1.2622951,0.7922078,1.6618664,0.25,1.03,1.0,0.7626
7,ROMANIA - LIGA 1,2024-04-25,13:00,FC Hermannstadt,Petrolul,2.15,3.1,3.75,2.6,2.2,1.62,1.48,2.090909,0.9958592,0.47628048,0.42149422,0.33206046,0.78781736,0.44769666,0.14531173,0.3245763,1.4545455,1.1570839,0.79549515,0.45454547,0.4979296,1.0954452,1.0,1.1281521,1.1281521,0.46766698,0.09451727,0.96110624,2.3801653,0.70710677,0.37190083,0.60858065,0.8181818,0.83319557,1.0183501,0.1835766,0.33138967,1.8051846,0.78478223,0.075111,0.09570936,0.36363637,0.64282435,1.767767,0.8181818,0.9359664,1.1439589,-0.45454547,0.8907235,-1.9595917,0.26542315,0.05597338,0.2644628,0.8838835,0.8181818,0.9359664,0.4651163,0.32258064,0.26666668,0.3846154,0.6756757,0.45454547,0.61728394,1.4418604,1.744186,0.6935484,1.2096775,0.5733333,0.82666665,0.83870965,0.47741935,0.2377256,0.18095239,0.27118644,0.09489051,0.0877193,0.5733333,1.2096775,0.6935484,0.8269231,1.4423077,0.83870965,1.1818181,9.0,1.273,1.829,-0.10555556,0.072222225,0.23888889,0.41666666,0.26822463,0.80467385,0.23682067,1.9710404,25.407719,1.5839192,29.248827,1.6620156,1.2651163,1.3137255,0.76119405,1.9710404,0.65,0.95,1.0,0.8344
8,PORTUGAL - LIGA PORTUGAL 2,2024-04-25,14:00,Leiria,Penafiel,2.05,3.2,3.6,2.08,1.83,1.83,1.73,1.4545455,1.233151,0.84779125,0.33343634,0.22416344,0.6722826,0.503712,0.15466103,0.30704257,1.3636364,1.1499192,0.84327406,1.2727273,0.9620914,0.75592893,0.09090909,1.3787047,15.1657505,0.46907228,0.15745339,0.9163543,3.0991735,0.5059644,0.92561984,1.3228756,0.90909094,1.3111095,1.4422206,0.33231354,0.3639866,1.0953108,0.5892382,0.07392456,0.12545784,0.6363636,0.64282435,1.0101526,1.1818181,1.1134044,0.94211143,-0.54545456,1.0756508,-1.9720266,0.24501066,0.06877346,0.75206614,0.54392827,1.2892562,1.0206207,0.4878049,0.3125,0.2777778,0.48076922,0.5780347,0.5464481,0.5464481,1.5609756,1.7560976,0.640625,1.125,0.5694444,0.8888889,0.65,0.540625,0.25579625,0.21904762,0.27433628,0.05882353,0.21212122,0.5694444,1.125,0.640625,0.9855769,1.7307693,0.65,1.136612,8.85,0.545,2.544,-0.1299435,0.04519774,0.23163842,0.40677965,0.2727708,0.80467385,0.28836846,1.9710404,29.898901,0.49497473,9.926246,1.7411925,1.3211383,1.3179487,0.75875485,1.9710404,0.4,1.15,1.0,0.7773
9,RUSSIA - PREMIER LEAGUE,2024-04-25,14:30,CSKA Moscow,Spartak Moscow,2.57,3.64,2.85,1.93,1.68,2.13,2.02,1.9090909,1.2398347,0.64943725,0.4053306,0.1839741,0.45388657,0.35676682,0.17739072,0.49721757,1.9090909,0.9958592,0.52164054,1.1818181,0.9359664,0.79197156,0.72727275,1.2128786,1.667708,0.5380538,0.09711025,1.2235724,2.7768595,0.6846532,0.75206614,1.4708043,1.0,1.2792042,1.2792042,0.43908662,0.5921881,1.3486817,0.58153117,0.10994813,0.1890666,1.1818181,1.465865,1.2403474,1.5454545,1.1570839,0.7487013,-0.36363637,2.0570378,-5.656854,0.3702924,0.083983436,1.6115702,1.0749677,2.9504132,0.6060915,0.38910505,0.2747253,0.3508772,0.5181347,0.4950495,0.5952381,0.46948355,1.4163424,1.1089494,0.70604396,0.78296703,0.9017544,1.277193,0.5302198,0.55494505,0.14056234,0.17230274,0.051660515,0.12172573,0.3070018,0.9017544,0.78296703,0.70604396,1.3316063,1.476684,0.5302198,1.1488096,9.06,0.909,2.519,-0.118101545,-0.08719647,0.28366446,0.31456953,0.18373755,0.55488735,0.2579528,1.359191,28.146782,0.12727922,-2.576572,1.5181924,1.4417366,1.0530303,0.9496403,1.359191,0.79,1.07,1.0,0.7196
10,RUSSIA - PREMIER LEAGUE,2024-04-25,14:30,Akhmat Grozny,Sochi,2.32,3.6,3.27,2.01,1.75,2.03,1.93,1.0909091,1.2398347,1.1365151,0.39008886,0.33828798,0.86720747,0.49918264,0.13631523,0.27307683,1.1818181,1.1134044,0.94211143,1.6363636,1.9198829,1.1732618,-0.45454547,2.3105936,-5.083306,0.40468937,0.071340986,0.7932538,1.5041323,0.8748178,1.6363636,1.9198829,0.54545456,0.8907235,1.6329932,0.45221627,0.5854354,1.2945917,0.61144805,0.059000034,0.096492305,0.90909094,1.2398347,1.3638182,1.8181819,0.9359664,0.51478153,-0.90909094,1.6211413,-1.7832555,0.25071967,0.07730195,0.90909094,1.2398347,3.4710743,0.4902681,0.43103448,0.2777778,0.3058104,0.49751243,0.5181347,0.5714286,0.49261084,1.5517242,1.4094827,0.64444447,0.90833336,0.7094801,1.1009175,0.55833334,0.5361111,0.19700551,0.21621622,0.16994633,0.048034936,0.28342247,0.7094801,0.90833336,0.64444447,1.1542288,1.6268656,0.55833334,1.1485714,9.19,0.545,2.131,-0.13928182,-0.035908595,0.25244832,0.35582155,0.21693851,0.664555,0.27006236,1.6278206,32.619244,0.11313708,2.29061,1.5989138,1.3484657,1.1857282,0.8433636,1.6278206,0.33,1.28,1.0,0.7084
