,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SOUTH KOREA - K LEAGUE 1,15/05/2024,04:30,Gwangju FC,Ulsan HD,3.25,3.2,2.1
2,MONGOLIA - PREMIER LEAGUE,15/05/2024,08:15,Bavarians,FC Ulaanbaatar,,,
3,CHINA - SUPER LEAGUE,15/05/2024,08:35,Shanghai Shenhua,Qingdao Hainiu,1.13,8.5,17.0
4,ALBANIA - SUPERLIGA,15/05/2024,11:00,Flamurtari,Apolonia Fier,,,
5,SCOTLAND - PREMIERSHIP,15/05/2024,15:45,Aberdeen,Livingston,1.53,4.1,6.25
6,ITALY - COPPA ITALIA,15/05/2024,16:00,Atalanta,Juventus,2.63,3.1,2.88
7,SOUTH AMERICA - COPA LIBERTADORES,15/05/2024,19:00,The Strongest (Bol),Huachipato (Chi),1.3,5.25,11.0
8,SOUTH AMERICA - COPA SUDAMERICANA,15/05/2024,19:00,Belgrano (Arg),Tomayapo (Bol),1.14,7.0,23.0
9,SOUTH AMERICA - COPA SUDAMERICANA,15/05/2024,19:00,Athletico-PR (Bra),Danubio (Uru),1.25,5.5,12.0
10,SOUTH AMERICA - COPA SUDAMERICANA,15/05/2024,19:00,Lanus (Arg),Metropolitanos (Ven),1.1,9.0,29.0
11,SOUTH AMERICA - COPA LIBERTADORES,15/05/2024,21:00,Alianza Lima (Per),Colo Colo (Chi),2.9,3.1,2.55
12,SOUTH AMERICA - COPA SUDAMERICANA,15/05/2024,21:00,Cuiaba (Bra),Deportivo Garcilaso (Per),1.3,5.5,9.0
13,SOUTH AMERICA - COPA SUDAMERICANA,15/05/2024,21:00,Boca Juniors (Arg),Fortaleza (Bra),1.95,3.4,4.0
14,USA - MLS,15/05/2024,21:30,St. Louis City,Los Angeles FC,2.5,3.75,2.6
15,BRAZIL - SERIE B,15/05/2024,21:30,Paysandu PA,Goias,2.5,3.25,2.8
16,SOUTH AMERICA - COPA LIBERTADORES,15/05/2024,21:30,Flamengo RJ (Bra),Bolivar (Bol),1.17,8.0,15.0
17,SOUTH AMERICA - COPA SUDAMERICANA,15/05/2024,23:00,Cesar Vallejo (Per),Always Ready (Bol),2.5,3.5,2.7
