,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Ptos_H,DesvPad_Ptos_H,CV_VG_H,Media_Ptos_A,DesvPad_Ptos_A,CV_VG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA,coeficiente_pontos,cv_pontos,prediction_label,prediction_score
1,ROMANIA - LIGA 2,30/10/2023,10:30,CSM Slatina,Unirea Slobozia,3.5,3.05,2.15,2.42,1.5,2.1,1.65,1.2,0.9797959,1.256,1.3,1.1874342,0.929,0.2857143,0.32786885,0.4651163,0.41322315,0.6666667,0.21301596,-0.1,2.167,1,0.6925
2,EGYPT - PREMIER LEAGUE,30/10/2023,11:00,El Daklyeh,El Ismaily,3.9,3.25,1.9,2.07,1.6,1.91,1.7,1.1,1.0440307,0.749,1.2,1.2489996,0.989,0.25641027,0.30769232,0.5263158,0.4830918,0.625,0.32199156,-0.1,2.293,1,0.8446
3,AZERBAIJAN - PREMIER LEAGUE,30/10/2023,12:00,Araz,Qarabag,5.2,3.9,1.55,1.85,1.82,1.9,1.7,1.75,1.299038,0.767,2.2,1.2489996,0.508,0.1923077,0.25641027,0.6451613,0.5405405,0.5494506,0.5487449,-0.45,2.548,1,0.5217
4,IVORY COAST - LIGUE 1,30/10/2023,12:30,SOL,Sporting Gagnoa,2.85,2.95,2.37,2.15,1.55,1.92,1.84,1.5,1.2845232,0.95,1.1,1.3,1.122,0.3508772,0.33898306,0.42194092,0.4651163,0.6451613,0.09883029,0.4,2.585,1,0.8
5,IVORY COAST - LIGUE 1,30/10/2023,12:30,Korhogo,ASI d'Abengourou,2.6,2.95,2.57,2.1,1.57,1.86,1.9,1.8,1.2489996,0.315,0.7,0.9,1.428,0.3846154,0.33898306,0.38910505,0.47619048,0.6369427,0.061050817,1.1,2.149,1,0.6
6,BAHRAIN - PREMIER LEAGUE,30/10/2023,13:00,Al Khalidiyah,Manama Club,1.88,3.35,3.95,1.88,1.87,1.72,2.0,1.9,1.1357816,0.813,2.6,0.8,0.809,0.5319149,0.29850745,0.25316456,0.5319149,0.53475934,0.33812088,-0.7,1.936,1,0.5047
7,IRELAND - PREMIER DIVISION,30/10/2023,13:45,Cork City,Shamrock Rovers,5.5,4.0,1.57,1.73,2.08,1.8,1.95,1.4,1.356466,0.768,1.4,1.1135529,1.003,0.18181819,0.25,0.6369427,0.5780347,0.48076922,0.5625753,0.0,2.47,1,0.9293
8,POLAND - DIVISION 1,30/10/2023,14:00,Pruszkow,Legnica,3.3,3.3,2.05,2.03,1.83,1.8,1.91,1.5,1.5,1.086,0.9,1.1357816,0.882,0.3030303,0.3030303,0.4878049,0.49261084,0.5464481,0.23888743,0.6,2.636,1,0.5853
9,EGYPT - PREMIER LEAGUE,30/10/2023,14:00,National Bank Egypt,Future FC,3.05,2.92,2.4,2.35,1.47,1.98,1.65,2.0,1.264911,0.844,1.5,1.2845232,1.212,0.32786885,0.34246576,0.41666666,0.42553192,0.6802721,0.10730047,0.5,2.549,1,0.506
10,PORTUGAL - LIGA PORTUGAL 2,30/10/2023,15:00,Vilaverdense,FC Porto B,3.1,3.0,2.25,1.75,2.05,1.57,2.25,1.6,1.4282857,0.835,1.3,1.4177446,0.782,0.32258064,0.33333334,0.44444445,0.5714286,0.4878049,0.15019077,0.3,2.846,1,0.9379
11,SWEDEN - ALLSVENSKAN,30/10/2023,15:10,Goteborg,Elfsborg,3.4,3.4,2.15,1.85,2.0,1.67,2.1,1.8,1.2489996,1.007,2.1,1.3747727,0.879,0.29411766,0.29411766,0.4651163,0.5405405,0.5,0.22958012,-0.3,2.624,1,0.7873
12,ROMANIA - LIGA 1,30/10/2023,15:30,CFR Cluj,Farul Constanta,1.73,3.4,4.75,2.05,1.75,1.91,1.8,2.3,1.1,0.487,1.2,1.2489996,0.645,0.5780347,0.29411766,0.21052632,0.4878049,0.5714286,0.43583325,1.1,2.349,1,0.6639
13,ARGENTINA - COPA DE LA LIGA PROFESIONAL,30/10/2023,16:00,Talleres Cordoba,Banfield,2.0,3.3,4.0,2.6,1.48,2.25,1.57,2.0,1.0,1.0,0.9,1.1357816,1.336,0.5,0.3030303,0.25,0.3846154,0.6756757,0.30641064,1.1,2.136,1,0.7629
14,ITALY - SERIE C,30/10/2023,16:45,Arezzo,Gubbio,2.95,3.05,2.42,2.35,1.53,2.0,1.72,1.5,1.2845232,0.9,1.3,1.1874342,0.505,0.33898306,0.32786885,0.41322315,0.42553192,0.6535948,0.10524107,0.2,2.472,1,0.8
15,ITALY - SERIE C,30/10/2023,16:45,Sestri Levante,Rimini,2.25,3.15,3.15,2.05,1.72,1.8,1.91,1.7,1.3453624,1.029,0.6,0.9165151,1.107,0.44444445,0.31746033,0.31746033,0.4878049,0.5813953,0.16637807,1.1,2.262,1,0.8
