,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Ptos_H,DesvPad_Ptos_H,CV_VG_H,Media_Ptos_A,DesvPad_Ptos_A,CV_VG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA,coeficiente_pontos,cv_pontos,prediction_label,prediction_score
20,BRAZIL - BRASILEIRO WOMEN,27/08/2023,10:30,Santos W,Corinthians W,3.35,3.2,2.09,1.81,1.9,1.65,2.12,2.1,1.1357816,0.723,2.0,1.264911,1.265,0.29850745,0.3125,0.4784689,0.5524862,0.5263158,0.22507076,0.1,2.401,1,0.5125
21,ESTONIA - MEISTRILIIGA,27/08/2023,11:00,Narva,Paide,4.02,3.48,1.84,2.0,1.79,1.83,1.93,0.9,1.3747727,1.607,1.5,1.024695,1.219,0.24875621,0.28735632,0.54347825,0.5,0.5586592,0.36343768,-0.6,2.399,1,0.5072
22,NORTH MACEDONIA - 1. MFL,27/08/2023,11:00,Sileks,Makedonija GP,2.14,3.0,3.45,2.2,1.59,1.98,1.79,1.4,1.356466,0.929,0.9,1.1357816,1.335,0.46728972,0.33333334,0.28985506,0.45454547,0.6289308,0.20773838,0.5,2.492,1,0.5011
23,NORTH MACEDONIA - 1. MFL,27/08/2023,11:00,Bregalnica Stip,Brera Strumica,2.52,3.18,2.67,2.16,1.68,1.83,1.93,1.4,1.1135529,1.118,0.8,0.8717798,1.129,0.3968254,0.3144654,0.37453184,0.46296296,0.5952381,0.096098825,0.6,1.985,1,0.6459
24,SCOTLAND - PREMIERSHIP,27/08/2023,11:00,St. Mirren,Aberdeen,2.25,3.2,3.4,2.1,1.73,1.8,1.95,1.4,1.356466,0.857,0.9,1.3747727,1.28,0.44444445,0.3125,0.29411766,0.47619048,0.5780347,0.19110349,0.5,2.731,1,0.7649
25,BELGIUM - JUPILER PRO LEAGUE,27/08/2023,11:00,St. Truiden,Cercle Brugge KSV,3.1,3.25,2.3,1.98,1.88,1.75,2.0,1.7,1.3453624,1.104,1.5,1.2845232,0.848,0.32258064,0.30769232,0.4347826,0.5050505,0.5319149,0.15978965,0.2,2.63,1,0.5019
26,BELARUS - VYSSHAYA LIGA,27/08/2023,11:00,Energetik-BGU,Neman,5.66,3.74,1.63,2.22,1.66,2.16,1.66,1.3,1.4177446,0.889,1.7,1.3453624,0.729,0.17667845,0.26737967,0.61349696,0.45045045,0.60240966,0.5339241,-0.4,2.763,1,0.9593
27,NORTH MACEDONIA - 1. MFL,27/08/2023,11:00,Rabotnicki,Shkendija,3.4,3.78,1.92,1.51,2.32,1.48,2.57,1.6,1.4282857,0.799,1.7,1.3453624,0.816,0.29411766,0.26455027,0.5208333,0.66225165,0.43103448,0.3181526,-0.1,2.774,1,0.8198
28,SCOTLAND - PREMIERSHIP,27/08/2023,11:00,Dundee FC,Hearts,2.9,3.4,2.4,1.95,1.9,1.7,2.05,1.8,1.2489996,0.668,0.7,0.9,1.025,0.3448276,0.29411766,0.41666666,0.51282054,0.5263158,0.14288686,1.1,2.149,1,0.9329
29,SWITZERLAND - SUPER LEAGUE,27/08/2023,11:30,Grasshoppers,Luzern,3.25,3.6,2.1,1.6,2.3,1.53,2.38,1.6,1.4282857,0.703,1.5,1.2845232,0.696,0.30769232,0.2777778,0.47619048,0.625,0.4347826,0.24680138,0.1,2.713,1,0.875
30,PORTUGAL - LIGA PORTUGAL 2,27/08/2023,11:30,Benfica B,Maritimo,3.0,3.25,2.1,1.73,2.08,1.62,2.2,0.8,1.1661904,0.967,1.1,1.3,0.64,0.33333334,0.30769232,0.47619048,0.5780347,0.48076922,0.19905718,-0.3,2.466,1,0.8952
31,SWITZERLAND - SUPER LEAGUE,27/08/2023,11:30,Lausanne,Winterthur,1.73,4.0,4.5,1.6,2.3,1.57,2.25,1.9,1.1357816,0.817,0.8,1.1661904,0.678,0.5780347,0.25,0.22222222,0.625,0.4347826,0.46155208,1.1,2.302,1,0.58
32,ALBANIA - SUPERLIGA,27/08/2023,12:00,Laci,Erzeni,2.1,3.22,3.43,2.25,1.63,1.91,1.85,1.3,1.4177446,0.752,0.7,0.9,0.673,0.47619048,0.310559,0.29154518,0.44444445,0.61349696,0.23071188,0.6,2.318,1,0.5054
33,SPAIN - LALIGA2,27/08/2023,12:00,Ferrol,Gijon,2.6,3.0,3.0,2.5,1.5,2.1,1.67,2.6,0.8,0.632,0.6,0.9165151,1.15,0.3846154,0.33333334,0.33333334,0.4,0.6666667,0.06898603,2.0,1.717,1,0.9367
34,FINLAND - VEIKKAUSLIIGA,27/08/2023,12:00,AC Oulu,HJK,4.5,3.6,1.75,2.03,1.83,1.91,1.91,1.4,1.356466,0.838,1.4,1.1135529,0.712,0.22222222,0.2777778,0.5714286,0.49261084,0.5464481,0.42899057,0.0,2.47,1,0.9377
35,AUSTRIA - BUNDESLIGA,27/08/2023,12:00,LASK,Austria Vienna,1.95,3.75,3.6,1.57,2.35,1.5,2.5,2.0,1.264911,0.726,1.0,1.0954452,0.851,0.51282054,0.26666668,0.2777778,0.6369427,0.42553192,0.3220852,1.0,2.36,1,0.5004
36,SERBIA - PRVA LIGA,27/08/2023,12:00,Mladost GAT,Vrsac,1.75,3.4,4.7,2.28,1.61,2.07,1.72,0.8,0.8717798,1.063,0.8,1.1661904,1.2,0.5714286,0.29411766,0.21276596,0.4385965,0.621118,0.42715502,0.0,2.038,1,0.5577
37,NORWAY - OBOS-LIGAEN,27/08/2023,12:00,Sandnes,Mjondalen,2.05,3.75,3.3,1.53,2.4,1.44,2.63,0.9,1.1357816,0.763,1.2,1.4696939,0.802,0.4878049,0.26666668,0.3030303,0.6535948,0.41666666,0.27466464,-0.3,2.605,1,0.5445
38,NORWAY - OBOS-LIGAEN,27/08/2023,12:00,Kongsvinger,KFUM Oslo,2.05,3.8,3.3,1.67,2.15,1.62,2.2,2.4,1.2,0.706,1.4,1.356466,0.802,0.4878049,0.2631579,0.3030303,0.5988024,0.4651163,0.27855447,1.0,2.556,1,0.669
39,NORWAY - OBOS-LIGAEN,27/08/2023,12:00,Jerv,Bryne,2.2,4.0,2.88,1.6,2.3,1.53,2.38,1.5,1.2845232,0.712,1.0,1.3416408,0.722,0.45454547,0.25,0.3472222,0.625,0.4347826,0.23828247,0.5,2.626,1,0.6898
40,NORWAY - OBOS-LIGAEN,27/08/2023,12:00,Asane,Raufoss,2.5,3.6,2.63,1.57,2.35,1.5,2.5,1.0,1.0954452,0.612,0.7,1.1874342,1.291,0.4,0.2777778,0.38022813,0.6369427,0.42553192,0.15189181,0.3,2.283,1,0.6708
41,SWEDEN - ALLSVENSKAN,27/08/2023,12:30,Goteborg,Hacken,3.4,3.6,2.1,1.62,2.25,1.53,2.38,0.9,1.1357816,1.435,2.0,1.264911,0.654,0.29411766,0.2777778,0.47619048,0.61728394,0.44444445,0.2574094,-1.1,2.401,1,0.7872
42,SLOVENIA - PRVA LIGA,27/08/2023,12:30,O. Ljubljana,Celje,2.21,3.52,3.12,1.82,1.99,1.64,2.2,2.2,1.2489996,0.794,2.0,1.264911,0.502,0.4524887,0.2840909,0.32051283,0.5494506,0.5025126,0.2053084,0.2,2.514,1,0.5894
43,SERBIA - SUPER LIGA,27/08/2023,12:30,Novi Pazar,Zeleznicar Pancevo,1.71,3.72,4.62,1.93,1.87,1.83,1.93,1.6,1.4282857,1.099,1.5,1.2845232,0.621,0.5847953,0.26881722,0.21645021,0.5181347,0.53475934,0.45616156,0.1,2.713,1,0.5098
44,POLAND - EKSTRAKLASA,27/08/2023,12:30,Jagiellonia,Gornik Zabrze,2.15,3.2,3.4,2.05,1.75,1.8,1.95,1.8,1.2489996,0.47,1.3,1.4177446,1.21,0.4651163,0.3125,0.29411766,0.4878049,0.5714286,0.214545,0.5,2.667,1,0.8009
45,ENGLAND - PREMIER LEAGUE,27/08/2023,12:30,Newcastle,Liverpool,2.2,3.75,3.0,1.5,2.63,1.44,2.63,2.0,1.264911,1.126,1.5,1.2845232,0.919,0.45454547,0.26666668,0.33333334,0.6666667,0.38022813,0.2212457,0.5,2.549,1,0.5052
46,QATAR - QSL,27/08/2023,12:30,Al Arabi,Umm-Salal,1.61,4.1,4.89,1.69,2.16,1.69,2.11,2.1,1.3747727,0.657,0.6,0.9165151,0.778,0.621118,0.24390244,0.20449898,0.591716,0.46296296,0.5267754,1.5,2.291,1,0.5001
47,BULGARIA - PARVA LIGA,27/08/2023,13:00,Arda,Levski Sofia,3.4,3.2,2.05,2.25,1.62,2.0,1.73,1.8,1.2489996,0.773,1.8,1.2489996,0.989,0.29411766,0.3125,0.4878049,0.44444445,0.61728394,0.2392918,0.0,2.498,1,0.8647
48,ARGENTINA - PRIMERA NACIONAL,27/08/2023,13:10,Almirante Brown,Deportivo Moron,2.25,3.0,3.6,2.5,1.5,2.1,1.67,2.1,1.1357816,0.816,1.7,1.3453624,0.762,0.44444445,0.33333334,0.2777778,0.4,0.6666667,0.19692934,0.4,2.481,1,0.6593
49,CHILE - PRIMERA DIVISION,27/08/2023,13:30,Magallanes,Colo Colo,3.6,3.3,2.1,2.05,1.8,1.8,1.91,1.2,1.2489996,0.686,1.4,1.1135529,0.934,0.2777778,0.3030303,0.47619048,0.4878049,0.5555556,0.2502896,-0.2,2.363,1,0.5849
50,GEORGIA - CRYSTALBET EROVNULI LIGA,27/08/2023,14:00,Gagra,Dinamo Batumi,7.95,4.95,1.33,1.59,2.33,1.83,1.93,0.7,0.9,1.174,2.2,0.9797959,0.642,0.12578617,0.2020202,0.7518797,0.6289308,0.42918456,0.7749936,-1.5,1.88,1,0.5182
51,ICELAND - BESTA DEILD KARLA,27/08/2023,14:00,Keflavik,Fram,2.48,3.84,2.54,1.45,2.51,1.43,2.73,0.7,0.9,0.941,0.1,0.3,1.504,0.4032258,0.26041666,0.39370078,0.6896552,0.3984064,0.18496892,0.6,1.2,1,0.5987
52,RUSSIA - PREMIER LEAGUE,27/08/2023,14:00,Sochi,Lokomotiv Moscow,2.46,3.75,2.93,1.77,2.22,1.56,2.36,1.4,1.356466,0.642,2.1,1.1357816,0.509,0.40650406,0.26666668,0.34129694,0.56497175,0.45045045,0.1689504,-0.7,2.492,1,0.6569
53,SPAIN - LALIGA2,27/08/2023,14:30,Mirandes,Espanyol,3.6,3.1,2.25,2.2,1.65,1.91,1.8,1.5,1.2845232,0.495,0.7,1.1874342,0.44,0.2777778,0.32258064,0.44444445,0.45454547,0.6060606,0.20221232,0.8,2.472,1,0.6066
54,SPAIN - LALIGA2,27/08/2023,14:30,Amorebieta,Andorra,3.3,3.0,2.38,2.4,1.53,2.1,1.67,2.6,0.8,0.548,1.0,1.0954452,1.162,0.3030303,0.33333334,0.42016807,0.41666666,0.6535948,0.14096013,1.6,1.895,1,0.7705
55,ARGENTINA - COPA DE LA LIGA PROFESIONAL,27/08/2023,14:30,Godoy Cruz,Central Cordoba,1.83,3.5,4.5,2.4,1.53,2.2,1.62,2.2,0.9797959,0.612,1.0,1.0954452,0.867,0.5464481,0.2857143,0.22222222,0.41666666,0.6535948,0.3991665,1.2,2.075,1,0.5492
56,SERBIA - SUPER LIGA,27/08/2023,14:30,Sp. Subotica,Napredak,1.83,3.4,4.38,2.25,1.64,2.01,1.76,1.4,1.356466,0.555,1.2,1.2489996,1.031,0.5464481,0.29411766,0.2283105,0.44444445,0.6097561,0.3848479,0.2,2.605,1,0.5707
57,PERU - LIGA 1,27/08/2023,15:00,Grau,U. de Deportes,3.0,3.4,2.38,2.03,1.83,1.8,1.91,1.8,1.2489996,0.641,1.5,1.2845232,0.901,0.33333334,0.29411766,0.42016807,0.49261084,0.5464481,0.15082678,0.3,2.534,1,0.8175
58,SLOVENIA - PRVA LIGA,27/08/2023,15:15,Radomlje,Bravo,2.74,3.3,2.55,2.09,1.74,1.81,1.95,1.6,1.2,0.982,0.8,0.8717798,0.601,0.3649635,0.3030303,0.39215687,0.4784689,0.57471263,0.10553896,0.8,2.072,1,0.8427
59,MOROCCO - BOTOLA PRO,27/08/2023,15:15,Youssoufia Berrechid,Raja Casablanca,4.5,3.2,1.73,2.5,1.5,2.17,1.66,1.0,1.0954452,1.799,0.7,0.9,1.414,0.22222222,0.3125,0.5780347,0.4,0.6666667,0.40714884,0.3,1.995,1,0.98
60,SPAIN - PRIMERA RFEF,27/08/2023,15:30,R. Union,Sabadell,2.15,3.0,3.2,2.4,1.53,2.1,1.67,1.4,1.356466,0.754,1.4,1.1135529,0.662,0.4651163,0.33333334,0.3125,0.41666666,0.6535948,0.18246809,0.0,2.47,1,0.5788
61,SPAIN - PRIMERA RFEF,27/08/2023,15:30,Alcoyano,Sanluqueno,1.83,3.1,4.2,2.5,1.5,2.25,1.57,1.5,1.024695,0.61,1.2,1.2489996,0.837,0.5464481,0.32258064,0.23809524,0.4,0.6666667,0.35253713,0.3,2.274,1,0.5364
62,ARGENTINA - PRIMERA NACIONAL,27/08/2023,15:30,Deportivo Maipu,Quilmes,1.7,3.6,5.25,2.35,1.57,2.25,1.57,2.6,0.8,0.449,1.3,1.1874342,1.071,0.5882353,0.2777778,0.1904762,0.42553192,0.6369427,0.4846921,1.3,1.987,1,0.5141
63,SPAIN - PRIMERA RFEF,27/08/2023,15:30,San Fernando,Ceuta,2.15,3.1,3.0,2.4,1.53,2.2,1.62,1.5,1.2845232,0.732,1.4,1.1135529,0.71,0.4651163,0.32258064,0.33333334,0.41666666,0.6535948,0.17342892,0.1,2.398,1,0.5446
64,SLOVAKIA - NIKE LIGA,27/08/2023,15:30,Skalica,Trnava,2.96,3.36,2.37,2.01,1.8,1.76,2.01,1.7,1.3453624,0.58,1.0,1.3416408,0.826,0.33783785,0.29761904,0.42194092,0.49751243,0.5555556,0.14695741,0.7,2.687,1,0.8283
65,BRAZIL - SERIE B,27/08/2023,15:45,Chapecoense-SC,Avai,2.14,3.2,3.64,2.4,1.49,2.11,1.69,1.0,1.0954452,0.873,1.0,1.0954452,0.963,0.46728972,0.3125,0.2747253,0.41666666,0.67114097,0.23701483,0.0,2.191,1,0.5025
66,BRAZIL - SERIE A,27/08/2023,16:00,America MG,Sao Paulo,2.8,3.25,2.55,2.3,1.62,1.95,1.8,1.6,1.4282857,0.574,1.0,1.0954452,0.955,0.35714287,0.30769232,0.39215687,0.4347826,0.61728394,0.09834509,0.6,2.524,1,0.6945
