,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,INDIA - I-LEAGUE,23/02/2024,05:30,Neroca FC,Delhi FC,4.7,4.45,1.53
2,BANGLADESH - PREMIER LEAGUE,23/02/2024,08:15,Bashundara Kings,Sheikh Russel,1.27,4.7,9.0
3,BULGARIA - PARVA LIGA,23/02/2024,10:00,Botev Vratsa,Pirin Blagoevgrad,1.91,3.4,4.0
4,INDIA - I-LEAGUE,23/02/2024,10:30,Aizawl,Rajasthan United,1.78,3.6,4.0
5,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,23/02/2024,11:00,Al Taawon,Al Akhdoud,1.62,3.8,5.25
6,BULGARIA - PARVA LIGA,23/02/2024,12:30,Botev Plovdiv,Etar,1.29,6.0,9.5
7,AUSTRIA - 2. LIGA,23/02/2024,14:10,Leoben,Stripfing,1.78,3.75,4.0
8,NETHERLANDS - EERSTE DIVISIE,23/02/2024,16:00,De Graafschap,Den Bosch,1.44,4.75,6.5
9,NORTHERN IRELAND - NIFL CHAMPIONSHIP,23/02/2024,17:00,Annagh,Dundela,3.55,3.55,1.9
10,ARGENTINA - PRIMERA NACIONAL,23/02/2024,18:05,Talleres (R.E),CA Estudiantes,2.55,2.8,3.3
