Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SOUTH KOREA - K LEAGUE 1,25/11/2023,04:30,Pohang,Daegu,1.91,3.5,4.0
2,SOUTH KOREA - K LEAGUE 1,25/11/2023,04:30,Seoul,Suwon Bluewings,1.7,4.0,4.33
3,ROMANIA - LIGA 2,25/11/2023,06:00,Csikszereda M. Ciuc,CSM Slatina,1.91,3.2,4.1
4,ROMANIA - LIGA 2,25/11/2023,06:00,CSM Resita,Alexandria,1.75,3.5,4.55
5,IRAQ - SUPER LEAGUE,25/11/2023,08:30,Al Naft,Al Karkh,2.25,2.95,3.05
6,MOLDOVA - SUPER LIGA,25/11/2023,09:00,Sheriff Tiraspol,Zimbru Chisinau,1.43,3.84,7.5
7,URUGUAY - PRIMERA DIVISION,25/11/2023,10:00,Racing Montevideo,Cerro Largo,2.2,2.9,3.5
8,POLAND - EKSTRAKLASA,25/11/2023,11:00,Rakow,Cracovia,1.57,4.2,5.25
9,SLOVAKIA - NIKE LIGA,25/11/2023,11:00,Dun. Streda,Z. Moravce-Vrable,1.35,4.9,7.8
10,GHANA - PREMIER LEAGUE,25/11/2023,12:00,Nations FC,Karela,1.78,3.15,4.35
11,NIGERIA - NPFL,25/11/2023,12:00,Remo Stars,Doma United,1.87,3.05,4.35
12,NIGERIA - NPFL,25/11/2023,12:00,Heartland,Enyimba,1.85,2.95,4.8
13,ENGLAND - LEAGUE ONE,25/11/2023,12:00,Northampton,Cambridge Utd,1.91,3.4,4.0
14,SPAIN - LALIGA2,25/11/2023,12:15,Racing Santander,Villarreal B,1.75,3.8,4.2
15,BULGARIA - PARVA LIGA,25/11/2023,12:30,CSKA Sofia,Etar,1.14,7.0,21.0
16,SENEGAL - LIGUE 1,25/11/2023,13:30,Teungueth,Dakar SC,2.3,2.64,3.59
17,SPAIN - LALIGA2,25/11/2023,14:30,Albacete,Zaragoza,1.91,3.25,4.33
18,ITALY - SERIE C,25/11/2023,14:30,Triestina,Arzignano,1.57,3.7,5.7
19,SPAIN - PRIMERA RFEF,25/11/2023,15:00,Lugo,Arenteiro,1.85,3.4,4.0
20,ROMANIA - LIGA 1,25/11/2023,15:30,CFR Cluj,UTA Arad,1.44,4.0,7.0
21,SPAIN - PRIMERA RFEF,25/11/2023,16:00,Cordoba,Antequera,1.85,3.2,4.0
22,URUGUAY - PRIMERA DIVISION,25/11/2023,16:30,Danubio,Fenix,2.05,3.2,3.8
23,BRAZIL - SERIE B,25/11/2023,17:00,Botafogo SP,Londrina,1.57,3.6,5.9
24,BRAZIL - SERIE B,25/11/2023,17:00,Chapecoense-SC,Vitoria,1.65,3.6,5.0
25,BRAZIL - SERIE B,25/11/2023,17:00,Sport Recife,Sampaio Correa,1.52,4.05,5.8
26,VENEZUELA - LIGA FUTVE,25/11/2023,18:00,Dep. Tachira,Caracas,1.98,3.1,3.8
27,COSTA RICA - PRIMERA DIVISION,25/11/2023,23:00,Alajuelense,Guanacasteca,1.4,4.5,7.0
