,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,AUSTRALIA - A-LEAGUE,28/10/2023,01:30,Wellington Phoenix,Perth Glory,2.0,3.8,3.4
2,ROMANIA - LIGA 2,28/10/2023,05:00,Tunari,Viitorul Tg. Jiu,2.18,3.4,3.1
3,ROMANIA - LIGA 2,28/10/2023,05:00,Unirea Dej,Progresul Spartac,1.52,3.9,6.0
4,SOUTH KOREA - K LEAGUE 2,28/10/2023,06:30,Anyang,Seoul E-Land,1.67,3.5,4.75
5,SWEDEN - SUPERETTAN,28/10/2023,08:00,Gefle,Landskrona,2.3,3.6,2.8
6,VIETNAM - V.LEAGUE 1,28/10/2023,08:00,Hong Linh Ha Tinh,Song Lam Nghe An,2.1,3.3,3.2
7,POLAND - DIVISION 1,28/10/2023,10:00,Lechia Gdansk,S. Rzeszow,1.8,3.6,4.0
8,MONTENEGRO - PRVA CRNOGORSKA LIGA,28/10/2023,11:00,Petrovac,Jezero,2.12,3.1,3.35
9,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,28/10/2023,11:00,Borac Banja Luka,Siroki Brijeg,1.42,4.0,7.6
10,SLOVAKIA - NIKE LIGA,28/10/2023,11:30,Dun. Streda,Michalovce,1.3,5.1,9.75
11,QATAR - QSL,28/10/2023,11:30,Al Rayyan,Al-Gharafa,2.12,3.8,2.87
12,INDIA - ISL,28/10/2023,11:30,Mohun Bagan,East Bengal,1.42,4.35,6.8
13,GHANA - PREMIER LEAGUE,28/10/2023,12:00,Bibiani Gold Stars,Hearts of Oak,1.95,2.87,4.0
14,NIGERIA - NPFL,28/10/2023,12:00,Bendel,Akwa United,1.85,3.2,4.25
15,GHANA - PREMIER LEAGUE,28/10/2023,12:00,Great Olympics,Nations FC,1.7,3.0,5.3
16,RUSSIA - PREMIER LEAGUE,28/10/2023,13:00,Zenit,Akhmat Grozny,1.37,5.66,9.35
17,BELGIUM - CHALLENGER PRO LEAGUE,28/10/2023,15:00,Beveren,Francs Borains,1.6,4.0,4.5
18,BRAZIL - SERIE B,28/10/2023,15:30,Criciuma,Sampaio Correa,1.62,3.3,6.1
19,PERU - LIGA 1,28/10/2023,17:15,Dep. Municipal,AD Cantolao,1.3,4.33,8.0
20,MEXICO - LIGA DE EXPANSION MX,28/10/2023,23:05,Cimarrones de Sonora,Venados,2.02,3.35,3.5
