,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,QcfTt4Q1,18/08/2023,02:00,MONGOLIA - PREMIER LEAGUE,Khangarid,Tuv Buganuud,ROUND 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,EDmB5m32,18/08/2023,05:00,MONGOLIA - PREMIER LEAGUE,Bavarians,FC Ulaanbaatar,ROUND 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ncxL9MsS,18/08/2023,07:30,SOUTH KOREA - K LEAGUE 1,Suwon Bluewings,Jeju Utd,ROUND 27,3.0,3.3,2.1,1.4,2.75,1.05,11.0,1.29,3.5,1.93,1.93,3.25,1.33,6.5,1.11,1.73,2.0,,,,,11.0,8.5,11.0,21.0,10.0,6.5,9.0,17.0,15.0,11.0,13.0,26.0,34.0,23.0,29.0,41.0,201.0
4,8buDXK7s,18/08/2023,08:35,CHINA - SUPER LEAGUE,Zhejiang Professional,Qingdao Hainiu,ROUND 23,1.73,3.75,4.75,1.3,3.4,1.03,15.0,1.18,4.5,1.65,2.2,2.5,1.5,4.5,1.18,1.62,2.2,1.7,2.1,1.2,4.4,13.0,17.0,26.0,51.0,9.0,7.0,15.0,26.0,9.5,8.5,12.0,34.0,15.0,13.0,21.0,41.0,151.0
5,EmCFQw5k,18/08/2023,09:00,INDONESIA - LIGA 1,Persita,PSS Sleman,ROUND 9,1.75,3.72,4.2,1.34,2.99,1.01,10.0,1.23,3.56,1.8,1.99,2.84,1.35,5.25,1.11,1.71,2.08,,,,,10.0,12.0,21.0,56.0,6.5,6.5,13.0,34.0,7.0,7.0,12.0,41.0,12.0,11.0,19.0,56.0,67.0
6,QBa14i17,18/08/2023,11:30,BELARUS - VYSSHAYA LIGA,Naftan,Energetik-BGU,ROUND 18,3.08,3.32,2.32,1.43,2.7,1.03,8.2,1.32,2.98,2.08,1.75,3.48,1.24,6.8,1.06,1.81,1.95,,,,,,,,,,,,,,,,,,,,,
7,tjUj3wlS,18/08/2023,12:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Akhdoud,Al Fateh,ROUND 2,3.8,3.5,1.91,1.36,3.0,1.05,8.5,1.25,3.75,1.8,2.0,3.0,1.36,5.0,1.14,1.73,2.0,3.45,1.3,1.83,1.98,11.0,8.5,10.0,17.0,12.0,7.0,9.0,15.0,21.0,13.0,13.0,23.0,41.0,29.0,34.0,41.0,151.0
8,OxbIOF6n,18/08/2023,13:00,ESTONIA - MEISTRILIIGA,Harju JK Laagri,Narva,ROUND 24,3.99,3.54,1.83,1.38,2.81,1.02,9.0,1.27,3.28,1.93,1.85,3.2,1.28,6.05,1.08,1.78,1.99,,,,,9.5,6.0,7.5,13.0,10.0,6.0,7.0,13.0,19.0,11.0,13.0,23.0,51.0,34.0,36.0,51.0,
9,jinRSJzN,18/08/2023,13:00,BULGARIA - PARVA LIGA,Lok. Sofia,Hebar,ROUND 6,2.0,3.5,3.75,1.44,2.63,1.07,8.5,1.36,3.0,2.1,1.7,3.75,1.25,8.0,1.08,1.91,1.8,2.0,1.85,,,8.5,9.5,19.0,41.0,6.5,6.5,13.0,34.0,9.0,9.0,17.0,41.0,17.0,17.0,29.0,51.0,351.0
10,nDQYd76R,18/08/2023,13:10,AUSTRIA - 2. LIGA,Floridsdorfer AC,Lafnitz,ROUND 4,2.0,3.62,3.56,1.35,3.04,1.01,10.0,1.22,3.64,1.81,2.0,2.84,1.35,5.25,1.11,1.67,2.15,,,,,10.0,10.0,15.0,34.0,7.0,5.5,9.5,20.0,8.5,7.0,9.5,26.0,14.0,12.0,18.0,41.0,201.0
11,WfomWCqg,18/08/2023,13:30,RUSSIA - PREMIER LEAGUE,Rubin Kazan,Krylya Sovetov,ROUND 5,2.61,3.69,2.77,1.35,3.05,1.01,10.2,1.22,3.7,1.87,2.08,2.83,1.36,5.2,1.11,1.63,2.22,,,,,,,,,,,,,,,,,,,,,
12,n3FqY3uc,18/08/2023,14:30,QATAR - QSL,Umm-Salal,Al-Sadd,ROUND 1,8.05,5.5,1.31,1.22,4.0,1.02,17.0,1.1,5.55,1.39,2.67,2.07,1.75,3.2,1.28,1.67,2.15,,,,,20.0,8.0,6.5,8.0,21.0,9.0,6.0,8.0,46.0,19.0,13.0,14.0,126.0,51.0,36.0,46.0,201.0
13,bVGIbcdq,18/08/2023,15:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Hazem,Al Ettifaq,ROUND 2,4.5,3.5,1.8,1.33,3.25,1.04,9.0,1.2,4.33,1.73,2.08,2.63,1.44,4.5,1.17,1.67,2.1,4.4,1.2,2.05,1.75,12.0,8.5,9.5,15.0,15.0,7.0,9.0,13.0,23.0,15.0,13.0,23.0,41.0,34.0,34.0,41.0,151.0
14,CYKMcHBk,18/08/2023,15:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Nassr,Al Taawon,ROUND 2,1.33,4.75,9.5,1.29,3.5,1.03,10.0,1.17,4.5,1.57,2.35,2.38,1.53,4.0,1.22,1.91,1.8,1.33,3.3,,,13.0,26.0,41.0,101.0,8.0,9.5,29.0,51.0,7.0,9.5,19.0,51.0,8.5,12.0,26.0,51.0,201.0
15,GEchBizH,18/08/2023,15:00,BELGIUM - CHALLENGER PRO LEAGUE,Lommel SK,Club Brugge KV U23,ROUND 2,1.73,3.8,3.6,1.25,3.75,1.02,19.0,1.17,5.0,1.53,2.4,2.25,1.57,4.0,1.22,1.53,2.38,1.78,2.03,1.28,3.55,19.0,15.0,23.0,41.0,10.0,8.5,13.0,26.0,11.0,8.5,13.0,29.0,15.0,13.0,19.0,41.0,126.0
