,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_Under,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
1,SOUTH KOREA - K LEAGUE 2,03/09/2023,04:00,Gimpo FC,Seoul E-Land,2.2,3.0,3.0,2.5,1.5,2.1,1.04,1.67,0.8,0.8,1.1,1.4,0.45454547,0.33333334,0.33333334,0.4,0.6666667,0.962,0.15288796,-0.3,-0.6,0,0.6046
2,SOUTH KOREA - K LEAGUE 2,03/09/2023,06:30,Jeonnam,Seongnam,2.15,3.2,2.9,1.8,2.0,1.73,1.14,2.0,2.0,1.1,1.4,1.6,0.4651163,0.3125,0.3448276,0.5555556,0.5,0.877,0.17550349,0.6,-0.5,0,0.551
3,SCOTLAND - PREMIERSHIP,03/09/2023,08:00,Rangers,Celtic,2.38,3.75,2.7,1.57,2.38,1.53,1.22,2.38,1.8,1.7,2.7,1.2,0.42016807,0.26666668,0.37037036,0.6369427,0.42016807,0.82,0.18144569,-0.9,0.5,0,0.5036
4,BELGIUM - CHALLENGER PRO LEAGUE,03/09/2023,08:30,Lierse K.,Lommel SK,2.4,3.8,2.4,1.57,2.35,1.5,1.22,2.5,1.2,1.9,1.6,1.2,0.41666666,0.2631579,0.41666666,0.6369427,0.42553192,0.82,0.1979899,-0.4,0.7,0,0.5076
5,SPAIN - LALIGA2,03/09/2023,09:00,Andorra,Tenerife,2.38,3.1,3.25,2.7,1.44,2.2,1.04,1.62,1.0,0.8,0.4,0.8,0.42016807,0.32258064,0.30769232,0.37037036,0.6944444,0.962,0.14246601,0.6,0.0,0,0.5355
6,SWEDEN - ALLSVENSKAN,03/09/2023,10:00,Hammarby,AIK,2.1,3.5,3.5,2.0,1.85,1.75,1.1,2.0,2.1,1.2,0.9,1.1,0.47619048,0.2857143,0.2857143,0.5,0.5405405,0.909,0.25712973,1.2,0.1,0,0.6305
7,SCOTLAND - PREMIERSHIP,03/09/2023,11:00,Aberdeen,Hibernian,2.3,3.4,3.1,1.93,1.93,1.75,1.13,2.0,1.7,0.4,1.3,1.4,0.4347826,0.29411766,0.32258064,0.5181347,0.5181347,0.885,0.17325127,0.4,-1.0,0,0.5737
8,SWITZERLAND - SUPER LEAGUE,03/09/2023,11:30,Basel,Zurich,2.8,3.5,2.45,1.67,2.15,1.53,1.17,2.38,1.6,1.5,1.3,1.6,0.35714287,0.2857143,0.40816328,0.5988024,0.4651163,0.855,0.1433478,0.3,-0.1,0,0.5032
9,SWEDEN - ALLSVENSKAN,03/09/2023,12:30,Malmo FF,Goteborg,1.4,5.5,6.5,1.6,2.3,1.91,1.2,1.91,2.8,0.8,0.8,1.6,0.71428573,0.18181819,0.15384616,0.625,0.4347826,0.833,0.7367598,2.0,-0.8,0,0.6342
10,SWEDEN - ALLSVENSKAN,03/09/2023,12:30,Norrkoping,Djurgarden,2.75,3.4,2.55,1.83,2.03,1.67,1.13,2.1,1.3,1.1,1.0,1.8,0.36363637,0.29411766,0.39215687,0.5464481,0.49261084,0.885,0.117651045,0.3,-0.7,0,0.594
