,League,Round,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,ROUND 1,14/08/2023,12:00,Abha,Al Hilal,6.0,3.6,1.57
2,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,ROUND 1,14/08/2023,15:00,Al Ettifaq,Al Nassr,3.75,3.25,1.95
3,BULGARIA - PARVA LIGA,ROUND 5,14/08/2023,15:15,Krumovgrad,CSKA 1948 Sofia,4.75,3.75,1.62
