,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Ptos_H,DesvPad_Ptos_H,CV_VG_H,Media_Ptos_A,DesvPad_Ptos_A,CV_VG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA,coeficiente_pontos,cv_pontos,prediction_label,prediction_score
1,INDONESIA - LIGA 1,09/08/2023,05:00,PSIS Semarang,Arema FC,1.59,3.94,5.07,1.8,1.99,1.79,1.98,1.8,1.2489996,0.704,0.9,1.1357816,0.913,0.6289308,0.2538071,0.19723865,0.5555556,0.5025126,0.5321378,0.9,2.385,1,0.5002
2,INDONESIA - LIGA 1,09/08/2023,05:00,Barito Putera,Dewa United,2.07,3.44,3.27,1.88,1.9,1.68,2.13,2.1,1.3747727,0.495,1.1,1.3,0.79,0.4830918,0.29069766,0.3058104,0.5319149,0.5263158,0.24273302,1.0,2.675,1,0.5029
3,CHINA - SUPER LEAGUE,09/08/2023,08:35,Cangzhou,Dalian Pro,2.15,3.4,3.5,1.93,1.93,1.75,2.0,1.2,1.2489996,0.829,0.3,0.45825756,1.189,0.4651163,0.29411766,0.2857143,0.5181347,0.5181347,0.23731734,0.9,1.707,1,0.5121
4,CHINA - SUPER LEAGUE,09/08/2023,08:35,Tianjin Jinmen Tiger,Beijing Guoan,3.0,3.3,2.38,1.9,1.95,1.67,2.1,1.5,1.024695,1.068,1.2,1.2489996,0.403,0.33333334,0.3030303,0.42016807,0.5263158,0.51282054,0.14096013,0.3,2.274,1,0.5646
5,INDONESIA - LIGA 1,09/08/2023,09:00,Persija Jakarta,Borneo,1.85,3.55,3.89,1.9,1.88,1.75,2.03,2.8,0.6,0.753,0.7,0.9,0.764,0.5405405,0.28169015,0.2570694,0.5263158,0.5319149,0.35640037,2.1,1.5,1,0.5095
6,INDONESIA - LIGA 1,09/08/2023,09:00,RANS Nusantara,Madura United,2.71,3.45,2.34,1.77,2.03,1.59,2.29,0.6,0.9165151,0.96,1.3,1.1874342,0.751,0.36900368,0.28985506,0.42735043,0.56497175,0.49261084,0.15562189,-0.7,2.104,1,0.5035
7,NORWAY - OBOS-LIGAEN,09/08/2023,13:00,Moss,KFUM Oslo,2.88,3.5,2.45,1.75,2.05,1.57,2.25,1.8571428,1.3552618,0.85,1.1,1.3,0.649,0.3472222,0.2857143,0.40816328,0.5714286,0.4878049,0.14404891,0.757,2.655,1,0.8367
8,NORWAY - OBOS-LIGAEN,09/08/2023,13:00,Sogndal,Kristiansund,2.15,3.75,3.1,1.53,2.4,1.44,2.63,1.9,1.3747727,0.685,0.8,0.8717798,0.821,0.4651163,0.26666668,0.32258064,0.6535948,0.41666666,0.2377256,1.1,2.247,1,0.8956
9,NORWAY - OBOS-LIGAEN,09/08/2023,13:00,Asane,Mjondalen,2.2,3.5,3.2,1.57,2.35,1.5,2.5,0.6,0.9165151,0.633,1.5,1.5,0.727,0.45454547,0.2857143,0.3125,0.6369427,0.42553192,0.21111882,-0.9,2.417,1,0.8099
10,NORWAY - OBOS-LIGAEN,09/08/2023,13:00,Ranheim,Kongsvinger,3.5,3.6,2.05,1.57,2.35,1.5,2.5,1.6,1.4282857,0.589,1.8,1.4696939,0.782,0.2857143,0.2777778,0.4878049,0.6369427,0.42553192,0.27734625,-0.2,2.898,1,0.7635
11,AUSTRIA - BUNDESLIGA,09/08/2023,15:30,A. Klagenfurt,Wolfsberger AC,2.55,3.4,2.63,1.75,2.05,1.62,2.2,0.8,1.1661904,0.883,1.6,1.4282857,0.66,0.39215687,0.29411766,0.38022813,0.5714286,0.4878049,0.12286001,-0.8,2.594,1,0.5543
12,ICELAND - BESTA DEILD KARLA,09/08/2023,16:15,Kopavogur,Keflavik,1.96,3.9,3.48,1.51,2.35,1.5,2.51,1.4,1.356466,1.5,1.1,1.3,1.139,0.5102041,0.25641027,0.28735632,0.66225165,0.42553192,0.32179347,0.3,2.656,1,0.7827
