,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Ptos_H,DesvPad_Ptos_H,CV_VG_H,Media_Ptos_A,DesvPad_Ptos_A,CV_VG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA,coeficiente_pontos,cv_pontos,prediction_label,prediction_score
1,AUSTRALIA - A-LEAGUE,25/11/2023,00:30,Wellington Phoenix,Melbourne City,3.5,4.0,1.95,1.65,2.2,1.62,2.2,1.8,1.2489996,0.356,1.4,1.1135529,0.593,0.2857143,0.25,0.51282054,0.6060606,0.45454547,0.33301803,0.4,2.363,1,0.5051
2,SOUTH KOREA - K LEAGUE 1,25/11/2023,02:00,Jeju Utd,Daejeon,2.05,3.75,3.25,1.65,2.2,1.57,2.25,1.1,1.0440307,0.944,0.5,0.5,1.626,0.4878049,0.26666668,0.30769232,0.6060606,0.45454547,0.2712782,0.6,1.544,1,0.5022
3,SOUTH KOREA - K LEAGUE 1,25/11/2023,02:00,Jeonbuk,Gwangju FC,2.1,3.4,3.4,2.1,1.7,1.83,1.83,2.0,1.264911,0.633,2.2,0.9797959,0.752,0.47619048,0.29411766,0.29411766,0.47619048,0.5882353,0.24190494,-0.2,2.245,1,0.5083
4,SOUTH KOREA - K LEAGUE 1,25/11/2023,04:30,Pohang,Daegu,1.91,3.5,4.0,2.1,1.7,1.91,1.8,2.6,0.8,0.475,1.0,1.0954452,0.966,0.5235602,0.2857143,0.25,0.47619048,0.5882353,0.34387174,1.6,1.895,1,0.5088
5,SOUTH KOREA - K LEAGUE 1,25/11/2023,04:30,Gangwon,Suwon FC,2.05,3.6,3.25,1.7,2.1,1.57,2.25,0.8,0.8717798,0.451,1.0,1.3416408,1.067,0.4878049,0.2777778,0.30769232,0.5882353,0.47619048,0.25929296,-0.2,2.213,1,0.5021
6,ROMANIA - LIGA 2,25/11/2023,06:00,Csikszereda M. Ciuc,CSM Slatina,1.91,3.2,4.1,2.42,1.5,2.18,1.62,2.0,1.264911,0.724,1.2,1.2489996,1.102,0.5235602,0.3125,0.24390244,0.41322315,0.6666667,0.3305819,0.8,2.514,1,0.7208
7,ROMANIA - LIGA 2,25/11/2023,06:00,Mioveni,Metaloglobus Bucharest,1.87,3.35,4.1,2.15,1.65,1.95,1.75,0.9,1.1357816,1.273,1.5,1.2845232,0.777,0.53475934,0.29850745,0.24390244,0.4651163,0.6060606,0.351546,-0.6,2.42,1,0.7506
8,ROMANIA - LIGA 2,25/11/2023,06:00,Progresul Spartac,Steaua Bucuresti,10.0,5.0,1.28,1.65,2.15,2.1,1.65,0.6,1.2,0.735,0.7,0.9,1.151,0.1,0.2,0.78125,0.6060606,0.4651163,0.8333729,-0.1,2.1,1,0.9208
9,AZERBAIJAN - PREMIER LEAGUE,25/11/2023,07:00,Sabail,Kapaz,2.32,3.3,2.82,2.05,1.62,1.83,1.78,1.4,1.356466,0.76,0.5,0.5,0.793,0.43103448,0.3030303,0.35460994,0.4878049,0.61728394,0.14490438,0.9,1.856,1,0.5083
10,RUSSIA - PREMIER LEAGUE,25/11/2023,07:00,Krylya Sovetov,Lokomotiv Moscow,2.55,3.73,2.82,1.8,2.18,1.59,2.29,2.4,0.9165151,0.615,1.9,1.1357816,0.572,0.39215687,0.2680965,0.35460994,0.5555556,0.4587156,0.15355512,0.5,2.052,1,0.5055
11,BULGARIA - PARVA LIGA,25/11/2023,07:30,Botev Vratsa,Lok. Plovdiv,3.6,3.6,1.95,2.03,1.83,1.8,1.91,1.0,1.3416408,0.888,1.6,1.2,0.933,0.2777778,0.2777778,0.51282054,0.49261084,0.5464481,0.31112698,-0.6,2.542,1,0.9232
12,PORTUGAL - LIGA PORTUGAL 2,25/11/2023,08:00,FC Porto B,Academico Viseu,2.15,3.6,3.1,1.85,2.0,1.67,2.1,1.9,1.1357816,0.663,1.0,1.0954452,0.836,0.4651163,0.2777778,0.32258064,0.5405405,0.5,0.22489834,0.9,2.231,1,0.7784
13,IRAQ - SUPER LEAGUE,25/11/2023,08:30,Al Naft,Al Karkh,2.25,2.95,3.05,2.12,1.57,1.9,1.86,1.5,1.2845232,0.9,0.9,1.1357816,0.984,0.44444445,0.33898306,0.32786885,0.4716981,0.6369427,0.14180991,0.6,2.42,1,0.5027
14,BELARUS - VYSSHAYA LIGA,25/11/2023,08:45,Slutsk,Shakhtyor Soligorsk,3.03,3.05,2.44,1.92,1.85,1.69,2.11,1.6,1.2,0.656,1.0,1.0954452,1.006,0.330033,0.32786885,0.40983605,0.5208333,0.5405405,0.10716072,0.6,2.295,1,0.8738
15,SLOVENIA - PRVA LIGA,25/11/2023,09:00,Rogaska,Domzale,2.75,3.45,2.35,1.8,1.95,1.65,2.12,0.8333333,1.0671874,1.189,0.8,1.1661904,0.8,0.36363637,0.28985506,0.42553192,0.5555556,0.51282054,0.15419677,0.033,2.233,1,0.9243
16,AZERBAIJAN - PREMIER LEAGUE,25/11/2023,09:00,Gabala,Turan,2.12,3.1,3.4,1.91,1.78,1.65,1.98,1.3,1.4177446,0.657,1.6,1.4282857,0.887,0.4716981,0.32258064,0.29411766,0.5235602,0.56179774,0.21465133,-0.3,2.846,1,0.501
17,MALTA - PREMIER LEAGUE,25/11/2023,09:00,Sirens,Hibernians,5.4,3.75,1.57,2.0,1.65,2.05,1.6,1.2,1.2489996,0.935,1.8,1.4696939,1.272,0.18518518,0.26666668,0.6369427,0.5,0.6060606,0.5416722,-0.6,2.719,1,0.5152
18,INDIA - ISL,25/11/2023,09:00,Chennaiyin,East Bengal,2.55,3.6,2.55,1.65,2.2,1.53,2.38,1.5,1.2845232,0.611,1.2,1.4696939,0.859,0.39215687,0.2777778,0.39215687,0.6060606,0.45454547,0.15229993,0.3,2.754,1,0.5129
19,NORTH MACEDONIA - 1. MFL,25/11/2023,09:00,Bregalnica Stip,Shkendija,4.75,3.0,1.82,2.72,1.35,2.45,1.42,1.7,1.3453624,0.745,2.2,1.2489996,0.312,0.21052632,0.33333334,0.5494506,0.36764705,0.7407407,0.38443515,-0.5,2.594,1,0.8808
20,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,25/11/2023,09:00,Igman K.,Borac Banja Luka,5.6,3.95,1.52,1.88,1.78,1.98,1.65,1.6,1.4282857,0.677,1.3,1.4177446,0.862,0.17857143,0.25316456,0.65789473,0.5319149,0.56179774,0.57979333,0.3,2.846,1,0.5478
21,MALTA - PREMIER LEAGUE,25/11/2023,10:00,Sliema,Floriana,4.7,3.5,1.7,2.0,1.65,1.98,1.65,1.4,1.356466,0.836,1.9,1.3747727,0.953,0.21276596,0.2857143,0.5882353,0.5,0.6060606,0.44875175,-0.5,2.731,1,0.5147
22,SERBIA - SUPER LIGA,25/11/2023,10:00,Radnik,Mladost,2.22,3.05,3.35,2.25,1.6,1.91,1.8,1.5,1.2845232,1.167,1.6,1.4282857,0.802,0.45045045,0.32786885,0.29850745,0.44444445,0.625,0.1833358,-0.1,2.713,1,0.5466
23,NETHERLANDS - TWEEDE DIVISIE,25/11/2023,10:30,GVVV,Kozakken Boys,1.7,3.65,4.45,1.53,2.18,1.52,2.22,2.2,1.2489996,0.459,0.3,0.45825756,1.037,0.5882353,0.2739726,0.2247191,0.6535948,0.4587156,0.44441205,1.9,1.707,1,0.6562
24,CROATIA - HNL,25/11/2023,11:00,Varazdin,Rijeka,4.5,3.75,1.7,1.88,1.98,1.8,1.91,1.6,1.2,0.873,1.1,1.3,1.092,0.22222222,0.26666668,0.5882353,0.5319149,0.5050505,0.45420137,0.5,2.5,1,0.9336
25,NETHERLANDS - TWEEDE DIVISIE,25/11/2023,11:00,ADO 20 Heemskerk,Noordwijk,2.42,3.5,2.57,1.62,2.05,1.52,2.22,2.0,1.264911,0.657,1.3,1.1874342,0.422,0.41322315,0.2857143,0.38910505,0.61728394,0.4878049,0.15249515,0.7,2.452,1,0.7493
