,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SOUTH KOREA - K LEAGUE 1,01/09/2023,07:30,Daegu,Gangwon,1.95,3.2,3.6
2,ALBANIA - SUPERLIGA,01/09/2023,14:00,Skenderbeu,Dinamo Tirana,2.15,2.95,3.25
3,PORTUGAL - LIGA PORTUGAL 2,01/09/2023,14:00,Tondela,Os Belenenses,2.05,3.3,3.4
4,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,01/09/2023,14:00,Borac Banja Luka,Zvijezda 09,1.13,7.4,14.5
5,QATAR - QSL,01/09/2023,14:15,Muaither SC,Al Markhiya,2.27,3.55,2.8
6,SWITZERLAND - CHALLENGE LEAGUE,01/09/2023,14:30,Xamax,Bellinzona,1.72,4.0,4.05
7,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,01/09/2023,15:00,Al Riyadh,Al Akhdoud,2.2,3.4,2.88
8,NETHERLANDS - EREDIVISIE,01/09/2023,15:00,Sparta Rotterdam,Nijmegen,1.91,3.8,3.75
9,PARAGUAY - PRIMERA DIVISION,01/09/2023,20:00,Guairena,General Caballero JLM,2.38,3.1,2.88
