,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,FIJI - PREMIER LEAGUE,24/09/2023,00:00,Rewa,Tavua,1.25,5.1,8.75
2,HONG KONG - PREMIER LEAGUE,24/09/2023,04:00,Kitchee,Hong Kong Rangers,1.32,5.2,7.2
3,SOUTH KOREA - K LEAGUE 2,24/09/2023,04:00,Seoul E-Land,Ansan Greeners,1.85,3.6,4.0
4,PORTUGAL - TAÇA DE PORTUGAL,24/09/2023,07:00,Vilar de Perdizes,Vasco da Gama,1.9,3.0,4.0
5,NETHERLANDS - EREDIVISIE,24/09/2023,07:15,Sparta Rotterdam,Vitesse,2.0,3.6,3.6
6,CHINA - SUPER LEAGUE,24/09/2023,08:35,Qingdao Hainiu,Nantong Zhiyun,1.95,3.75,3.6
7,NORTH MACEDONIA - 1. MFL,24/09/2023,10:00,Vardar,KF Gostivar,2.35,3.05,2.95
8,BELARUS - VYSSHAYA LIGA,24/09/2023,10:00,Naftan,Smorgon,2.33,3.4,2.91
9,RUSSIA - PREMIER LEAGUE,24/09/2023,10:30,Zenit,Lokomotiv Moscow,1.49,4.95,7.03
10,PORTUGAL - TAÇA DE PORTUGAL,24/09/2023,11:00,Paredes,Florgrade,1.73,3.25,4.33
11,PORTUGAL - TAÇA DE PORTUGAL,24/09/2023,11:00,Sanjoanense,Vitoria Setubal,1.91,3.25,3.5
12,PORTUGAL - TAÇA DE PORTUGAL,24/09/2023,11:00,Atletico CP,Alverca,2.25,3.0,3.0
13,PORTUGAL - TAÇA DE PORTUGAL,24/09/2023,11:00,Juv. Evora,Sintrense,2.0,3.25,3.25
14,BELGIUM - CHALLENGER PRO LEAGUE,24/09/2023,11:00,Beveren,RFC Liege,1.67,4.0,3.8
15,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,24/09/2023,11:00,Zvijezda 09,Posusje,2.3,3.05,3.05
16,GHANA - PREMIER LEAGUE,24/09/2023,12:00,Bechem United,Dreams,1.65,3.25,5.1
17,BELGIUM - JUPILER PRO LEAGUE,24/09/2023,14:15,Gent,Eupen,1.25,5.75,11.0
18,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,24/09/2023,14:45,Zrinjski,Zeljeznicar,1.4,4.3,7.0
19,MOROCCO - BOTOLA PRO,24/09/2023,15:15,Raja Casablanca,Union Touarga,1.5,3.6,5.75
20,ITALY - SERIE C,24/09/2023,15:45,Atalanta U23,Pro Vercelli,2.45,3.15,2.85
21,PORTUGAL - TAÇA DE PORTUGAL,24/09/2023,16:00,Felgueiras,AD Limianos,1.5,3.4,6.5
22,ECUADOR - LIGA PRO,24/09/2023,18:30,Delfin,Guayaquil City,1.65,3.5,5.75
23,USA - MLS,24/09/2023,22:30,Austin FC,Los Angeles Galaxy,1.91,3.8,3.75
