,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Ptos_H,DesvPad_Ptos_H,CV_VG_H,Media_Ptos_A,DesvPad_Ptos_A,CV_VG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA,coeficiente_pontos,cv_pontos,prediction_label,prediction_score
1,ARGENTINA - PRIMERA NACIONAL,16/10/2023,15:30,Patronato,Agropecuario,5.0,3.5,1.75,2.25,1.62,2.0,1.73,2.1,1.3747727,0.573,0.5,0.92195445,0.873,0.2,0.2857143,0.5714286,0.44444445,0.61728394,0.4506306,1.6,2.297,1,0.8
2,ARGENTINA - PRIMERA NACIONAL,16/10/2023,15:30,Estudiantes Rio Cuarto,Nueva Chicago,1.95,3.25,4.33,2.7,1.44,2.38,1.53,2.3,1.1,0.574,1.0,1.0954452,1.058,0.51282054,0.30769232,0.23094688,0.37037036,0.6944444,0.3394896,1.3,2.195,1,0.8
3,ARGENTINA - PRIMERA NACIONAL,16/10/2023,15:30,Deportivo Moron,San Telmo,1.65,3.8,5.5,1.93,1.93,1.8,1.91,2.4,0.9165151,0.618,0.8,1.1661904,1.288,0.6060606,0.2631579,0.18181819,0.5181347,0.5181347,0.52474403,1.6,2.083,1,0.8
4,ARGENTINA - PRIMERA NACIONAL,16/10/2023,15:30,Def. de Belgrano,San Martin T.,2.55,3.1,3.0,2.6,1.48,2.2,1.62,1.9,1.3747727,0.904,1.2,1.2489996,1.494,0.39215687,0.32258064,0.33333334,0.3846154,0.6756757,0.08753459,0.7,2.624,1,0.6
5,ARGENTINA - PRIMERA NACIONAL,16/10/2023,15:30,Club A. Guemes,Almagro,1.95,3.25,4.33,2.7,1.44,2.25,1.57,1.6,1.2,1.155,0.2,0.4,2.003,0.51282054,0.30769232,0.23094688,0.37037036,0.6944444,0.3394896,1.4,1.6,1,0.8
6,ARGENTINA - PRIMERA NACIONAL,16/10/2023,15:30,Alvarado,Defensores Unidos,2.15,3.1,3.8,2.7,1.44,2.25,1.57,1.6,1.2,1.123,0.7,1.1874342,1.719,0.4651163,0.32258064,0.2631579,0.37037036,0.6944444,0.24193016,0.9,2.387,1,1.0
7,ARGENTINA - PRIMERA NACIONAL,16/10/2023,15:30,Almirante Brown,Temperley,1.73,3.4,5.5,2.4,1.53,2.25,1.57,2.0,1.264911,0.956,1.3,1.1874342,1.185,0.5780347,0.29411766,0.18181819,0.41666666,0.6535948,0.47459346,0.7,2.452,1,0.6
8,ARGENTINA - PRIMERA NACIONAL,16/10/2023,15:30,Gimnasia Mendoza,Guillermo Brown,1.5,3.6,10.0,2.25,1.62,2.5,1.5,2.5,1.024695,0.673,0.3,0.45825756,1.368,0.6666667,0.2777778,0.1,0.44444445,0.61728394,0.6796865,2.2,1.483,1,1.0
9,ARGENTINA - COPA DE LA LIGA PROFESIONAL,16/10/2023,16:00,Banfield,Atl. Tucuman,2.2,3.0,3.8,2.6,1.48,2.1,1.67,1.5,1.2845232,0.721,1.0,1.0954452,1.154,0.45454547,0.33333334,0.2631579,0.3846154,0.6756757,0.2256465,0.5,2.38,1,1.0
10,SPAIN - LALIGA2,16/10/2023,16:00,Levante,Ferrol,1.8,3.4,4.75,2.1,1.7,2.0,1.73,1.7,1.3453624,0.789,1.5,1.2845232,0.67,0.5555556,0.29411766,0.21052632,0.47619048,0.5882353,0.41585407,0.2,2.63,1,0.6
11,ARGENTINA - COPA DE LA LIGA PROFESIONAL,16/10/2023,18:00,Central Cordoba,Lanus,2.9,2.75,2.88,2.6,1.48,2.1,1.67,1.3,1.4177446,1.302,0.8,0.8717798,0.652,0.3448276,0.36363637,0.3472222,0.3846154,0.6756757,0.023755588,0.5,2.29,1,0.8
12,ARGENTINA - COPA DE LA LIGA PROFESIONAL,16/10/2023,20:00,Defensa y Justicia,Belgrano,2.25,3.1,3.5,2.4,1.53,2.0,1.73,2.0,1.0,0.304,0.4,0.48989794,3.0,0.44444445,0.32258064,0.2857143,0.41666666,0.6535948,0.1932887,1.6,1.49,1,0.8
13,COLOMBIA - PRIMERA A,16/10/2023,20:05,Huila,Envigado,1.85,3.3,4.75,2.3,1.6,2.1,1.67,1.2,1.2489996,1.221,0.3,0.45825756,1.244,0.5405405,0.3030303,0.21052632,0.4347826,0.625,0.3955861,0.9,1.707,1,0.6
14,COLOMBIA - PRIMERA A,16/10/2023,22:15,Bucaramanga,Chico,1.95,3.3,4.2,2.35,1.57,2.1,1.67,1.8,1.2489996,0.65,0.6,0.48989794,0.904,0.51282054,0.3030303,0.23809524,0.42553192,0.6369427,0.3337112,1.2,1.739,1,0.8
