Nº,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,28/09/2024,12:30,SLOVENIA - PRVA LIGA,Bravo,Celje,3.05,3.35,2.2,2.0,1.78,1.93
2,28/09/2024,17:00,PERU - LIGA 1,AD Tarma,Alianza Atl.,1.55,3.9,5.75,2.03,2.0,1.73
3,28/09/2024,20:45,VENEZUELA - LIGA FUTVE,Inter de Barinas,Caracas,4.2,3.2,1.85,2.12,1.93,1.7
