Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,09/08/2024,12:30,QATAR - QSL,Al Rayyan,Umm-Salal,1.34,5.0,7.5,1.47,1.75,1.95,1.03,1.28,1.15,3.5,1.26
2,09/08/2024,13:00,ITALY - COPPA ITALIA,Sassuolo,Cittadella,1.67,3.75,5.0,2.05,2.0,1.75,1.06,1.44,1.33,8.0,1.08
3,09/08/2024,13:00,AUSTRIA - 2. LIGA,Ried,Horn,1.2,6.2,11.75,1.4,1.93,1.78,1.02,1.23,1.12,3.05,1.33
4,09/08/2024,13:00,AZERBAIJAN - PREMIER LEAGUE,Qarabag,Kapaz,1.26,5.4,9.25,1.5,1.93,1.7,1.01,1.24,1.13,3.45,1.22
5,09/08/2024,14:00,SWEDEN - SUPERETTAN,Brage,Skovde AIK,1.33,5.0,9.0,1.7,2.05,1.7,1.03,1.33,1.22,5.0,1.17
6,09/08/2024,15:15,SWITZERLAND - CHALLENGE LEAGUE,Xamax,Bellinzona,1.62,3.95,4.8,1.7,1.72,2.02,1.04,1.34,1.22,4.4,1.17
7,09/08/2024,15:30,POLAND - DIVISION 1,Arka Gdynia,Pruszkow,1.53,3.7,5.25,1.9,1.91,1.8,1.06,1.36,1.29,6.5,1.11
8,09/08/2024,15:45,ITALY - COPPA ITALIA,Genoa,Reggiana,1.36,4.75,8.5,1.7,2.0,1.75,1.03,1.33,1.22,5.0,1.17
9,09/08/2024,16:00,ENGLAND - LEAGUE TWO,Chesterfield,Swindon,1.65,3.9,5.0,1.57,1.57,2.25,1.03,1.29,1.17,4.0,1.22
10,09/08/2024,16:15,ITALY - COPPA ITALIA,Monza,Sudtirol,1.44,4.1,8.0,1.75,1.91,1.91,1.04,1.33,1.22,5.5,1.14
11,09/08/2024,17:00,PERU - LIGA 1,Cajamarca,Union Comercio,1.6,3.5,5.25,1.95,1.83,1.83,1.05,1.4,1.29,6.5,1.11
12,09/08/2024,19:00,BOLIVIA - DIVISION PROFESIONAL,Nacional Potosi,SA Bulo Bulo,1.4,4.75,7.0,1.6,1.83,1.83,1.03,1.29,1.18,4.33,1.2
13,09/08/2024,21:00,BRAZIL - SERIE B,Mirassol,Brusque,1.5,4.1,6.5,2.35,2.5,1.5,1.08,1.5,1.44,10.0,1.06
14,09/08/2024,21:00,ARGENTINA - LIGA PROFESIONAL,Racing Club,Gimnasia L.P.,1.65,3.6,5.75,2.05,2.0,1.75,1.07,1.4,1.3,7.0,1.1
15,09/08/2024,21:30,BRAZIL - SERIE B,America MG,Botafogo SP,1.45,4.0,8.0,2.15,2.38,1.53,1.08,1.44,1.36,9.0,1.07
16,09/08/2024,23:00,COSTA RICA - PRIMERA DIVISION,Liberia,AD Santos,1.48,3.9,5.75,1.57,1.67,2.1,1.03,1.29,1.17,4.0,1.22
