,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,MEXICO - LIGA DE EXPANSION MX,2024-03-28,00:05,Correcaminos,Cimarrones de Sonora,2.18,3.25,3.2,2.07,1.83,1.87
2,INDIA - I-LEAGUE,2024-03-28,07:00,Delhi FC,Lajong,2.47,3.35,2.57,1.55,1.45,2.37
3,ROMANIA - LIGA 2,2024-03-28,14:00,Hunedoara,Gloria Buzau,2.55,3.0,2.85,2.35,1.98,1.75
4,IRAQ - SUPER LEAGUE,2024-03-28,15:30,Erbil,Al Karkh,2.27,2.65,3.93,2.45,1.95,1.75
5,ITALY - SERIE C,2024-03-28,16:30,Carrarese,Perugia,1.95,3.2,3.9,2.15,1.93,1.78
6,ITALY - SERIE C,2024-03-28,16:45,Catania,Giugliano,1.62,3.6,5.5,2.02,1.98,1.75
7,ARGENTINA - COPA DE LA LIGA PROFESIONAL,2024-03-28,20:00,Rosario Central,Barracas Central,2.2,3.2,3.5,2.6,2.2,1.62
8,VENEZUELA - LIGA FUTVE,2024-03-28,20:30,Dep. Tachira,Metropolitanos,1.91,3.15,3.95,2.27,2.05,1.6
9,BOLIVIA - DIVISION PROFESIONAL,2024-03-28,21:00,Blooming,Aurora,2.2,3.3,2.8,1.9,1.65,1.98
10,ARGENTINA - COPA DE LA LIGA PROFESIONAL,2024-03-28,21:00,Instituto,Argentinos Jrs,2.3,3.1,3.3,2.7,2.25,1.57
11,MEXICO - LIGA DE EXPANSION MX,2024-03-28,22:05,Atl. Morelia,Venados,2.5,3.25,2.7,1.95,1.72,2.0
