League,Date,Time,Home,Away,Odd_H,Odd_A,Odd_D,Odd_Under05_HT,Odd_Over05_HT,Odd_Under15_HT,Odd_Over15_HT,Odd_Under25_HT,Odd_Over25_HT,Odd_Under05,Odd_Over05,Odd_Under15,Odd_Over15,Odd_Under25,Odd_Over25,Odd_Under45,Odd_Over45,Odd_BTTS_Yes,Odd_BTTS_No,Odd_CS_0x0,Odd_CS_0x1,Odd_CS_0x2,Odd_CS_0x3,Odd_CS_1x0,Odd_CS_1x1,Odd_CS_1x2,Odd_CS_1x3,Odd_CS_2x0,Odd_CS_2x1,Odd_CS_2x2,Odd_CS_2x3,Odd_CS_3x0,Odd_CS_3x1,Odd_CS_3x2,Odd_CS_3x3,Odd_CS_Goleada_H,Odd_CS_Goleada_A,Odd_CS_Goleada_D,p_H,p_D,p_A,p_Over,p_Under,p_BTTS_Y,p_BTTS_N,p_H__p_D,p_H__p_A,p_D__p_H,p_D__p_A,p_A__p_H,p_A__p_D,p_D__p_Over,p_D__p_Under,CV_HDA,CV_HD,CV_HA,CV_DA,CV_DO,H_A,A_D,H_D,H_O,A_O,O_D,O_S,Odd_Sum,HO_D,AO_D,ADJ_H,ADJ_A,CV_MO,DP_MO,CV_MO_OV,Euc_Dist_MO,Angle_MO,Euc_Dist_OV,Angle_OV,Distancia_E_Geral,DE,DE_Casa,prediction_label,prediction_score
Turkish 1 Lig,2024-02-19,08:00:00,Genclerbirligi,Bandirmaspor,2.88,2.72,3.25,2.86,1.45,1.4,3.0,1.09,8.6,3.3,1.08,3.3,1.35,1.78,2.12,1.09,6.6,1.76,1.99,10.0,9.0,4.2,4.5,9.6,6.4,10.0,4.5,4.3,11.0,4.3,4.5,4.5,4.4,4.6,4.8,4.3,4.5,4.9,0.3472222,0.30769232,0.36764705,0.4716981,0.56179774,0.5681818,0.5025126,1.1284722,0.9444444,0.8861538,0.83692306,1.0588236,1.194853,0.6523077,0.5476923,0.07301432,0.06035889,0.028571429,0.08877722,0.21042831,1.0588236,0.83692306,0.8861538,1.3584906,1.2830188,0.6523077,1.2045455,8.85,-0.04180791,-0.059887007,0.32542372,0.30734465,0.09215103,0.27184555,0.17160584,0.6658829,10.481218,0.4808326,9.648046,0.6658829,0.53,0.37,1,1.0
Egyptian Premier,2024-02-19,11:00:00,Future FC,Al Mokawloon,2.22,4.4,2.86,2.2,1.68,1.24,4.2,1.05,15.0,5.9,1.14,2.32,1.67,1.41,2.94,1.05,10.0,2.3,1.59,5.6,8.8,6.2,1.64,5.4,5.9,17.0,2.2,10.0,10.0,6.2,3.15,6.6,6.4,2.2,2.24,1.58,1.55,1.46,0.45045045,0.34965035,0.22727273,0.34013605,0.7092199,0.4347826,0.6289308,1.2882882,1.981982,0.7762238,1.5384616,0.50454545,0.65,1.027972,0.493007,0.26646712,0.12598425,0.32930514,0.21212122,0.013793103,0.50454545,1.5384616,0.7762238,0.75510204,1.4965986,1.027972,1.2782608,9.48,-0.067510545,0.16244726,0.23417722,0.46413502,0.35459986,1.1205356,0.29678017,2.7447405,17.74467,2.1637468,37.41599,2.7447405,1.54,0.64,1,1.0
Greek Super League,2024-02-19,12:30:00,OFI,Panserraikos,2.22,3.6,3.35,2.98,1.42,1.38,3.1,1.09,8.0,10.0,1.07,3.5,1.37,1.8,2.12,1.1,8.0,1.78,2.02,10.5,10.0,22.0,15.5,8.4,7.0,14.0,12.5,12.0,10.0,17.5,15.0,16.0,22.0,25.0,18.0,17.0,14.5,8.2,0.45045045,0.29850745,0.2777778,0.4716981,0.5555556,0.56179774,0.4950495,1.509009,1.6216216,0.6626866,1.0746269,0.6166667,0.9305556,0.6328358,0.53731346,0.22492424,0.20287253,0.2371134,0.035971224,0.22486289,0.6166667,1.0746269,0.6626866,1.0471698,1.6981132,0.6328358,1.1910112,9.17,-0.12322792,0.027262814,0.24209379,0.3925845,0.24054888,0.7352777,0.26976746,1.8010552,29.466448,0.45254833,9.090277,1.8010552,0.25,1.13,1,1.0
Greek Super League,2024-02-19,13:00:00,Asteras Tripolis,Panaitolikos,2.1,4.0,3.35,2.74,1.42,1.37,2.96,1.09,8.8,9.4,1.09,3.3,1.36,1.74,2.16,1.08,7.8,1.93,1.96,9.6,11.0,6.8,8.0,7.0,6.8,14.0,7.6,10.0,9.2,16.5,8.0,6.6,6.6,7.4,8.2,6.0,7.8,8.8,0.47619048,0.29850745,0.25,0.46296296,0.57471263,0.5181347,0.5102041,1.5952381,1.9047619,0.6268657,1.1940298,0.525,0.8375,0.6447761,0.519403,0.28466502,0.2293578,0.3114754,0.088435374,0.21597096,0.525,1.1940298,0.6268657,0.9722222,1.8518518,0.6447761,1.119171,9.45,-0.13227513,0.06878307,0.22222222,0.42328042,0.30655885,0.9656604,0.32074514,2.3653753,32.005383,0.5939697,11.859779,2.3653753,0.65,1.25,1,1.0
Turkish Super League,2024-02-19,14:00:00,Basaksehir,Kayserispor,1.78,5.2,3.95,2.84,1.32,1.5,2.74,1.11,6.2,14.0,1.06,4.4,1.27,2.12,1.85,1.16,5.9,1.81,2.16,14.5,18.5,36.0,17.0,9.0,8.6,18.5,32.0,10.0,9.2,17.0,15.5,16.5,15.5,28.0,26.0,9.4,15.5,19.5,0.56179774,0.25316456,0.1923077,0.5405405,0.4716981,0.5524862,0.46296296,2.2191012,2.9213483,0.4506329,1.3164557,0.3423077,0.75961536,0.46835443,0.53670883,0.48176134,0.37870854,0.48997134,0.13661203,0.36206895,0.3423077,1.3164557,0.4506329,0.96216214,2.8108108,0.46835443,1.0220995,10.93,-0.19853614,0.11436413,0.16285452,0.4757548,0.47497737,1.7305009,0.52377135,4.2388444,47.334507,0.38183767,-7.688448,4.2388444,1.25,2.17,1,1.0
French National,2024-02-19,14:30:00,Rouen,Red Star,2.9,2.56,3.25,2.8,1.43,1.37,3.1,1.09,8.6,3.2,1.05,3.2,1.35,1.78,2.04,1.09,3.55,1.76,2.08,4.6,4.4,5.0,5.9,9.6,6.8,4.6,5.7,5.2,4.7,5.2,6.0,6.0,5.8,6.0,6.4,5.8,5.5,6.8,0.3448276,0.30769232,0.390625,0.49019608,0.56179774,0.5681818,0.48076922,1.1206896,0.8827586,0.8923077,0.7876923,1.1328125,1.2695312,0.6276923,0.5476923,0.09754723,0.05691057,0.062271062,0.11876076,0.22873347,1.1328125,0.7876923,0.8923077,1.4215686,1.254902,0.6276923,1.1590909,8.71,-0.040183697,-0.07921929,0.33295062,0.29391503,0.118833095,0.34501207,0.19179642,0.84510356,9.926246,0.36769554,7.4069123,0.84510356,0.69,0.35,1,1.0
Portuguese Segunda Liga,2024-02-19,15:00:00,Vilaverdense,AVS Futebol SAD,5.3,1.77,3.8,2.96,1.43,1.42,3.05,1.11,8.2,10.5,1.07,3.6,1.34,1.96,1.97,1.11,7.6,1.93,2.0,12.0,7.8,9.6,17.0,15.5,8.2,9.4,17.0,34.0,18.5,13.0,32.0,17.0,15.5,15.5,17.0,16.0,10.5,7.8,0.18867925,0.2631579,0.56497175,0.5076142,0.5102041,0.5181347,0.5,0.7169811,0.33396226,1.3947369,0.46578947,2.9943502,2.1468925,0.51842105,0.51578945,0.48002428,0.16483517,0.4992928,0.36445242,0.31715772,2.9943502,0.46578947,1.3947369,2.6903553,0.89847714,0.51842105,1.0207254,10.87,0.13799448,-0.18675253,0.4875805,0.16283348,0.48894724,1.7716188,0.5190259,4.3395624,-36.869896,0.014142135,0.28647652,4.3395624,2.03,1.5,1,1.0
Dutch Eerste Divisie,2024-02-19,16:00:00,NAC Breda,Cambuur Leeuwarden,2.08,3.15,3.7,3.25,1.26,1.66,2.32,1.14,5.0,15.0,1.04,2.44,1.14,2.44,1.53,1.23,3.9,1.54,2.58,18.5,15.0,4.4,4.5,11.5,8.2,12.0,4.5,13.0,9.2,13.0,4.5,4.4,16.0,22.0,30.0,3.35,4.0,4.7,0.48076922,0.27027026,0.31746033,0.6535948,0.40983605,0.64935064,0.3875969,1.7788461,1.5144231,0.56216216,0.8513514,0.6603175,1.1746032,0.4135135,0.6594595,0.2532214,0.2802768,0.2045889,0.08029197,0.41491395,0.6603175,0.8513514,0.56216216,1.3594772,2.0588236,0.4135135,0.9935065,8.93,-0.18141097,-0.061590146,0.23292273,0.35274357,0.27674985,0.82379204,0.37772143,2.0178702,39.007473,1.2869344,-24.465534,2.0178702,0.55,1.62,1,1.0
Peruvian Primera Division,2024-02-19,17:00:00,Comerciantes Unidos,Atletico Grau,1.75,4.7,3.1,2.26,1.43,1.36,2.48,1.09,8.8,10.0,1.06,3.15,1.33,1.76,1.98,1.09,7.4,1.89,1.82,1.77,2.5,1.27,4.8,1.77,1.79,5.4,6.2,1.71,4.2,4.1,6.4,5.0,5.3,1.72,1.48,1.55,1.55,6.6,0.5714286,0.32258064,0.21276596,0.5050505,0.5681818,0.52910054,0.5494506,1.7714286,2.6857142,0.5645161,1.516129,0.3723404,0.65957445,0.63870966,0.56774193,0.40671054,0.2783505,0.45736435,0.20512821,0.22047244,0.3723404,1.516129,0.5645161,0.88383836,2.3737373,0.63870966,1.0476191,9.55,-0.14136125,0.16753927,0.18324608,0.4921466,0.46390507,1.4767644,0.4674936,3.6173193,34.01935,0.31112698,6.2772985,3.6173193,1.6,1.35,1,1.0
Spanish La Liga,2024-02-19,17:00:00,Athletic Bilbao,Girona,1.92,4.3,3.9,3.35,1.31,1.53,2.5,1.14,6.2,17.5,1.05,5.0,1.24,2.36,1.72,1.21,5.4,1.67,2.42,18.0,19.0,32.0,65.0,10.5,8.6,16.0,40.0,12.5,9.6,15.0,44.0,19.5,16.5,26.0,60.0,9.4,32.0,190.0,0.5208333,0.25641027,0.23255815,0.5813953,0.42372882,0.5988024,0.41322315,2.03125,2.2395833,0.4923077,1.1025641,0.44651163,0.90697676,0.44102564,0.6051282,0.3881029,0.34020618,0.38263667,0.048780486,0.38790035,0.44651163,1.1025641,0.4923077,1.1162791,2.5,0.44102564,1.0299401,10.12,-0.19565217,0.03952569,0.18972331,0.4249012,0.377791,1.2744149,0.4489728,3.1216662,44.712086,0.90509665,-17.74467,3.1216662,0.4,1.98,1,1.0
