,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_Over25,FT_Odd_BTTS_Yes
1,28/07/2023,12:45,AUSTRIA - 2. LIGA,Lafnitz,Kapfenberg,1.71,4.1,4.38,1.64,1.61,1.64,1.61
2,28/07/2023,12:45,AUSTRIA - 2. LIGA,Liefering,Dornbirn,1.68,4.3,4.38,1.43,1.49,1.43,1.49
