,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,AUSTRALIA - A-LEAGUE,2024-03-29,05:45,Adelaide United,Western United,1.85,4.5,3.4,1.36,1.4,2.75
2,INDONESIA - LIGA 1,2024-03-29,10:30,Barito Putera,PSIS Semarang,2.07,3.35,3.2,1.62,1.52,2.2
3,INDONESIA - LIGA 1,2024-03-29,10:30,Madura United,PSS Sleman,1.7,3.95,3.95,1.57,1.6,2.07
4,ALBANIA - SUPERLIGA,2024-03-29,11:00,Egnatia,Kukesi,1.87,3.3,3.65,1.91,1.81,1.95
5,SERBIA - PRVA LIGA,2024-03-29,11:00,Radnicki Beograd,Sloboda,2.22,2.9,3.15,2.54,2.12,1.69
6,PORTUGAL - LIGA PORTUGAL 2,2024-03-29,11:00,Pacos Ferreira,Oliveirense,1.55,4.0,6.0,1.98,2.0,1.73
7,SERBIA - PRVA LIGA,2024-03-29,11:00,Jedinstvo U.,Metalac,1.95,3.0,3.75,2.67,2.28,1.6
8,ENGLAND - LEAGUE ONE,2024-03-29,12:00,Lincoln,Leyton Orient,2.0,3.4,4.0,2.35,2.05,1.7
9,ENGLAND - LEAGUE ONE,2024-03-29,12:00,Reading,Northampton,1.67,4.0,5.0,1.88,1.91,1.91
10,ENGLAND - LEAGUE ONE,2024-03-29,12:00,Barnsley,Cambridge Utd,1.55,4.33,6.0,1.7,1.8,1.95
11,ENGLAND - CHAMPIONSHIP,2024-03-29,12:00,Southampton,Middlesbrough,1.57,4.5,5.25,1.48,1.57,2.25
12,ENGLAND - CHAMPIONSHIP,2024-03-29,12:00,Sheffield Wed,Swansea,2.38,3.5,2.9,1.83,1.62,2.2
13,ENGLAND - CHAMPIONSHIP,2024-03-29,12:00,QPR,Birmingham,2.0,3.6,3.6,2.05,1.83,1.83
14,ENGLAND - CHAMPIONSHIP,2024-03-29,12:00,Preston,Rotherham,1.53,4.2,6.0,2.05,2.1,1.67
15,ENGLAND - LEAGUE ONE,2024-03-29,12:00,Wigan,Burton,2.0,3.5,3.8,2.1,1.95,1.8
16,ENGLAND - LEAGUE ONE,2024-03-29,12:00,Fleetwood,Cheltenham,2.15,3.25,3.6,2.08,1.8,1.95
17,ENGLAND - CHAMPIONSHIP,2024-03-29,12:00,Hull,Stoke,1.95,3.75,3.75,1.98,1.8,1.91
18,ENGLAND - CHAMPIONSHIP,2024-03-29,12:00,Cardiff,Sunderland,2.55,3.1,2.9,2.2,1.83,1.83
19,ENGLAND - LEAGUE ONE,2024-03-29,12:00,Derby,Blackpool,1.85,3.6,4.0,2.08,1.95,1.8
20,PORTUGAL - LIGA PORTUGAL,2024-03-29,12:30,Gil Vicente,Famalicao,2.4,3.1,3.2,2.3,1.95,1.8
21,PORTUGAL - LIGA PORTUGAL 2,2024-03-29,12:30,Tondela,Vilaverdense,1.62,4.0,5.25,2.03,2.0,1.73
22,URUGUAY - PRIMERA DIVISION,2024-03-29,12:30,Cerro Largo,Racing Montevideo,2.38,3.0,3.0,2.3,1.91,1.8
23,RUSSIA - PREMIER LEAGUE,2024-03-29,13:30,Dynamo Moscow,FK Rostov,1.94,3.89,4.11,1.91,1.74,2.04
24,SERBIA - PRVA LIGA,2024-03-29,15:00,Dubocica,Macva,2.15,2.77,3.55,2.67,2.23,1.62
25,ARGENTINA - PRIMERA NACIONAL,2024-03-29,15:00,Guillermo Brown,Talleres (R.E),2.38,3.0,3.4,2.6,2.1,1.67
26,ALBANIA - SUPERLIGA,2024-03-29,15:00,KF Tirana,Teuta,1.87,3.35,3.65,1.91,1.81,1.95
27,ALBANIA - SUPERLIGA,2024-03-29,15:00,Vllaznia,Erzeni,1.57,3.5,5.2,1.93,2.01,1.76
28,AUSTRIA - BUNDESLIGA,2024-03-29,15:30,Austria Vienna,BW Linz,1.62,3.8,5.5,1.93,1.95,1.8
29,SWITZERLAND - CHALLENGE LEAGUE,2024-03-29,15:30,Xamax,Schaffhausen,1.75,3.7,4.15,1.8,1.75,1.98
30,URUGUAY - PRIMERA DIVISION,2024-03-29,16:00,Penarol,Nacional,2.05,3.1,3.4,2.1,1.83,1.83
31,SPAIN - LALIGA2,2024-03-29,16:30,Burgos CF,Espanyol,2.63,3.1,2.9,2.35,2.0,1.73
32,BELGIUM - JUPILER PRO LEAGUE,2024-03-29,16:45,Gent,St. Liege,1.62,4.2,5.0,1.65,1.67,2.1
33,VENEZUELA - LIGA FUTVE,2024-03-29,17:00,Zamora,Angostura,2.12,2.95,3.55,2.12,1.83,1.78
34,ARGENTINA - PRIMERA NACIONAL,2024-03-29,19:05,Agropecuario,Quilmes,2.38,3.2,3.2,2.7,2.25,1.57
35,ECUADOR - LIGA PRO,2024-03-29,21:00,Macara,Barcelona SC,2.25,3.3,2.75,1.9,1.73,2.0
36,COLOMBIA - PRIMERA A,2024-03-29,21:30,Junior,La Equidad,1.83,3.5,4.5,2.2,2.0,1.73
37,COSTA RICA - PRIMERA DIVISION,2024-03-29,22:00,Zeledon,AD Santos,1.73,3.6,4.0,1.9,1.83,1.83
