,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
1,SWEDEN - SUPERETTAN,02/09/2023,10:00,Gefle,Jonkoping,2.6,3.5,2.5,1.73,2.08,1.62,1.14,2.2,1.778,1.333,1.5,2.5,0.385,0.286,0.4,0.578,0.877,0.142,0.278,-1.167,1,0.5579
2,SWEDEN - SUPERETTAN,02/09/2023,10:00,Vasteras SK,Brage,1.55,4.0,5.25,1.65,2.2,1.75,1.18,2.0,1.7,0.2,0.6,1.8,0.645,0.25,0.19,0.606,0.847,0.558,1.1,-1.6,1,0.5115
3,SCOTLAND - PREMIERSHIP,02/09/2023,11:00,St Johnstone,Dundee FC,2.7,3.25,2.7,2.2,1.67,1.8,1.08,1.95,0.8,1.6,1.3,0.7,0.37,0.308,0.37,0.455,0.926,0.084,-0.5,0.9,1,0.7235
4,BELGIUM - JUPILER PRO LEAGUE,02/09/2023,11:00,Cercle Brugge KSV,Westerlo,1.55,4.2,5.5,1.57,2.35,1.67,1.2,2.1,1.6,1.0,1.0,1.4,0.645,0.238,0.182,0.637,0.833,0.581,0.6,-0.4,1,0.5646
5,SCOTLAND - LEAGUE TWO,02/09/2023,11:00,Stranraer,Peterhead,2.1,3.4,3.0,1.95,1.9,1.73,1.11,2.0,1.2,1.1,0.6,2.8,0.476,0.294,0.333,0.513,0.901,0.213,0.6,-1.7,1,0.7045
6,SCOTLAND - LEAGUE TWO,02/09/2023,11:00,Spartans,Stenhousemuir,1.83,3.5,3.75,1.75,2.05,1.67,1.14,2.1,1.0,0.667,1.0,1.2,0.546,0.286,0.267,0.571,0.877,0.347,0.0,-0.533,1,0.6675
7,SCOTLAND - LEAGUE TWO,02/09/2023,11:00,Dumbarton,East Fife,1.67,3.8,4.2,1.75,2.05,1.8,1.14,1.91,0.7,1.2,0.8,1.3,0.599,0.263,0.238,0.571,0.877,0.449,-0.1,-0.1,1,0.5461
8,SCOTLAND - PREMIERSHIP,02/09/2023,11:00,Livingston,St. Mirren,2.88,3.1,2.6,2.3,1.62,1.95,1.07,1.8,1.3,1.3,1.3,2.1,0.347,0.323,0.385,0.435,0.935,0.073,0.0,-0.8,1,0.5202
9,SPAIN - LALIGA2,02/09/2023,11:15,Gijon,Burgos CF,2.05,3.2,4.0,2.6,1.48,2.2,1.04,1.62,1.2,1.1,0.5,1.1,0.488,0.312,0.25,0.385,0.962,0.288,0.7,0.0,1,0.6053
10,AUSTRIA - BUNDESLIGA,02/09/2023,12:00,Wolfsberger AC,Hartberg,2.15,3.5,3.3,1.75,2.05,1.62,1.14,2.2,1.2,1.1,1.2,1.7,0.465,0.286,0.303,0.571,0.877,0.23,0.0,-0.6,1,0.7597
11,SWEDEN - ALLSVENSKAN,02/09/2023,12:30,Varnamo,Elfsborg,4.33,4.0,1.75,1.7,2.1,1.7,1.17,2.05,0.8,1.4,2.1,0.9,0.231,0.25,0.571,0.588,0.855,0.445,-1.3,0.5,1,0.5173
12,SWITZERLAND - SUPER LEAGUE,02/09/2023,13:00,Lausanne Ouchy,Grasshoppers,2.4,3.5,2.9,1.62,2.25,1.53,1.18,2.38,2.2,1.7,1.0,1.9,0.417,0.286,0.345,0.617,0.847,0.153,1.2,-0.2,1,0.6326
13,SWITZERLAND - SUPER LEAGUE,02/09/2023,13:00,St. Gallen,Lausanne,1.57,4.5,5.0,1.44,2.7,1.5,1.29,2.5,2.3,1.4,1.8,1.6,0.637,0.222,0.2,0.694,0.775,0.569,0.5,-0.2,1,0.9253
14,BELGIUM - JUPILER PRO LEAGUE,02/09/2023,13:15,KV Mechelen,Eupen,1.8,3.8,4.0,1.57,2.35,1.53,1.22,2.38,1.4,1.5,1.0,2.3,0.556,0.263,0.25,0.637,0.82,0.396,0.4,-0.8,1,0.6593
15,ARGENTINA - PRIMERA NACIONAL,02/09/2023,15:00,Defensores Unidos,Almagro,2.75,2.88,2.9,3.4,1.33,2.5,1.03,1.5,0.8,0.4,0.4,1.6,0.364,0.347,0.345,0.294,0.971,0.024,0.4,-1.2,1,0.7899
16,SWITZERLAND - SUPER LEAGUE,02/09/2023,15:30,Winterthur,Yverdon,1.73,3.8,4.75,1.62,2.25,1.62,1.18,2.2,0.7,1.5,1.4,1.7,0.578,0.263,0.211,0.617,0.847,0.462,-0.7,-0.2,1,0.5285
17,BELGIUM - JUPILER PRO LEAGUE,02/09/2023,15:45,St. Liege,RWDM,2.05,3.6,3.4,1.73,2.08,1.62,1.14,2.2,1.5,1.5,1.9,0.9,0.488,0.278,0.294,0.578,0.877,0.27,-0.4,0.6,1,0.5774
18,SPAIN - LALIGA2,02/09/2023,16:00,Villarreal B,FC Cartagena SAD,2.25,3.25,3.3,2.1,1.7,1.83,1.08,1.83,1.6,1.5,1.5,1.5,0.444,0.308,0.303,0.476,0.926,0.186,0.1,0.0,1,0.5613
19,SPAIN - PRIMERA RFEF,02/09/2023,16:30,Malaga,Atl. Madrid B,1.53,4.2,4.33,2.1,1.7,2.38,1.07,1.53,1.0,0.4,1.3,1.3,0.654,0.238,0.231,0.476,0.935,0.528,-0.3,-0.9,1,0.5281
