,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,HONG KONG - PREMIER LEAGUE,03/12/2023,04:00,North District,Kitchee,22.0,8.25,1.08
2,INDONESIA - LIGA 1,03/12/2023,05:00,PSIS Semarang,PSS Sleman,1.45,4.4,5.8
3,MALTA - PREMIER LEAGUE,03/12/2023,07:00,Naxxar,Gudja,1.93,3.2,3.9
4,MOLDOVA - SUPER LIGA,03/12/2023,08:00,Sparta Selemet,Petrocub,,,
5,NORTH MACEDONIA - 1. MFL,03/12/2023,09:00,Rabotnicki,Brera Strumica,2.0,3.3,3.5
6,VIETNAM - V.LEAGUE 1,03/12/2023,09:15,Hanoi FC,Binh Dinh,1.72,3.7,4.15
7,ANDORRA - PRIMERA DIVISIÓ,03/12/2023,09:30,Pas de la Casa,Ordino,4.0,3.6,1.72
8,MALTA - PREMIER LEAGUE,03/12/2023,10:00,Gzira,Marsaxlokk,2.35,3.3,2.77
9,ENGLAND - FA CUP,03/12/2023,10:30,Eastleigh,Reading,3.6,3.5,2.0
10,SAN MARINO - CAMPIONATO SAMMARINESE,03/12/2023,11:00,Fiorentino,La Fiorita,,,
11,REPUBLIC OF THE CONGO - LIGUE 1,03/12/2023,11:00,Leopard,JS Talangai,,,
12,REPUBLIC OF THE CONGO - LIGUE 1,03/12/2023,11:00,Inter Club,Vegas,,,
13,ENGLAND - PREMIER LEAGUE,03/12/2023,11:00,Bournemouth,Aston Villa,3.6,4.0,1.91
14,INDIA - ISL,03/12/2023,11:30,Goa,Kerala Blasters,1.8,3.6,4.33
15,ANDORRA - PRIMERA DIVISIÓ,03/12/2023,12:00,Esperanca,Penya,7.7,4.7,1.3
16,ALBANIA - SUPERLIGA,03/12/2023,12:00,Dinamo Tirana,Laci,2.52,3.15,2.52
17,MALTA - PREMIER LEAGUE,03/12/2023,12:15,Hibernians,Sliema,2.3,3.15,2.95
18,SENEGAL - LIGUE 1,03/12/2023,13:30,Guediawaye,Jamono Fatick,,,
19,SENEGAL - LIGUE 1,03/12/2023,13:30,Sonacos,Casa,2.15,2.6,3.8
20,SENEGAL - LIGUE 1,03/12/2023,13:30,Linguere,Ouakam,,,
21,SPAIN - PRIMERA RFEF,03/12/2023,14:00,Unionistas,Gimnastic,2.55,2.8,2.75
22,ECUADOR - LIGA PRO,03/12/2023,20:00,Delfin,Tecnico U.,2.15,3.4,3.0
