Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,FIJI - PREMIER LEAGUE,17/09/2023,00:00,Rewa,Tailevu Naitasiri,1.37,4.55,6.2
2,AUSTRIA - 2. LIGA,17/09/2023,05:30,Ried,Kapfenberg,1.5,4.15,5.7
3,SPAIN - PRIMERA RFEF,17/09/2023,07:00,Cornella,Tarazona,1.8,3.1,4.2
4,SWEDEN - SUPERETTAN,17/09/2023,08:00,GAIS,Helsingborg,1.45,4.5,6.0
5,THAILAND - THAI LEAGUE 1,17/09/2023,08:00,Chonburi,Lamphun Warrior,1.57,3.9,5.3
6,INDONESIA - LIGA 1,17/09/2023,09:00,Borneo,PSS Sleman,1.62,4.0,4.55
7,THAILAND - THAI LEAGUE 1,17/09/2023,09:00,Port MTI FC,Prachuap,1.62,4.0,4.6
8,GEORGIA - CRYSTALBET EROVNULI LIGA,17/09/2023,09:00,Samtredia,Shukura,1.75,3.5,4.0
9,NORTH MACEDONIA - 1. MFL,17/09/2023,10:00,Tikves,Vardar,1.8,3.4,4.2
10,NORTH MACEDONIA - 1. MFL,17/09/2023,10:00,Makedonija GP,KF Gostivar,2.0,3.15,3.7
11,ANDORRA - PRIMERA DIVISIÓ,17/09/2023,11:00,Atletic Escaldes,Pas de la Casa,1.34,4.7,6.5
12,ROMANIA - LIGA 1,17/09/2023,11:00,FC Hermannstadt,FC Voluntari,2.0,3.2,3.75
13,SPAIN - LALIGA2,17/09/2023,11:15,Eibar,Ferrol,1.75,3.3,5.5
14,SWEDEN - SUPERETTAN,17/09/2023,12:00,Orebro,Skovde AIK,1.55,4.2,5.5
15,GHANA - PREMIER LEAGUE,17/09/2023,12:00,Legon Cities,Karela,1.93,2.85,4.1
16,FINLAND - YKKONEN,17/09/2023,12:00,Jaro,KPV Kokkola,1.85,3.5,3.6
17,SWEDEN - ALLSVENSKAN,17/09/2023,12:30,Elfsborg,Kalmar,1.4,4.75,7.5
18,MALTA - PREMIER LEAGUE,17/09/2023,13:00,Birkirkara,Sliema,1.45,4.25,5.9
19,PORTUGAL - LIGA PORTUGAL,17/09/2023,14:00,Vitoria Guimaraes,Portimonense,1.57,3.8,6.0
20,ECUADOR - LIGA PRO,17/09/2023,14:30,Aucas,Tecnico U.,1.91,3.4,3.75
21,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,17/09/2023,14:45,Siroki Brijeg,Zvijezda 09,1.47,4.2,5.9
22,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,17/09/2023,14:45,Borac Banja Luka,Posusje,1.4,4.35,6.8
23,GHANA - PREMIER LEAGUE,17/09/2023,15:00,Asante Kotoko,Heart of Lions,1.45,3.4,7.8
24,ARGENTINA - PRIMERA NACIONAL,17/09/2023,15:00,Brown Adrogue,Chaco For Ever,1.8,3.5,4.75
25,ITALY - SERIE C,17/09/2023,15:45,Catania,Picerno,1.72,3.4,4.9
26,BRAZIL - SERIE B,17/09/2023,15:45,Guarani,Tombense,1.7,3.3,5.3
27,ARGENTINA - COPA DE LA LIGA PROFESIONAL,17/09/2023,17:00,Godoy Cruz,Belgrano,2.1,3.0,4.0
28,ARGENTINA - PRIMERA NACIONAL,17/09/2023,17:15,Deportivo Moron,All Boys,1.73,3.2,6.0
29,MOROCCO - BOTOLA PRO,17/09/2023,17:30,IR Tanger,Mouloudia Oujda,1.73,3.1,4.5
30,BRAZIL - SERIE B,17/09/2023,18:00,Vitoria,Avai,1.72,3.25,5.3
31,COLOMBIA - PRIMERA A,17/09/2023,18:00,Santa Fe,Petrolera,1.62,3.6,5.25
32,ARGENTINA - PRIMERA NACIONAL,17/09/2023,18:00,Racing Cordoba,Aldosivi,1.91,3.5,4.0
33,PERU - LIGA 1,17/09/2023,20:30,Alianza Lima,Union Comercio,1.22,6.0,11.0
34,URUGUAY - PRIMERA DIVISION,17/09/2023,20:30,Defensor Sp.,Montevideo City,1.7,3.6,4.5
