,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Ptos_H,DesvPad_Ptos_H,CV_VG_H,Media_Ptos_A,DesvPad_Ptos_A,CV_VG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA,coeficiente_pontos,cv_pontos,prediction_label,prediction_score
1,ROMANIA - LIGA 1,22/04/2024,13:00,Petrolul,UTA Arad,2.1,3.1,3.4,2.25,1.62,1.91,1.8,1.5,1.2845232,0.743,1.2,1.2489996,1.189,0.47619048,0.32258064,0.29411766,0.44444445,0.61728394,0.21951881,0.3,2.534,1,0.8227
2,PORTUGAL - LIGA PORTUGAL 2,22/04/2024,14:00,Nacional,Benfica B,1.75,3.75,4.2,1.75,2.05,1.73,2.0,2.4,0.9165151,0.535,1.4,1.356466,0.74,0.5714286,0.26666668,0.23809524,0.5714286,0.4878049,0.42051697,1.0,2.273,1,0.9115
3,POLAND - EKSTRAKLASA,22/04/2024,14:00,Warta Poznan,Stal Mielec,2.1,3.1,3.8,2.6,1.48,2.2,1.62,0.7,0.9,1.497,1.1,1.3,1.109,0.47619048,0.32258064,0.2631579,0.3846154,0.6756757,0.25357312,-0.4,2.2,1,0.9336
4,SWEDEN - ALLSVENSKAN,22/04/2024,14:00,Elfsborg,Kalmar,1.6,4.2,5.5,1.73,2.08,1.8,1.95,2.1,1.1357816,0.729,1.1,1.3,1.135,0.625,0.23809524,0.18181819,0.5780347,0.48076922,0.56559026,1.0,2.436,1,0.9136
5,NETHERLANDS - EERSTE DIVISIE,22/04/2024,15:00,Jong PSV,Jong Utrecht,1.75,4.2,4.2,1.53,2.4,1.53,2.38,0.9,1.1357816,0.684,0.5,0.92195445,1.277,0.5714286,0.23809524,0.23809524,0.6535948,0.41666666,0.44997704,0.4,2.058,1,0.6583
6,ARGENTINA - PRIMERA NACIONAL,22/04/2024,15:00,Almirante Brown,Brown Adrogue,2.15,2.8,4.2,2.88,1.4,2.25,1.57,1.2,1.2489996,1.142,0.9,1.1357816,2.39,0.4651163,0.35714287,0.23809524,0.3472222,0.71428573,0.26232088,0.3,2.385,1,1.0
7,ARGENTINA - PRIMERA NACIONAL,22/04/2024,15:00,Deportivo Maipu,Club A. Guemes,2.2,3.0,4.0,2.7,1.44,2.2,1.62,1.1,1.3,1.061,1.2,0.9797959,0.851,0.45454547,0.33333334,0.25,0.37037036,0.6944444,0.24274875,-0.1,2.28,1,0.6
8,IRELAND - PREMIER DIVISION,22/04/2024,15:45,Derry City,St. Patricks,1.5,3.75,5.75,2.08,1.73,2.1,1.67,2.3,1.1,0.575,1.6,1.4282857,0.821,0.6666667,0.26666668,0.17391305,0.48076922,0.5780347,0.57928574,0.7,2.528,1,0.8187
9,BOLIVIA - DIVISION PROFESIONAL,22/04/2024,16:00,SA Bulo Bulo,Independiente,1.7,3.8,4.2,1.75,2.05,1.73,2.0,2.4,0.9165151,1.195,1.0,1.3416408,0.886,0.5882353,0.2631579,0.23809524,0.5714286,0.4878049,0.4391387,1.4,2.258,1,0.8
10,PERU - LIGA 1,22/04/2024,17:00,Comerciantes Unidos,Alianza Atl.,1.75,3.75,4.5,1.9,1.95,1.8,1.91,2.4,0.9165151,0.607,0.3,0.45825756,2.015,0.5714286,0.26666668,0.22222222,0.5263158,0.51282054,0.43913084,2.1,1.375,1,0.9135
11,COLOMBIA - PRIMERA A,22/04/2024,18:00,Fortaleza,Bucaramanga,1.8,3.4,5.0,2.35,1.57,2.2,1.62,1.8,1.2489996,0.695,1.8,1.2489996,1.158,0.5555556,0.29411766,0.2,0.42553192,0.6369427,0.42989686,0.0,2.498,1,0.8
