,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,GEORGIA - CRYSTALBET EROVNULI LIGA,06/03/2024,07:30,Samtredia,Kolkheti 1913,,,
2,ARMENIA - PREMIER LEAGUE,06/03/2024,08:00,Shirak Gyumri,Alashkert,5.0,3.65,1.57
3,HONG KONG - PREMIER LEAGUE,06/03/2024,09:00,Eastern AA,North District,1.55,4.15,5.0
4,INDIA - ISL,06/03/2024,11:00,Goa,East Bengal,1.67,3.8,4.75
5,REPUBLIC OF THE CONGO - LIGUE 1,06/03/2024,14:00,Juk,JS Talangai,,,
6,ITALY - SERIE C,06/03/2024,14:30,Fiorenzuola,Triestina,4.0,3.45,1.85
7,SOUTH AMERICA - COPA SUDAMERICANA,06/03/2024,19:00,Everton (Chi),Union La Calera (Chi),2.2,3.25,3.5
8,SOUTH AMERICA - COPA SUDAMERICANA,06/03/2024,19:00,Universitario de Vinto (Bol),Nacional Potosi (Bol),2.3,3.3,3.2
9,SOUTH AMERICA - COPA SUDAMERICANA,06/03/2024,21:30,Dep. Cuenca (Ecu),Delfin (Ecu),2.05,3.3,3.3
10,SOUTH AMERICA - COPA SUDAMERICANA,06/03/2024,21:30,Guarani (Par),Sp. Luqueno (Par),2.15,3.4,3.1
11,SOUTH AMERICA - COPA SUDAMERICANA,06/03/2024,21:30,Wanderers (Uru),Danubio (Uru),2.55,3.2,2.7
12,SOUTH AMERICA - COPA LIBERTADORES,06/03/2024,21:30,Sportivo Trinidense (Par),Colo Colo (Chi),3.6,3.2,2.05
13,SOUTH AMERICA - COPA SUDAMERICANA,06/03/2024,23:00,Alianza (Col),America De Cali (Col),3.4,3.1,2.1
