,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SOUTH KOREA - K LEAGUE 1,08/10/2023,03:00,Daejeon,Jeju Utd,2.38,3.4,2.88
2,ROMANIA - LIGA 2,08/10/2023,05:30,Selimbar,Unirea Slobozia,2.52,3.05,2.82
3,BELGIUM - CHALLENGER PRO LEAGUE,08/10/2023,08:30,Beveren,Waregem,2.1,3.6,2.88
4,ESTONIA - MEISTRILIIGA,08/10/2023,08:30,Paide,Harju JK Laagri,1.34,4.5,7.2
5,ANDORRA - PRIMERA DIVISIÓ,08/10/2023,08:30,Inter Escaldes,Atletic Escaldes,1.53,3.65,5.4
6,ALBANIA - SUPERLIGA,08/10/2023,09:00,Laci,Skenderbeu,1.78,3.35,4.05
7,THAILAND - THAI LEAGUE 1,08/10/2023,09:00,Bangkok Utd,Chiangrai Utd,1.47,4.35,6.0
8,SERBIA - PRVA LIGA,08/10/2023,10:00,Tekstilac Odzaci,Kolubara,2.22,2.9,3.2
9,SERBIA - PRVA LIGA,08/10/2023,10:00,OFK Beograd,Radnicki S. Mitrovica,1.42,3.9,6.5
10,PORTUGAL - LIGA PORTUGAL,08/10/2023,11:30,Famalicao,Vitoria Guimaraes,2.4,3.1,2.7
11,CAMEROON - ELITE ONE,08/10/2023,11:30,Cotonsport,Victoria United,1.6,3.4,5.3
12,GHANA - PREMIER LEAGUE,08/10/2023,12:00,Heart of Lions,Bofoakwa Tano,1.8,3.05,4.35
13,NIGERIA - NPFL,08/10/2023,12:00,Remo Stars,Enugu Rangers,1.36,3.85,10.25
14,NIGERIA - NPFL,08/10/2023,12:00,Gombe,Enyimba,1.8,3.15,4.7
15,GHANA - PREMIER LEAGUE,08/10/2023,12:00,Bibiani Gold Stars,Real Tamale,1.27,4.75,9.0
16,SPAIN - PRIMERA RFEF,08/10/2023,13:00,Atl. Madrid B,San Fernando,2.0,3.0,4.0
17,BAHRAIN - PREMIER LEAGUE,08/10/2023,13:00,Al Khalidiyah,Al-Ahli Manama,1.57,3.8,5.5
18,SERBIA - PRVA LIGA,08/10/2023,13:00,Dubocica,Vrsac,2.25,3.0,3.0
19,ANDORRA - PRIMERA DIVISIÓ,08/10/2023,13:30,FC Santa Coloma,Penya,1.22,5.3,9.75
20,SPAIN - LALIGA2,08/10/2023,13:30,Ferrol,FC Cartagena SAD,1.8,3.75,4.5
21,PORTUGAL - LIGA PORTUGAL,08/10/2023,14:00,FC Porto,Portimonense,1.13,7.5,15.0
22,URUGUAY - PRIMERA DIVISION,08/10/2023,15:30,Boston River,Maldonado,2.4,3.4,2.8
23,BOLIVIA - DIVISION PROFESIONAL,08/10/2023,16:00,Always Ready,Palmaflor,1.22,5.25,11.0
24,ECUADOR - LIGA PRO,08/10/2023,17:30,Ind. del Valle,Gualaceo,1.22,5.75,10.0
25,ARGENTINA - PRIMERA NACIONAL,08/10/2023,18:00,Racing Cordoba,Gimnasia Jujuy,2.38,3.25,3.1
26,COSTA RICA - PRIMERA DIVISION,08/10/2023,21:00,San Carlos,Guanacasteca,1.75,3.5,4.2
