Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,10/11/2023,00:05,MEXICO - LIGA DE EXPANSION MX,Correcaminos,Atletico La Paz,1.6,3.95,5.0,1.7,1.7,2.02,1.04,1.34,1.22,4.3,1.18
2,10/11/2023,12:00,AZERBAIJAN - PREMIER LEAGUE,Araz,Kapaz,1.47,3.95,6.4,1.9,2.02,1.62,1.02,1.4,1.3,6.25,1.07
3,10/11/2023,12:30,BULGARIA - PARVA LIGA,Lok. Plovdiv,Lok. Sofia,1.6,4.0,5.75,1.95,1.91,1.8,1.05,1.4,1.29,6.5,1.11
4,10/11/2023,13:00,BAHRAIN - PREMIER LEAGUE,Al Riffa,East Riffa,1.57,3.85,5.4,1.72,1.75,1.98,1.05,1.35,1.23,4.5,1.17
5,10/11/2023,14:10,AUSTRIA - 2. LIGA,Stripfing,Sturm Graz (Am),1.57,4.15,4.85,1.47,1.52,2.35,1.03,1.27,1.15,3.35,1.28
6,10/11/2023,14:10,AUSTRIA - 2. LIGA,Ried,Lafnitz,1.45,4.45,6.1,1.5,1.65,2.12,1.03,1.28,1.16,3.5,1.26
7,10/11/2023,16:00,NETHERLANDS - EREDIVISIE,Sittard,Heracles,1.7,3.8,5.0,1.67,1.62,2.2,1.04,1.3,1.2,5.0,1.17
8,10/11/2023,16:00,NETHERLANDS - EERSTE DIVISIE,Dordrecht,Jong PSV,1.62,4.33,4.75,1.44,1.5,2.5,1.02,1.25,1.13,3.5,1.29
9,10/11/2023,16:00,NETHERLANDS - EERSTE DIVISIE,FC Emmen,Den Bosch,1.5,4.5,6.0,1.57,1.67,2.1,1.03,1.29,1.17,4.33,1.2
10,10/11/2023,16:15,SWITZERLAND - CHALLENGE LEAGUE,Sion,Vaduz,1.6,4.1,4.7,1.55,1.62,2.18,1.03,1.29,1.18,3.85,1.22
11,10/11/2023,19:00,BRAZIL - SERIE B,Vila Nova FC,Londrina,1.5,3.85,6.5,2.22,2.37,1.52,1.08,1.5,1.4,6.7,1.07
12,10/11/2023,21:00,BOLIVIA - DIVISION PROFESIONAL,The Strongest,Libertad Gran Mamore,1.1,9.0,23.0,1.33,2.38,1.53,1.02,1.18,1.1,3.0,1.36
13,10/11/2023,21:30,URUGUAY - PRIMERA DIVISION,Defensor Sp.,Racing Montevideo,1.73,3.4,5.0,2.05,1.91,1.8,1.06,1.4,1.33,8.0,1.08
