Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
1,QZZHWvNm,19/08/2023,08:35,CHINA - SUPER LEAGUE,Shenzhen,Nantong Zhiyun,ROUND 23,4.5,3.6,1.8,1.36,3.0,1.05,11.0,1.25,3.75,1.88,1.98,3.25,1.33,6.0,1.13,1.8,1.95,4.4,1.2,2.08,1.73,11.0,7.5,8.5,15.0,13.0,7.0,8.5,13.0,23.0,15.0,15.0,23.0,51.0,41.0,41.0,51.0,201.0
2,ETaFWZ51,19/08/2023,11:00,ENGLAND - PREMIER LEAGUE,Fulham,Brentford,ROUND 2,2.7,3.4,2.63,1.4,2.75,1.05,11.0,1.29,3.75,1.95,1.95,3.4,1.33,6.0,1.13,1.7,2.05,2.6,1.48,1.5,2.5,11.0,10.0,15.0,29.0,10.0,7.0,11.0,23.0,15.0,11.0,15.0,34.0,29.0,23.0,34.0,51.0,251.0
3,4GXC5cyj,19/08/2023,11:00,SCOTLAND - CHAMPIONSHIP,Arbroath,Queen's Park,ROUND 11,3.0,3.75,1.95,1.4,2.75,1.02,12.0,1.29,3.5,1.93,1.93,3.4,1.3,6.0,1.11,1.83,1.83,3.1,1.35,1.78,2.03,12.0,7.5,9.5,17.0,9.5,7.5,9.0,17.0,17.0,11.0,17.0,29.0,34.0,26.0,34.0,51.0,151.0
4,8pKAR0MO,19/08/2023,12:00,AUSTRIA - BUNDESLIGA,Tirol,LASK,ROUND 4,5.0,4.0,1.67,1.25,3.75,1.03,17.0,1.14,5.5,1.53,2.4,2.25,1.57,4.0,1.22,1.53,2.38,4.4,1.2,2.2,1.65,17.0,10.0,10.0,15.0,19.0,8.0,8.5,12.0,29.0,15.0,12.0,19.0,51.0,34.0,34.0,34.0,101.0
5,QJ9GIJAg,19/08/2023,12:00,ARMENIA - PREMIER LEAGUE,BKMA,Alashkert,ROUND 4,3.8,3.36,1.93,1.43,2.62,1.03,8.0,1.33,2.93,2.11,1.71,3.64,1.22,7.1,1.05,1.86,1.9,,,,,7.5,6.0,7.5,14.0,8.5,5.5,7.0,13.0,15.0,10.0,11.0,23.0,41.0,26.0,36.0,76.0,201.0
6,Gpj1TVtj,19/08/2023,12:00,SWEDEN - SUPERETTAN,Gefle,Orebro,ROUND 19,3.5,3.6,2.0,1.36,3.0,1.04,13.0,1.22,4.0,1.75,2.05,2.75,1.4,5.5,1.14,1.67,2.1,,,1.88,1.98,12.0,8.5,10.0,19.0,12.0,7.0,8.5,15.0,19.0,12.0,13.0,23.0,41.0,26.0,34.0,41.0,151.0
7,lEx6R3H3,19/08/2023,12:30,URUGUAY - PRIMERA DIVISION,Fenix,Defensor Sp.,CLAUSURA ,3.2,3.2,2.25,1.5,2.5,1.08,8.0,1.4,2.75,2.25,1.62,4.0,1.22,10.0,1.06,1.91,1.8,3.1,1.35,1.63,2.25,8.0,7.0,10.0,21.0,8.5,6.0,9.5,21.0,15.0,12.0,17.0,34.0,34.0,29.0,41.0,51.0,301.0
8,IDp7vHet,19/08/2023,13:45,NETHERLANDS - EREDIVISIE,Vitesse,PSV,ROUND 2,6.0,4.0,1.57,1.29,3.5,1.03,15.0,1.17,5.0,1.57,2.35,2.38,1.53,4.33,1.2,1.62,2.2,5.75,1.14,2.38,1.55,15.0,9.5,9.0,12.0,21.0,8.0,8.5,12.0,34.0,19.0,13.0,21.0,51.0,41.0,41.0,41.0,151.0
9,t0wDXsMi,19/08/2023,15:15,BULGARIA - PARVA LIGA,Botev Vratsa,CSKA Sofia,ROUND 6,11.0,5.5,1.29,1.36,3.0,1.05,11.0,1.25,3.75,1.8,2.0,3.0,1.36,6.0,1.13,2.38,1.53,,,3.55,1.28,11.0,6.0,5.5,7.5,19.0,10.0,9.0,12.0,41.0,29.0,29.0,34.0,126.0,67.0,67.0,101.0,201.0
10,WAgVOFy4,19/08/2023,15:45,BELGIUM - JUPILER PRO LEAGUE,KV Mechelen,Royale Union SG,ROUND 4,4.75,3.8,1.7,1.3,3.4,1.03,15.0,1.18,4.5,1.62,2.25,2.5,1.5,4.33,1.2,1.62,2.2,4.4,1.2,2.15,1.68,15.0,9.0,9.5,15.0,17.0,7.5,8.5,12.0,26.0,15.0,13.0,21.0,51.0,34.0,34.0,41.0,151.0
11,WM9Ag7Lo,19/08/2023,17:00,CANADA - CANADIAN PREMIER LEAGUE,Vancouver FC,Pacific FC,-,7.47,4.75,1.36,1.28,3.34,1.02,13.0,1.16,4.3,1.63,2.25,2.45,1.46,4.3,1.16,1.83,1.93,,,,,,,,,,,,,,,,,,,,,
12,fyV0sIct,19/08/2023,18:30,BRAZIL - SERIE A,Cuiaba,Palmeiras,ROUND 20,3.1,3.3,2.3,1.57,2.25,1.1,7.0,1.5,2.63,2.5,1.53,5.0,1.17,11.0,1.05,2.1,1.67,2.85,1.4,1.58,2.35,7.0,6.5,10.0,23.0,7.0,6.5,10.0,23.0,13.0,12.0,19.0,41.0,34.0,29.0,41.0,67.0,501.0
