Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
4,30/06/2024,07:00,SOUTH KOREA - K LEAGUE 2,Suwon Bluewings,Ansan Greeners,1.44,4.5,7.0,1.9,2.1,1.67,1.06,1.36,1.29,6.5,1.11
5,30/06/2024,07:00,VIETNAM - V.LEAGUE 1,Hanoi FC,Binh Duong,1.4,4.65,6.3,1.47,1.65,1.98,1.01,1.24,1.12,3.35,1.23
6,30/06/2024,10:00,SWEDEN - SUPERETTAN,Orgryte,Skovde AIK,1.67,3.5,4.5,1.75,1.75,2.0,1.04,1.33,1.22,5.5,1.14
7,30/06/2024,10:00,FINLAND - VEIKKAUSLIIGA,Gnistan,Ekenas,1.67,3.75,5.0,1.85,1.8,1.95,1.04,1.36,1.25,6.0,1.13
8,30/06/2024,11:00,BRAZIL - SERIE A,Atletico-MG,Atletico GO,1.7,3.9,5.0,2.15,2.1,1.67,1.07,1.44,1.4,8.0,1.08
9,30/06/2024,16:00,BRAZIL - SERIE A,Fortaleza,Juventude,1.67,3.75,5.5,2.1,2.05,1.7,1.07,1.44,1.36,8.0,1.08
10,30/06/2024,16:15,ICELAND - BESTA DEILD KARLA,Vikingur Reykjavik,Fram,1.4,4.9,6.2,1.44,1.65,2.1,1.03,1.25,1.14,3.3,1.29
11,30/06/2024,17:00,DOMINICAN REPUBLIC - LDF,Cibao,Atlantico,1.57,3.9,4.6,1.65,1.72,2.07,1.01,1.31,1.19,5.5,1.11
12,30/06/2024,18:10,ARGENTINA - PRIMERA NACIONAL,Colon Santa Fe,Atletico Atlanta,1.6,3.6,6.25,2.5,2.5,1.5,1.1,1.53,1.5,11.0,1.05
1,29/06/2024,23:30,USA - MLS,Seattle Sounders,Chicago Fire,1.67,3.9,5.0,1.7,1.75,2.0,1.03,1.33,1.22,5.0,1.17
2,29/06/2024,23:30,USA - MLS,Los Angeles FC,Colorado Rapids,1.48,5.0,5.5,1.4,1.57,2.25,1.02,1.22,1.13,3.4,1.3
3,29/06/2024,23:30,USA - MLS,Vancouver Whitecaps,St. Louis City,1.65,4.1,4.75,1.5,1.53,2.38,1.02,1.25,1.14,3.75,1.25
