Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,MEXICO - LIGA DE EXPANSION MX,23/02/2024,00:05,Atletico La Paz,Dorados de Sinaloa,1.65,4.0,4.4
2,VIETNAM - V.LEAGUE 1,23/02/2024,07:00,Gia Lai,Quang Nam,2.02,3.4,3.35
3,IRAQ - SUPER LEAGUE,23/02/2024,08:00,Al-Hudod,Naft Missan,2.6,2.7,2.8
4,VIETNAM - V.LEAGUE 1,23/02/2024,09:15,Viettel,Binh Duong,1.9,3.4,3.75
5,BULGARIA - PARVA LIGA,23/02/2024,10:00,Botev Vratsa,Pirin Blagoevgrad,1.91,3.4,4.0
6,CAMEROON - ELITE ONE,23/02/2024,11:30,Fauve Azur Elite,Yong Sports Academy,2.32,2.87,3.0
7,IRAQ - SUPER LEAGUE,23/02/2024,13:00,Al Quwa Al Jawiya,Al-Qassim,1.45,3.65,7.0
8,POLAND - EKSTRAKLASA,23/02/2024,14:00,Piast Gliwice,Cracovia,2.05,3.0,4.0
9,POLAND - DIVISION 1,23/02/2024,14:00,Legnica,Polonia Warszawa,1.67,3.6,4.75
10,NETHERLANDS - EERSTE DIVISIE,23/02/2024,16:00,De Graafschap,Den Bosch,1.44,4.75,6.5
11,POLAND - EKSTRAKLASA,23/02/2024,16:30,Pogon Szczecin,LKS Lodz,1.33,5.0,8.0
12,ARGENTINA - PRIMERA NACIONAL,23/02/2024,18:05,Talleres (R.E),CA Estudiantes,2.55,2.8,3.3
13,COLOMBIA - PRIMERA A,23/02/2024,20:10,Aguilas,Envigado,1.65,3.75,5.25
14,PANAMA - LPF,23/02/2024,22:00,Herrera,Alianza,2.1,3.25,3.3
15,COLOMBIA - PRIMERA A,23/02/2024,22:20,Dep. Pasto,Dep. Cali,2.45,3.2,2.9
